event_id	event_date	parish	event	unrelated_memo	marriage_authorisation	licence_issuer	memo	marriage_location	reg_order_num
405	5/6/1542 00:00:00	All Hallows Honey Lane	Baptism						301000
406	13/6/1542 00:00:00	All Hallows Honey Lane	Baptism						302000
407	17/6/1542 00:00:00	All Hallows Honey Lane	Baptism						303000
408	4/9/1542 00:00:00	All Hallows Honey Lane	Baptism						304000
409	16/1/1542 00:00:00	All Hallows Honey Lane	Baptism						305000
410	8/2/1542 00:00:00	All Hallows Honey Lane	Baptism						306000
411	14/3/1542 00:00:00	All Hallows Honey Lane	Baptism						307000
412	12/5/1543 00:00:00	All Hallows Honey Lane	Baptism						308000
413	13/5/1543 00:00:00	All Hallows Honey Lane	Baptism						309000
414	10/8/1543 00:00:00	All Hallows Honey Lane	Baptism						310000
415	12/9/1543 00:00:00	All Hallows Honey Lane	Baptism						311000
416	15/12/1543 00:00:00	All Hallows Honey Lane	Baptism						312000
417	15/1/1543 00:00:00	All Hallows Honey Lane	Baptism				Related to event id 418?		313000
418	31/1/1544 00:00:00	All Hallows Honey Lane	Baptism				"Date: HR lists as 1543.  Entry appears among those for 1543 in reg so should date be 1543/4?  If so, related to event id 417?"		314000
419	21/3/1543 00:00:00	All Hallows Honey Lane	Baptism						315000
420	20/4/1544 00:00:00	All Hallows Honey Lane	Baptism						316000
421	31/5/1544 00:00:00	All Hallows Honey Lane	Baptism						317000
422	16/6/1544 00:00:00	All Hallows Honey Lane	Baptism						318000
423	2/8/1544 00:00:00	All Hallows Honey Lane	Baptism						319000
424	20/10/1544 00:00:00	All Hallows Honey Lane	Baptism						320000
425	24/11/1544 00:00:00	All Hallows Honey Lane	Baptism						321000
426	20/12/1544 00:00:00	All Hallows Honey Lane	Baptism						322000
427	12/2/1544 00:00:00	All Hallows Honey Lane	Baptism						323000
428	4/4/1545 00:00:00	All Hallows Honey Lane	Baptism						324000
429	10/4/1545 00:00:00	All Hallows Honey Lane	Baptism						325000
430	23/6/1545 00:00:00	All Hallows Honey Lane	Baptism						326000
431	30/9/1545 00:00:00	All Hallows Honey Lane	Baptism						327000
432	1/10/1545 00:00:00	All Hallows Honey Lane	Baptism						328000
433	14/10/1545 00:00:00	All Hallows Honey Lane	Baptism						329000
434	17/11/1545 00:00:00	All Hallows Honey Lane	Baptism						330000
435	14/9/1546 00:00:00	All Hallows Honey Lane	Baptism						331000
436	10/10/1546 00:00:00	All Hallows Honey Lane	Baptism						332000
437	31/10/1546 00:00:00	All Hallows Honey Lane	Baptism						333000
