ind_role_id	pid	role
545	364	family
546	365	recip
547	365	family
548	366	family
549	367	recip
550	367	family
551	367	super
552	368	recip
553	368	family
554	369	recip
555	369	servant
556	370	recip
557	371	recip
558	371	family
559	372	recip
560	372	servant
561	373	recip
562	374	recip
563	375	recip
564	375	friend
565	376	employee
566	376	friend
567	377	recip
568	377	friend
569	378	recip
570	379	family
571	379	employee
572	380	recip
573	380	family
574	381	recip
575	381	family
576	382	recip
577	382	friend
578	382	super
579	383	recip
580	383	super
581	384	wit
582	385	test
583	386	recip
584	386	family
585	386	super
586	387	recip
587	387	family
588	388	recip
589	388	family
590	389	recip
591	389	family
592	389	super
593	390	recip
594	390	family
595	391	recip
596	391	family
597	391	super
598	392	recip
599	392	family
600	393	recip
601	393	family
602	394	family
603	395	family
604	395	employee
605	396	recip
606	396	family
607	397	mention
608	398	recip
609	398	family
610	399	recip
611	399	family
612	400	recip
613	401	family
614	402	recip
615	402	family
616	403	recip
617	403	apprentice
618	404	recip
619	404	servant
620	405	recip
621	405	servant
622	406	recip
623	407	recip
624	408	recip
625	408	wit
626	409	recip
627	410	recip
628	411	recip
629	412	recip
630	413	recip
631	414	recip
632	415	recip
633	416	recip
634	417	wit
635	417	business
636	418	recip
637	418	exec
638	418	family
639	419	family
640	419	employee
641	420	wit
642	421	test
643	422	recip
644	422	exec
645	422	family
646	423	recip
647	423	family
648	424	recip
649	424	family
650	425	recip
651	425	apprentice
652	426	recip
653	426	family
654	427	family
655	428	recip
656	428	family
657	429	recip
658	429	family
659	430	recip
660	430	family
661	431	recip
662	431	family
663	432	mention
664	433	recip
665	434	recip
666	435	recip
667	436	recip
668	437	recip
669	438	family
670	438	debtor
671	439	recip
672	439	family
673	440	recip
674	440	family
675	441	recip
676	441	family
677	441	debtor
678	442	recip
679	442	apprentice
680	443	recip
681	443	family
682	444	recip
683	444	family
684	444	debtor
685	445	recip
686	446	recip
687	446	family
688	447	recip
689	447	family
690	448	recip
691	448	debtor
692	448	apprentice
693	449	debtor
694	450	recip
695	450	friend
696	450	super
697	451	wit
698	452	wit
699	453	test
700	454	recip
701	454	employer
702	455	recip
703	455	exec
704	455	family
705	456	recip
706	456	exec
707	457	recip
708	457	family
709	458	recip
710	459	recip
711	460	recip
712	460	apprentice
713	461	recip
714	461	apprentice
715	462	recip
716	462	apprentice
717	463	recip
718	463	apprentice
719	464	recip
720	465	recip
721	465	business
722	466	recip
723	467	recip
724	468	recip
725	469	recip
726	470	recip
727	470	creditor
728	471	recip
729	472	recip
730	473	test
731	474	recip
732	475	recip
733	476	recip
734	477	recip
735	478	recip
736	479	secofficer
737	480	recip
738	480	family
739	481	recip
740	481	debtor
741	482	recip
742	482	debtor
743	483	recip
744	483	family
745	484	recip
746	485	recip
747	485	servant
748	486	recip
749	486	wit
750	486	servant
751	487	recip
752	488	recip
753	489	recip
754	490	recip
755	491	recip
756	491	servant
757	492	mention
758	493	recip
759	494	recip
760	495	recip
761	495	family
762	496	recip
763	496	family
764	496	wit
765	497	recip
766	497	family
767	498	recip
768	499	recip
769	499	exec
770	499	family
771	500	recip
772	500	family
773	500	debtor
774	501	recip
775	502	recip
776	503	recip
777	504	business
778	505	business
779	506	recip
780	507	business
781	508	wit
782	509	recip
783	510	recip
784	511	recip
785	511	family
786	511	wit
787	511	super
788	512	recip
789	513	recip
790	514	recip
791	515	recip
792	516	recip
793	516	friend
794	517	recip
795	517	debtor
796	518	recip
797	518	wit
798	518	super
799	519	recip
800	519	super
801	520	recip
802	520	servant
803	521	recip
804	521	servant
805	522	wit
806	523	test
807	524	recip
808	524	family
809	525	recip
810	525	exec
811	525	family
812	526	recip
813	526	exec
814	526	family
815	527	recip
816	527	exec
817	527	family
818	528	recip
819	528	family
820	529	recip
821	529	family
822	530	recip
823	530	family
824	530	business
825	530	super
826	531	recip
827	531	family
828	532	recip
829	532	family
830	533	recip
831	533	family
832	534	family
833	535	recip
834	535	family
835	536	family
836	537	family
837	538	recip
838	538	family
839	539	family
840	540	family
841	541	recip
842	541	family
843	542	family
844	543	recip
845	544	recip
846	545	secofficer
847	546	secofficer
848	547	secofficer
849	548	secofficer
850	549	recip
851	550	recip
852	551	recip
853	552	recip
854	553	recip
855	554	recip
856	555	recip
857	556	recip
858	556	servant
859	557	recip
860	558	recip
861	558	family
862	559	recip
863	559	family
864	560	recip
865	560	family
866	561	recip
