doc_id	tithe_pid	tithe-id	prop_type	global_prop_id	location	rent_mod_valued	tithe_assessment	tithe_paid	tithe_notes
353	9759	317					£1 17s		
353		318	shop				£1 10s		joint assessment: pid9760 and 9761
353	9762	319					£1 17s		
353	9763	320					£1 17s
353	9764	321					£1 17s
353	9765	322					£1 6s 8d
353	9766	323					£1 14s
353	9767	324					19s
353	9768	325					£1 6s
353	9769	326	shop				blank
353	9770	327					£1 2s 8d
353	9771	328					11s 4d
353	9772	329					£2 16s
353	9773	330					£1
353	9774	331					£1 2s
353	9775	332					10s
353	9776	333					10s
353	9777	334					10s
353	9778	335					10s
353	9779	336					£1 2s
353	9780	337					9s
353	9781	338					11s 4d
353	9782	339	one shopp				4s 6d
353	9783	340	one shopp				4s 6d
353	9784	341					£1 10s
353	9785	342	one house and shopp				£1 14s
353	9786	343					£1 14s
353	9787	344					£2 13s
353	9788	345					£1 6s 8d
353	9789	346					£1 17s
353	9790	347					15s
353	9791	348					£1 14s
353	9792	349					£1 10s
353	9793	350					10s
353	9794	351					17s 6d
353	9795	352					15s		
353	9796	353	backhouse				19s		
353	9797	354					£1 14s		
353	9798	355					£1 14s		
353	9799	356					£1 14s		
353	9800	357					£1 10s		
353	9801	358					£1 18s		
353	9802	359					12s		
353	9803	360					9s 8d		
353	9804	361					18s 8d		
353	9805	362					4s 8d		
353	9806	363					4s 8d		
353		364					19s 8d		"joint assessment: pid9807, 9808, 9809, 9810 and 9811"
353	9812	365					8s		
353	9813	366					£1 13s 4d		
353	9814	367					18s 8d		
355	9843	368				£60			
355	9844	369	shop		Cheapside	£30			Mr Blagdons shop
355	9845	370			Cheapside	£20			
355	9846	371			Cheapside	£25			
355	9847	372			Cheapside	£30			
355	9848	373			Cheapside	£30			
355	9849	374			Cheapside	£40			
355	9850	375			Cheapside	£30			
355	9851	376			Cheapside	£50			
355	9852	377			Cheapside	£30			
355	9853	378	shop		Cheapside	£20			Mr Munnes shop
355	9854	379			Soper Lane	£20			
355	9855	380			Soper Lane	£8			
355	9856	381			Soper Lane	£15			
355	9857	382			Soper Lane	£10			
355	9858	383			Soper Lane	£25			
355	9859	384			Soper Lane	£15			
355	9860	385			Soper Lane	£13			
355	9861	386			Soper Lane	£40			
355	9862	387			Soper Lane	£20			
355	9863	388			Soper Lane	£12			
355	9864	389			Soper Lane	£10			
355	9865	390			Soper Lane	£12			
355	9866	391			Soper Lane	£30			
355	9867	392			Soper Lane	£53			
355	9868	393			Soper Lane	£25			
355	9869	394			Soper Lane	£15			
355	9870	395			Soper Lane	£5			
355	9871	396			Soper Lane	£30			
355	9872	397	shop		Soper Lane	£5			Mr Perkins shop
355	9844	398	house		Soper Lane	£40			Mr Blagdens house
