par_list_id	doc_id	pid	global_prop_id	assessement	week_assess	notes
479	541	55981		1s 4d		his Shopp; values difficult to read because of cropped page
480	541	55982		1s 4d		his Shopp;values difficult to read because of cropped page
481	541	55983		 8d		his Shopp; values difficult to read because of cropped page
482	541	55984		11d		his Shopp; values difficult to read because of cropped page
483	541	55985		1s 4d		Shopp; values difficult to read because of cropped page
484	541	55986		7d		his Shopp; values difficult to read because of cropped page
485	541	55987		1s 		his Shopp; values difficult to read because of cropped page
486	541	55988		1s 		his Shopp; values difficult to read because of cropped page
487	541	55989		11d		his Shopp; values difficult to read because of cropped page
488	542	55993		1s 		
489	542	55994		8d		
490	542	55995		1s 		
491	542	55996		8d		
492	542	55997		g1s 4d		and ptner
493	542	55998		1s 		
494	542	55999		1s 4d		
495	542	56000		1s 		
496	542	56001		1s 		
497	542	56002		6d		
498	542	56003		6d		
499	542	56004		8d		
500	542	56005		1s 6d		
501	542	56006		1s 		
502	542	56007		1s 		
503	542	56008		1s 4d		inserted
504	542	56009		8d		
505	542	56010		8d		
506	542	56011		6d		
507	542	56012		8d		
508	542	56013		1s 		
509	542	56014		1s 		
510	542	56015		8  d		
511	542	56016		1s 		
512	542	56017		1s 
513	542	56018		8d
514	542	56019		8d
515	542	56020		1s 
516	542	56021		8d
517	542	56022		8d
518	542	56023		6d
519	542	56024		8d
520	542	56025		1s 4d
521	542	56026		1s 
522	542	56027		8d
523	542	56028		1s 
524	542	56029		8d
525	542	56030		8d
526	542	56031		1s 4d
527	542	56032		8d
528	542	56033		6d
529	542	56034		8d
530	542	56035		6d
531	543	56036		4s 
532	543	56037		4s 
533	543	56038		5s 
534	543	56039		2s 
535	543	56040		4s 8d
536	543	56041		4s 8d
537	543	56042		5s 
538	543	56043		3s 4d
539	543	56044		3s 4d
540	543	56045		1s 4d
541	543	56046		1s 4d
542	543	56047		1s 
543	543	56048		1s 4d
544	543	56049		1s 4d
545	543	56050		4s 
546	543	56051		2s 8d
547	543	56052		1s 4d
548	543	56053		4s 8d
549	543	56054		1s 4d
550	543	56055		1s 4d
551	543	56056		1s 4d
552	543	56057		1s 4d
553	543	56058		4s 
554	543	56059		5s 
555	543	56060		4s 
556	543	56061		5s 
557	543	56062		3s 4d
558	543	56063		2s 8d
559	543	56064		3s 4d
560	543	56065		3s 4d
561	543	56066		3s 4d
562	543	56067		2s 8d
563	543	56068		2s 
564	543	56069		3s 4d
565	543	56070		2s 8d
566	543	56071		2s 8d
567	543	56072		4s 
568	543	56073		4s 
569	543	56074		2s 8d
570	543	56075		4s 
571	543	56076		2s 8d
572	543	56077		4s 
573	543	56078		1s 
574	543	56079		1s 
575	543	56080		4s 
576	544	56081		£5
577	544	56082		£3
578	544	56083		£3
579	544	56084		£1
580	544	56085		£5
581	544	56086		£3
582	544	56087		£4
583	544	56088		£1
584	544	56089		£2
585	544	56090		£2
586	544	56091		£2
587	544	56092		£2
588	544	56093		£2
589	544	56094		£2
590	544	56096		£3
591	544	56097		£3
592	544	56098		£4
593	544	56099		£1
594	544	56100		£4
595	544	56101		£3
596	544	56103		£1
597	544	56104		£2
598	544	56105		£3
599	544	56106		£2
600	544	56107		£3
601	544	56108		£1
602	544	56109		£2
603	544	56110		£2
604	544	56112		£1
605	544	56113		£1
606	544	56114		£2
607	544	56115		£1
608	544	56116		£1
609	545	56117		8s
610	545	56118		8s
611	545	56119		11s
612	545	56120		11s
613	545	56121		17s
614	545	56122		9s
615	545	56123		4s
616	545	56124		10s
617	545	56125		8s
618	545	56126		8s
619	545	56127		8s
620	545	56128		8s
621	545	56129		8s
622	545	56130		8s
623	545	56131		8s
624	545	56132		8s		
625	545	56133		8s		
626	545	56134		4s		
627	545	56135		8s		
628	545	56136		4s		
629	545	56137		4s		
630	545	56138		g14s		and John Schoppen; listed jointly with pid56173
631	545	56139		4s		
632	545	56140		6s		
633	545	56141		4s		
634	545	56142		4s		
635	545	56143		4s		
636	545	56144		4s		
637	545	56145		6s		
638	545	56146		4s		
639	545	56147		4s		
640	545	56148		8s
641	545	56149		8s
642	545	56150		4s
643	545	56151		8s
644	545	56152		16s
645	545	56153		8s
646	545	56154		8s
647	545	56155		4s
648	545	56156		6s
649	545	56157		8s
650	545	56158		6s
651	545	56159		4s
652	545	56160		6s
653	545	56161		8s
654	545	56162		8s
655	545	56163		8s
656	545	56164		8s		
657	545	56165		10s		
658	545	56166		6s		
659	545	56167		4s		
660	545	56168		10s		
661	545	56169		8s		two houses
662	545	56170		4s		
663	545	56171		12s		
664	545	56172		4s		
665	546	56176		10s		
666	546	56177		10s		
667	546	56178		11s		
668	546	56179		11s		
669	546	56180		14s		
670	546	56181		10s		
671	546	56182		£1 4s		
672	546	56183		8s		
