SC	ID	Title	Fname	Sname	Status	Occup	Place	Role	Year	Amount of Tax	Goods/Land	Comment
LAY	102	 	John	Woodbridge	 	 	North Weston	Payer	1641	16s 0d	Land	
LAY	103	 	Wm	Smith	 	 	North Weston	Payer	1641	8s 0d	Land	
LAY	104	 	John	Smith	 	 	North Weston	Payer	1641	8s 0d	Land	
LAY	105	 	Thomas	Carter	 	 	North Weston	Payer	1641	8s 0d	Land	
LAY	106	Sir	John	Clarke 	knight baronet	 	North Weston	Payer	1661	£4 0s 0d	Land	
LAY	107	Lady	 	Verney	 	 	North Weston	Payer	1661	£3 4s 0d	Land	
LAY	108	Mr	John	Clarke 	 	 	North Weston	Payer	1643	7s 6d	Land	of Aston
LAY	109	 	Samuel	Carter	 	 	North Weston	Payer	1643	13s 6d	Land	
LAY	110	 	Thomas	Smith	 	 	North Weston	Payer	1643	8s 0d	Land	
LAY	111	 	John	Jackman	gent	 	Moreton	Payer	1641	16s 0d	Land	
LAY	112	Widow	 	Jackman	 	 	Moreton	Payer	1643	6s 0d	Land	
LAY	113	 	Edward	Stone	 	 	Moreton	Payer	1641	8s 0d	Land	
LAY	114	 	Thomas	Messenger	 	 	Moreton	Payer	1641	8s 0d	Land	
LAY	115	Sir	Charles	Sidlen	knight	 	Moreton	Payer	1661	£1 4s 0d	Land	
LAY	116	Mr	 	Stearne	 	 	Moreton	Payer	1661	8s 0d	Land	
LAY	117	Viscount	 	Wenman	 	 	Thame Park	Payer	1641	£10 0s 0d	Land	
LAY	118	Mr	Vincent	Bary	 	 	Old Thame	Payer	1642	£1 6s 8d	Goods	
LAY	119	Mr	Vincent	Barry	 	 	Old Thame	Payer	1643	£2 18s 0d	Goods	
LAY	120	Mr	Vincent	Barry	 	 	Old Thame	Payer	1661	£1 6s 8d	Goods	
LAY	121	 	Heirome	Bayley	 	 	New Thame	Payer	1643	2s 0d	Land	
LAY	122	 	Edward	Bath	 	 	New Thame	Payer	1643	2s 0d	Land	
LAY	123	 	Thomas	Baker	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	125	 	Nicholas	Allmond	 	 	Old Thame	Payer	1643	4s 10d	Land	
LAY	126	 	John	Ayres	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	127	 	John	Ayres	 	 	New Thame	Payer	1643	2s 0d	Land	
LAY	128	 	Thomas	Accle	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	129	 	Nicholas	Allmond	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	130	Mr	 	Alnutt	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	131	Mr	 	Brasey	 	 	New Thame	Payer	1642	£2 0s 0d	Land	
LAY	132	 	Thomas	Bryan	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	133	 	Wm	Bigge	 	 	Priestend	Payer	1642	16s 0d	Land	
LAY	134	 	Wm	Bigge	 	 	Priestend	Payer	1643	5s 7d	Land	
LAY	135	 	Wm	Bigge	 	 	Priestend	Payer	1661	8s 0d	Land	
LAY	136	 	Philip	Bird	 	 	New Thame	Payer	1642	16s 0d	Goods	
LAY	137	 	John	Burnham	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	138	 	John	Burnham	 	 	New Thame	Payer	1643	1s 6d	Land	
LAY	139	Mr	William	Burt	 	 	Old Thame	Payer	1642	8s 0d	Land	
LAY	140	Mr	William	Burt	 	 	Old Thame	Payer	1642	7s 3d	Land	
LAY	141	 	John	Calcott	 	 	Priestend	Payer	1661	8s 0d	Land	
LAY	142	 	Thomas	Calcott	 	 	Priestend	Payer	1643	2s 9d	Land	
LAY	143	 	Samuel	Carter	 	 	North Weston	Payer	1661	16s 0d	Land	
LAY	144	 	Thomas	Carter	 	 	North Weston	Payer	1642	8s 0d	Land	
LAY	145	 	Thomas	Carter	 	 	North Weston	Payer	1643	5s 0d	Land	
LAY	146	 	Thomas	Carter	 	 	North Weston	Payer	1661	£1 4s 0d	Land	
LAY	147	Mr	John	Clarke	 	 	North Weston	Payer	1661	£1 12s 0d	Land	of Aston
LAY	148	 	Robt	Coles	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	149	 	Robt	Coles	 	 	New Thame	Payer	1643	3s 0d	Land	
LAY	150	 	Robt	Coles	 	 	New Thame	Payer	1661	8s 0d	Land	
