INVID	PROID	InvValue	No of rooms	£InvValue	Crops	£Crops	Animals	£Animals	Money	£Money	Debts	£Debts	Leases	£Leases	Shop goods/Tools	£Shopgoods	Clothes	£Clothes	Household goods	£Household	Hearths	Notes
213	617.00	52.92	1.00	£52 18s 4d	5.00	£5 0s 0d	1.25	£1 5s 0d	40.00	£40 0s 0d	40.00	£40 0s 0d		0	0.00	0	1.00	£1 0s 0d	4.85	£4 17s 2d	1.00	
214	213.00	142.65	4.00	£142 13s 0d	5.31	£5 6s 3d	7.00	£7 0s 0d	19.08	£19 1s 8d	8.08	£8 1s 8d		0	31.81	£31 16s 3d	0.00	0	21.29	£21 5s 10d		4 properties in Thame, Winslow, Bicester, Brackley, very detailed inventories
216	215.00	361.60	18.00	£361 12s 0d	41.45	£41 9s 0d	6.00	£6 0s 0d	144.00	£144 0s 0d	4.00	£4 0s 0d		£120 0s 0d	61.00	£61 0s 0d	0.00	0	108.00	£108 0s 0d		Innholder , lease on house in Oxford
218	619.00	61.26		£61  5s 3d	31.50	£31 10s 0d	0.50	£0 10s 0d	7.00	£7 0s 0d	5.00	£5 0s 0d		£1 0s 0d	3.10	£3 2s 0d	3.00	£3 0s 0d	15.16	£15 3s 3d	1.00	
220	219.00	67.23	6.00	£67  4s 6d	46.50	£46 10s 0d	6.00	£6 0s 0d	6.67	£6 13s 6d	6.67	£6 13s 6d		0	0.00	0	4.00	£4 0s 0d	14.42	£14 8s 6d	1.00	
221	621.00	10.85		£10 17s 0d	0.00	0	10.85	£10 17s 0d	0.00	0	0.00	0		0	0.00	0	0.00	0	0.00	0		Gentleman, but no possessions other than cows etc. brother ? of Worminghall executor.
222	622.00	413.68		£413 13s 7d	0.00	0	0.00	0	372.87	£372 17s 7d	314.87	£314 17s 7d		0	0.00	0	4.50	£4 10s 0d	36.30	£36 6s 0d	1.00	To be buried under his church seat
224	223.00	234.77	10.00	£234 15s 6d	33.18	£33 3s 8d	0.00	0	50.00	£50 0s 0d	50.00	£50 0s 0d		0	0.00	0	10.00	£10 0s 0d	117.08	£117 1s 9d	2.00	Vicar of Thame
225	625.00	64.38	4.00	£64  7s 7d	0.30	£0 6s 0d	1.50	£1 10s 0d	39.68	£39 13s 8d	17.68	£17 13s 8d		£2 0s 0d	9.23	£9 4s 8d	1.00	£1 0s 0d	13.09	£13 1s 10d	1.00	cordwainer's stock in shop
228	626.00	430.00	4.00	£430  0s 0d	131.00	£131 0s 0d	130.00	£130 0s 0d	95.00	£95 0s 0d	0.00	0	0.00	0	8.00	£8 0s 0d	7.00	£7 0s 0d	35.00	£35 0s 0d		living at Thame Park 1659 ?
