INVID	PROID	InvValue	No of rooms	£InvValue	Crops	£Crops	Animals	£Animals	Money	£Money	Debts	£Debts	Leases	£Leases	Shop goods/Tools	£Shopgoods	Clothes	£Clothes	Household goods	£Household	Hearths	Notes
2	1.00	33.43	1.00	£33  8s 8d	0.00	0	0.00	0	0.00	0	0.00	0	10.00	£10 0s 0d	4.00	£4 0s 0d	1.50	£1 10s od	5.78	£5 15s 8d	0.00	
3	2.00	113.71	6.00	£113 14s 2d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	1.00	
5	4.00	218.12		£218  1s 4d	0.00	0	4.00	£4 0s 0d	0.00	0	0.00	0	115.00	£115 0s 0d	0.00	0	5.00	£5 0s 0d	94.06	£94 1s 4d	0.00	
6	5.00	11.23	2.00	£11  4s 8d	0.00	0	0.00	0	9.50	£9 10s 0d	0.00	0	0.00	0	0.00	0	0.00	0	1.73	£1 14s 8d	0.00	
7	6.00	29.66	7.00	£29 17s 2d	0.60	£0 12s 0d	0.00	0	1.65	£1 13s 0d	0.00	0	0.00	0	3.87	£3 17s 6d	8.70	£8 14s 0d	5.33	£5 6s 8d	0.00	
10	9.00	25.75		£25 15s 0d	0.66	£0 13s 4d	0.83	£0 16s 8d	0.00	0	0.00	0	0.00	0	0.00	0	1.00	£1 0s 0d	23.25	£23 5s 0d	0.00	
11	10.00	11.24	7.00	£11  4s 8d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	11.23	£11 4s 8d	2.00	
12	11.00	78.23	9.00	£78  4s 8d	13.95	£13 19s 0d	6.00	£6 0s 0d	20.00	£20 0s 0d	0.00	0	20.00	£20 0s 0d	6.05	£6 1s 0d	2.00	£2 0s 0d	24.48	£24 9s 8d	1.00	
13	492.00	210.90		£201 18s 0d	0.00	0	0.00	0	26.90	£26 18s 0d	0.00	0	16.00	£16 0s 0d	130.00	£130 0s 0d	5.00	£5 0s 0d	40.00	£40 0s 0d	0.00	
14	13.00	55.84	3.00	£55 16s 8d	23.00	£23 0s 0d	19.23	£19 4s 8d	0.00	0	0.00	0	0.00	0	0.00	0	4.00	£4 0s 0d	8.70	£8 14s 0d	1.00	
16	493.00	48.27	4.00	£48  5s 4d	8.00	£8 0s 0d	6.66	£6 13s 4d	17.60	£17 12s 0d	0.85	£0 17s 0d	16.25	£16 5s 0d	0.00	0	2.00	£2 0s 0d	8.75	£8 15s 0d	1.00	
19	494.00	32.07	5.00	£32  1s 6d	0.00	0	1.80	£1 16s 0d	0.00	0	0.00	0	0.00	0	8.62	£8 12s 5d	2.00	£2 0s 0d	21.17	£21 3s 6d	1.00	
20	496.00	68.83		£68 16s 8d	1.20	£1 4s 0d	1.00	£1 0s 0d	19.60	£19 12s 0d	1.50	£1 10s 0d	15.00	£15 0s 0d	0.00	0	0.00	0	45.53	£45 10s 8d	0.00	
22	495.00	8.60		£8 12s 0d	0.00	0	5.00	£5 0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.80	£0 16s 2d	3.00	£3 0s 0d	0.00	
25	497.00	248.98	4.00	£248 19s 8d	128.60	£128 12s 0d	72.45	£72 9s 0d	0.00	0	0.00	0	0.00	0	2.95	£2 19s 0d	5.00	£5 0s 0d	28.71	£28 14s 4d	1.00	
26	498.00	482.14	11.00	£482  2s 11d	151.65	£151 13s 0d	0.00	0	252.80	£252 16s 0d	194.32	£194 6s 5d	30.00	£30 0s 0d	21.00	£21 0s 0d	3.00	£3 0s 0d	48.19	£48 3s 11d	1.00	
27	499.00	97.50		£97 10s 0d	0.00	0	5.50	£5 10s 0d	67.00	£67 0s 0d	67.00	£67 0s 0d	0.00	0	0.00	0	5.00	£5 0s 0d	20.50	£20 10s 0d	0.00	
31	500.00	9.33		£9  6s 4d	0.00	0	0.00	0	8.81	£8 16s 4d	8.81	£8 16s 4d	0.00	0	0.00	0	0.50	£0 10s 0d	0.00	0	0.00	
32	31.00	10.63	6.00	£10 12s 8d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	10.63	£10 12s 8d	0.00	
33	501.00	265.23		£265  4s 6d	0.00	0	0.00	0	250.00	£250 0s 0d	250.00	£250	0.00	0	1.00	£1 0s 0d	2.50	£2 10s 0d	12.72	£12 14s 6d	1.00	
34	504.00	9.85	4.00	£9 17s 0d	0.00	0	0.50	£0 10s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.50	£0 10s 0d	8.90	£8 18s 0d	1.00	
35	505.00	5.80		£5 16s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	1.00	£1 0s 0d	4.80	£4 16s 0d	0.00	
36	35.00	21.14		£21  2s 11d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	21.14	£21 2s 11d	0.00	
39	506.00	47.17	2.00	£47  3s 4d	30.00	£30 0s 0d	0.00	0	3.00	£3 0s 0d	0.00	0	0.00	0	0.00	0	2.00	£2 0s 0d	13.16	£13 3s 4d	1.00	
41	40.00	102.33		£102  6s 6d	35.66	£35 13s 4d	32.65	£32 13s 0d	2.00	£2 0s 0d	63.80	£63 16s 0d	0.00	0	13.00	£13 0s 0d	2.00	£2 0s 0d	10.52	£10 10s 6d	1.00	
43	508.00	9.83	1.00	£9 16s 8d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	2.00	£2 0s 0d	5.83	£5 16s 8d	1.00	
44	43.00	36.23	6.00	£36  4s 8d	8.16	£8 3s 4d	0.00	0	80.00	£80 0s 0d	80.00	£80 0s 0d	0.00	0	0.00	0	0.00	0	8.06	£8 1s 4d	2.00	
46	45.00	38.09	9.00	£38  1s 10d	0.00	0	0.00	0	4.10	£4 2s 0d	4.10	£4 2s 0d	0.00	0	1.82	£1 16s 6d	3.00	£3 0s 0d	23.40	£23 8s 2d	1.00	
48	511.00	82.26	7.00	£82  5s 2d	0.00	0	0.00	0	53.00	£53 0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	19.25	£19 5s 2d	2.00	
49	512.00	82.88	2.00	£82 17s 8d	0.00	0	0.00	0	40.00	£40 0s 0d	10.00	£10 0s 0d	30.00	£30 0s 0d	0.50	£0 10s 0d	6.00	£6 0s 0d	36.38	£36 7s 8d	1.00	
50	513.00	224.67		£224 13s 6d	0.00	0	23.45	£23 9s 0d	96.00	£96 0s 0d	31.50	£31 10s 0d	0.00	0	0.00	0	5.00	£5 0s 0d	95.05	£95 1s 0d	0.00	
51	514.00	28.24		£28  4s 10d	0.00	0	6.33	£6 6s 8d	13.33	£13 6s 8d	0.00	0	13.66	£13 6s 8d	0.00	0	1.00	£1 0s 0d	8.57	£8 11s 6d	1.00	
53	515.00	97.65	10.00	£97 13s 0d	20.87	£20 17s 6d	9.00	£9 0s 0d	42.55	£42 11s 0d	0.00	0	42.55	£42 11s 0d	0.00	0	3.00	£3 0s 0d	22.22	£22 4s 6d	1.00	
54	517.00	10.53	6.00	£10 10s 8d	0.00	0	0.00	0	3.66	£3 13s 4d	3.66	£3 13s 4d	0.00	0	0.00	0	0.00	0	6.86	£6 17s 4d	0.00	
57	56.00	5.57	4.00	£5 11s 6d	0.00	0	1.00	£1 0s 0d	0.00	0	0.00	0	0.00	0	0.33	£0 6s 8d	0.33	£0 6s 8d	4.01	£4 0s 4d	1.00	
58	518.00	60.50		£60 10s 0d	0.00	0	0.00	0	50.00	£50 0s 0d	50.00	£50 0s 0d	0.00	0	0.00	0	5.00	£5 0s 0d	5.50	£5 10s 0d	1.00	
60	59.00	11.33	5.00	£11  7s 8d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.25	£0 5s 0d	0.50	£0 10s 0d	9.96	£9 19s 4d	1.00	
63	62.00	4.87		£4 17s 4d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	4.86	£4 17s 4d	1.00	
64	519.00	13.65		£13 13s 0d	0.00	0	0.00	0	10.00	£10 0s 0d	10.00	£10 0s 0d	0.00	0	0.00	0	3.00	£3 0s 0d	0.65	£0 13s 0d	0.00	
65	520.00	7.06	1.00	£7  1s 2d	0.00	0	2.00	£2 0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	1.00	£1 0s 0d	4.05	£4 1s 2d	0.00	
68	521.00	53.51	1.00	£53 10s 3d	0.00	0	0.00	0	31.31	£31 6s 3d	0.00	0	0.00	0	0.00	0	10.00	£10 0s 0d	12.20	£12 4s 0d	1.00	
69	522.00	24.55		£24 11s 0d	0.00	0	0.00	0	21.30	£21 6s 0d	0.00	0	0.00	0	0.00	0	3.25	£3 5s 0d	0.00	0	0.00	
70	523.00	9.12		£9  2s 4d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	2.00	£2 0s 0d	7.11	£7 2s 4d	1.00	
71	70.00	61.13	12.00	£61 2s 8d	1.50	£1 10s 0d	2.50	£2 10s 0d	5.00	£5 0s 0d	5.00	£5 0s 0d	0.00	0	4.48	£4 9s 8d	2.50	£2 10s 0d	42.41	£42 8s 4d	2.00	
72	525.00	134.00	5.00	£134  0s 0d	30.25	£30 5s od	3.33	£3 6s 8d	3.55	£3 11s 0d	3.55	£3 11s 0d	0.00	0	76.35	£76 7s 0d	3.00	£3 0s 0d	13.38	£13 7s 8d	0.00	
73	526.00	347.85	7.00	£347 17s 0d	272.10	£272 2s 0d	0.00	0	31.40	£31 8s 0d	0.00	0	0.00	0	0.00	0	0.00	0	37.60	£37 12s 0d	2.00	
75	527.00	80.11	10.00	£80  2s 2d	16.75	£16 15s 0d	5.00	£5 0s 0d	4.50	£4 10s 0d	4.50	£4 10s 0d	0.00	0	31.00	£31 0s 0d	3.00	£3 0s 0d	27.25	£27 5s 0d	2.00	
76	75.00	7.15	2.00	£7  3s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	1.00	£1 0s 0d	6.15	£6 3s 0d	1.00	
77	528.00	7.65	1.00	£7 13s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.10	£0 2s 0d	1.00	£1 0s 0d	6.55	£6 11s 0d	1.00	
78	529.00	54.76	8.00	£54 15s 2d	7.50	£7 10s od	5.25	£5 5s 0d	0.50	£0 10s 0d	0.00	0	0.00	0	11.62	£11 12s 6d	2.00	£2 0s 0d	26.86	£26 17s 4d	1.00	
79	530.00	43.05	4.00	£43  1s 0d	0.00	0	0.00	0	11.00	£11 0s 0d	0.00	0	8.00	£8 0s 0d	6.00	£6 0s 0d	4.00	£4 0s 0d	16.55	£16 11s 0d	1.00	
80	531.00	49.68		£49 13s 8d	10.50	£10 10s 0d	15.80	£15 16s 0d	9.00	£9 0s 0d	9.00	£9 0s 0d	0.00	0	3.00	£3 0s 0d	1.50	£1 10s 0d	9.88	£9 17s 8d	0.00	
81	80.00	95.17	6.00	£95  3s 6d	23.16	£23 3s 4d	0.22	£0 4s 6d	16.30	£16 6s 0d	16.00	£16 0s 0d		0	19.75	£19 15s 2d	3.50	£3 10s 0d		£29 8s 4d	3.00	
84	534.00	114.82		£114 16s 6d	17.50	£17 10s 0d	15.00	£15 0s 0d	0.00	0	0.00	0		0	0.00	0	6.00	£6 0s 0d	71.92	£71 18s 6d	0.00	
85	535.00	175.57		£175 11s 6d	30.00	£30 0s 0d	20.00	£20 0s 0d	41.65	£41 13s 0d	40.00	£40 0s 0d		0	15.00	£15 0s 0d	5.00	£5 0s 0d	63.92	£63 18s 6d	0.00	
86	536.00	281.22		£281  4s 6d	60.50	£60 10s 0d	155.10	£155 2s 0d	0.00	0	0.00	0		0	0.00	0	0.00	0	65.62	£65 12s 6d	0.00	
87	537.00	51.46		£51 9s 2d	1.50	£1 10s 0d	1.50	£1 10s 0d	0.00	0	0.00	0		0	0.00	0	5.00	£5 0s 0d	43.20	£43 4s 2d	0.00	
88	538.00	9.62		£9 12s 6d	0.00	0	0.50	£0 10s 0d	1.37	£1 7s 6d	1.37	£1 7s 6d		0	1.33	£1 6s 8d	1.50	£1 10s 0d	5.00	£5 0s 0d	1.00	
90	539.00	14.67	6.00	£14 13s 4d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	0.00	0	14.66	£14 13s 4d	1.00	
91	540.00	201.64	3.00	£201 12s 8d	78.43	£78 8s 8d	68.75	£68 15s 0d	23.95	£23 19s 0d	1.95	£1 19s 0d		0	0.00	0	5.00	£5 0s 0d	34.00	£34 0s 0d	0.00	
92	541.00	71.79	2.00	£71 15s 10d	3.33	£3 6s 8d	29.30	£29 6s 0d	10.04	£10 0s 10d	0.00	0		0	0.00	0	4.00	£4 0s 0d	17.53	£17 10s 8d	0.00	
94	93.00	11.40	2.00	£11  8s 0d	0.00	0	0.66	£0 13s 4d	5.33	£5 6s 8d	5.33	£5 6s 8d		0	0.00	0	0.50	£0 10s 0d	4.85	£4 17s 0d	1.00	
95	542.00	16.92	3.00	£16 18s 1d	0.00	0		0		0		0		0		0		0		0		
96	95.00	32.17	1.00	£32  3s 4d	0.18	£0 3s 8d	13.33	£13 6s 8d	16.95	£16 19s 0d	16.95	£16 19s 0d		0	0.00	0	0.33	£0 6s 8d	2.58	£2 11s 8d	0.00	
100	543.00	52.78		£52 15s 8d	0.00	0	0.00	0	51.95	£51 19s 0d	30.00	£30 0s 0d		0	0.00	0	0.50	£0 10s 0d	0.33	£0 6s 8d	0.00	
103	544.00	30.58		£30 11s 8d	11.00	£11 0s 0d	11.33	£11 6s 8d	0.00	0	0.00	0		0	0.00	0	0.00	0	0.00	0	0.00	
104	103.00	12.85	6.00	£12 17s 0d	1.00	£1 0s 0d	0.45	£0 9s 0d	0.00	0	0.00	0		0	0.00	0	0.50	£0 10s 0d	10.90	£10 18s 0d	1.00	
105	545.00	51.45	1.00	£51  9s 0d	0.00	0	2.00	£2	40.00	£40 0s 0d	0.00	0	40.00	£40 0s 0d	0.00	0	2.00	£2 os od	7.78	£7 15s 8d	0.00	
107	106.00	76.37	2.00	£76  7s  4d	30.00	£30 0s 0d	13.00	£13 0s 0d	6.44	£6 8s 10d	6.44	£6 8s 10d		0	6.35	£6 7s 0d	3.50	£3 10s 0d	8.15	£8 3s 0d	0.00	
108	107.00	5.84	5.00	£5 16s 10d	0.00	0	0.00	0	2.50	£2 10s 0d	0.00	0		£2 10s 0d	0.33	£0 6s 8d	0.00	0	3.01	£3 os 4d	1.00	
110	109.00	19.90	5.00	£19 18s 0d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	2.00	£2 0s 0d	17.90	£17 18s 0d	1.00	
111	110.00	45.97	4.00	£45 19s 0d	0.00	0	1.33	£1 6s 8d	5.00	£5 0s 0d	0.00	0		0	0.00	0	3.50	£3 10s 0d	36.11	£36 2s 4d	1.00	
112	111.00	114.70		£114 14s 0d	35.00	£35 0s 0d	5.25	£5 5s 0d	50.00	£50 0s 0d	50.00	£50 0s 0d		0	2.25	£2 5s 0d	2.00	£2 0s 0d	14.08	£14 1s 8d	0.00	
113	548.00	98.20		£98  4s 0d	0.00	0	0.00	0	26.00	£26 0s 0d	26.00	£26 0s 0d		0	0.00	0	5.00	£5 0s 0d	54.00	£54 0s 0d	0.00	
114	113.00	69.12	4.00	£69  2s 4d	41.90	£41 18s 0d	16.65	£16 13s 0d	0.00	0	0.00	0		0	5.00	£5 0s 0d	1.00	£1 0s 0d	4.55	£4 11s 0d	0.00	
115	550.00	57.35	3.00	£57  7s 0d	25.40	£25 8s 0d	9.60	£9 12s 0d	0.00	0	0.00	0		0	0.00	0	4.00	£4 0s 0d	18.70	£18 14s  0d	0.00	
117	116.00	39.01	2.00	£39  0s 3d	11.33	£11 6s 8d	14.00	£14 0s 0d	1.50	£1 10s 0d	1.50	£1 10s 0d		0	4.41	£4 8s 4d	2.00	£2 0s 0d	5.76	£5 15s 3d	0.00	
118	117.00	35.57	9.00	£35 11s 4d	5.00	£5 0s 0d	6.16	£6 3s 4d	0.00	0	0.00	0		0	1.33	£1 6s 8d	2.00	£2 0s 0d	22.46	£22 9s 4d	2.00	
119	118.00	29.27		£29  5s 6d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	
