SC	ID	Title	Fname	Sname	Status	Occup	Place	Role	Year	Comment
WAR	189	 	Henry	Edwards	 	 		Church Warden	1648	
WAR	190	 	Thomas	Calcott	 	 		Church Warden	1649	
WAR	191	 	John	Younge	 	 		Church Warden	1649	
WAR	192	 	Richard	Springold	 	 		Church Warden	1649	
WAR	193	 	John	Calcott	 	 		Church Warden	1649	
WAR	194	 	John	Stribblehill	 	 		Church Warden	1650	
WAR	195	 	Philip	Cotton	 	 		Church Warden	1650	
WAR	196	 	John	Calcott	 	 		Church Warden	1650	
WAR	197	 	John	Yonge	 	 		Church Warden	1650	
WAR	198	 	Roger	Eustace	 	 		Church Warden	1651	
WAR	199	 	Edward	Batys	 	 		Church Warden	1651	
WAR	200	 	John	Stribblehill	 	 		Church Warden	1651	
WAR	201	 	Philip	Cotton	 	 		Church Warden	1651	
WAR	202	 	Steven	Cooke	 	 		Church Warden	1652	
WAR	203	 	Christopher	Barnes	 	 		Church Warden	1652	
WAR	204	 	Roger	Eustace	 	 		Church Warden	1652	
WAR	205	 	Edward	Batys	 	 		Church Warden	1652	
WAR	206	 	William	Floyde	 	 	New Thame	Church Warden	1653	
WAR	207	 	John	Messenger	 	 	Moreton	Church Warden	1653	
WAR	208	 	Steven	Cooke	 	 		Church Warden	1653	
WAR	209	 	Christopher	Barnes	 	 		Church Warden	1653	
WAR	210	 	Richard	Cotton	 	 		Church Warden	1655	
WAR	211	 	Leonard	Greene	 	 		Church Warden	1655	
WAR	212	 	John	Woodbridge	 	 	Weston	Church Warden	1656	
WAR	213	 	William	Parslowe	 	 		Church Warden	1656	
WAR	214	Mr	John	Barton	 	 		Church Warden	1656	"gone out of the parish"
WAR	215	 	Jeremy	Appowell	 	 		Church Warden	1656	chosen instead of the latter Mr John Barton "who is gone out of the Parish "
WAR	216	 	John	Carter	 	 	Old Thame	Church Warden	1656	
WAR	217	 	John	Higgens	 	 		Church Warden	1657	
WAR	218	 	Henry	Tryppe	 	 		Church Warden	1657	
WAR	219	 	William	Parslowe	 	 		Church Warden	1657	
WAR	220	 	John	Woodbridge	 	 		Church Warden	1657	
WAR	221	 	Robert	Warters	 	 		Church Warden	1663	
WAR	222	 	Thomas	Stribblehill	 	 		Church Warden	1663	
WAR	223	 	Thomas	Messenger	 	 	Old Thame	Church Warden	1664	
WAR	224	 	Thomas	Baker	 	 		Church Warden	1664	
WAR	225	 	Thomas	King	 	 		Church Warden	1664	
WAR	226	 	Henry	Jemott	 	 		Church Warden	1664	
WAR	227	 	Thomas	Baker	 	 		Church Warden	1665	
WAR	228	 	Thomas	Messenger	 	 		Church Warden	1665	
WAR	229	 	Richard	Horne	 	 		Church Warden	1665	
WAR	230	 	John	Messenger	Jnr	 		Church Warden	1665	
WAR	231	 	Richard	Horne	 	 		Church Warden	1666	
WAR	232	 	John	Messenger	Jnr	 	Moreton	Church Warden	1666	
WAR	233	 	Robert	Coles	 	 		Church Warden	1666	
WAR	234	 	John	Springall	 	 		Church Warden	1666	
WAR	235	 	Robert	Coles	 	 		Church Warden	1667	
WAR	236	 	John	Springall	 	 		Church Warden	1667	
WAR	237	 	William	Evans	 	 	New Thame	Church Warden	1667	
WAR	238	 	Philip	Greene	 	 	Priestend	Church Warden	1667	
WAR	239	 	William	Evans	 	 		Church Warden	1668	
WAR	240	 	Philip	Greene	 	 		Church Warden	1668	
WAR	241	 	Edward	Phillips	 	 		Church Warden	1668	
WAR	242	 	William	Maunde	 	 		Church Warden	1668	
WAR	243	 	Edward	Phillips	 	 		Church Warden	1669	
WAR	244	 	William	Maunde	 	 		Church Warden	1669	
WAR	245	 	John	Harris	 	 		Church Warden	1669	
WAR	246	 	William	Towne	Jnr	 		Church Warden	1669	
WAR	247	 	Thomas	Dorrell	gent	 		Church Warden	1671	
WAR	248	 	George	Burrows	 	 		Church Warden	1671	
WAR	249	 	Thomas	Reeve	 	 	New Thame	Church Warden	1671	
WAR	250	 	Thomas	Gibbons	 	 	North Weston	Church Warden	1671	
WAR	251	 	Thomas 	Reeve	 	 		Church Warden	1672	
WAR	252	 	Thomas	Gibbons	 	 		Church Warden	1672	
WAR	253	 	Richard	Atkins	 	 	New Thame	Church Warden	1672	
WAR	254	 	William	Coope	 	 	Old Thame	Church Warden	1672	
WAR	255	 	Richard	Atkins	 	 		Church Warden	1673	in the militia
WAR	256	 	William	Coope	 	 		Church Warden	1673	
WAR	257	 	John	Roberts	 	 		Church Warden	1673	
WAR	258	 	George	Yonge	 	 		Church Warden	1673	
WAR	259	 	John	Dearinge	 	 		Church Warden	1673	in lieu of R Atkins
WAR	260	 	George	Young	 	 		Church Warden	1674	
WAR	261	 	John	Dearinge	 	 		Church Warden	1674	
WAR	262	 	John	Knapp	 	 		Church Warden	1674	
WAR	263	Mr	Hugh	Dorell	 	 		Church Warden	1674	
WAR	264	 	John	Knapp	 	 		Church Warden	1675	
WAR	265	Mr	Hugh	Dorell	 	 		Church Warden	1675	
WAR	266	 	Thomas	Price	 	 	North Weston	Church Warden	1675	
WAR	267	 	George	Ingrom	 	 		Church Warden	1675	
WAR	268	 	Thomas	Price	 	 		Church Warden	1676	
WAR	269	 	George	Ingrom	 	 		Church Warden	1676	
WAR	270	 	William	Gibson	 	 		Church Warden	1676	
WAR	271	 	John	Parteridge	 	 		Church Warden	1676	
WAR	272	 	William	Gibson	 	 		Church Warden	1677	
WAR	273	 	John	Parteridge	 	 		Church Warden	1677	
WAR	274	 	John	Gerey	 	 	New Thame	Church Warden	1677	
WAR	275	 	William	Fryer	 	 	Priestend	Church Warden	1677	
WAR	276	 	John	Gerey	 	 		Church Warden	1678	
WAR	277	 	William	Fryer	 	 		Church Warden	1678	
WAR	278	 	Nicholas	Larkcom	 	 		Church Warden	1678	
WAR	279	 	Edward	Bouvier	 	 		Church Warden	1678	
WAR	280	 	Nicholas	Larkcom	 	 	New Thame	Church Warden	1679	
WAR	281	 	Edward	Bouvier	 	 	Old Thame	Church Warden	1679	
WAR	282	 	William	Webb	 	 		Church Warden	1679	
WAR	283	 	John	Yong	 	 		Church Warden	1679	
WAR	284	 	John	Young	 	 		Church Warden	1680	
WAR	285	 	Matthew	Crews	 	 		Church Warden	1680	
WAR	286	 	William	Wheeler	 	 		Church Warden	1680	
WAR	287	 	Matthew	Crews	 	 		Church Warden	1681	
WAR	288	 	William	Wheeler	 	 		Church Warden	1681	
WAR	289	 	William	Jemmot	 	 		Church Warden	1681	
WAR	290	 	John	Bew	 	 		Church Warden	1681	
WAR	291	 	William	Jemmot	 	 		Church Warden	1682	
WAR	292	 	John	Bew	 	 		Church Warden	1682	
WAR	293	Mr	Edward	Smythe	 	 	New Thame	Church Warden	1682	
WAR	294	Mr	Edward	Cooke	 	 	Priestend	Church Warden	1682	
WAR	295	Mr	Edward	Smythe	 	 		Church Warden	1683	
WAR	296	Mr	Edward	Cooke	 	 		Church Warden	1683	
WAR	297	 	Steven	Kent	 	 		Church Warden	1683	
WAR	298	 	Richard	Jordan	 	 		Church Warden	1683	
WAR	299	 	Steven	Kent	 	 		Church Warden	1684	
WAR	300	 	Richard	Jordan	 	 		Church Warden	1684	
WAR	301	 	Robert	Heath	 	 		Church Warden	1684	
WAR	302	 	Anthony	Price	 	 		Church Warden	1684	
WAR	303	 	Robert	Heath	 	 		Church Warden	1685	
WAR	304	 	Anthony	Price	 	 		Church Warden	1685	
WAR	305	 	Francis	Webb	 	 		Church Warden	1685	
WAR	306	 	Steven	King	 	 		Church Warden	1685	
WAR	307	 	Francis	Webb	 	 		Church Warden	1686	
WAR	308	 	Steven	King	 	 		Church Warden	1686	
WAR	309	Mr	Robert	Barry	 	 		Church Warden	1686	
WAR	310	Mr	Andrew	Parslowe	 	 		Church Warden	1686	
WAR	311	Mr	Robert	Barry	 	 		Church Warden	1687	
WAR	312	Mr	Andrew	Parslowe	 	 		Church Warden	1687	
WAR	313	 	William	Munt	 	 		Church Warden	1687	
WAR	314	 	Edward	Gurdon	 	 		Church Warden	1687	
WAR	315	 	William	Munt	 	 		Church Warden	1688	
WAR	316	Mr	Edward	Gurdon	 	 		Church Warden	1688	
WAR	317	 	John	Rose	 	 	Thame	Church Warden	1688	
WAR	318	Mr	Robert	Cotten	 	 		Church Warden	1688	
WAR	319	Mr	John	Rose	 	 	Thame	Church Warden	1689	
WAR	320	 	Robert	Cotten	 	 		Church Warden	1689	
WAR	321	 	John	Wilkins	 	 		Church Warden	1689	
WAR	322	 	Richard	Bowles	 	 		Church Warden	1689	
WAR	323	 	John	Wilkins	 	 		Church Warden	1690	
WAR	324	 	Richard	Bowles	 	 		Church Warden	1690	
WAR	325	 	John	Egerton	 	 	New Thame	Church Warden	1690	
WAR	326	 	Richard	Pimm	 	 		Church Warden	1690	
WAR	327	 	John	Egerton	 	 		Church Warden	1691	
WAR	328	 	Richard	Pimm	 	 		Church Warden	1691	
WAR	329	 	Geffrey	Alnut	Sen	 		Church Warden	1691	
WAR	330	 	Richard	Inet	 	 		Church Warden	1691	
WAR	331	 	Geffrey	Alnut	 	 		Church Warden	1692	
WAR	332	 	Richard	Inet	 	 		Church Warden	1692	
WAR	333	 	William	Simmonds	 	 	Old Thame	Church Warden	1692	
WAR	334	 	Richard	Cotton	 	 	New Thame	Church Warden	1692	
WAR	335	 	William	Simons	 	 		Church Warden	1693	
WAR	336	 	Richard	Cotton	 	 		Church Warden	1693	
WAR	337	 	Edward	Burnard	 	 		Church Warden	1693	
WAR	338	 	William	Pecke	Jnr	 		Church Warden	1693	
WAR	339	 	Richard	Burnard	 	 		Church Warden	1694	
WAR	340	 	William	Pecke	Jnr	 		Church Warden	1694	
WAR	341	 	Joseph	Darwell	 	 		Church Warden	1694	
WAR	342	 	John	Eustace	 	 		Church Warden	1694	
WAR	343	 	Joseph	Darwell	 	 		Church Warden	1695	
WAR	344	 	John	Eustace	 	 		Church Warden	1695	
WAR	345	 	John	Prickett	 	 		Church Warden	1695	
WAR	346	 	John	Heybourne	 	 		Church Warden	1695	
WAR	347	 	John	Prickett	 	 	New Thame	Church Warden	1696	
WAR	348	 	John	Heybourne	 	 	Priestend	Church Warden	1696	
WAR	349	 	Thomas	Druce	 	 	Old Thame	Church Warden	1696	
WAR	350	 	John	Eustace	 	 	New Thame	Church Warden	1696	
WAR	351	 	Thomas	Druce	 	 	Old Thame	Church Warden	1697	
WAR	352	 	John	Eustace	 	 	New Thame	Church Warden	1697	
WAR	353	 	Richard	Jordan	 	 	New Thame	Church Warden	1697	
WAR	354	 	John	Young	 	 	Moreton	Church Warden	1697	
WAR	355	Mr	John	Burrows	 	 	New Thame	Church Warden	1699	
WAR	356	 	Henry	Parker	 	 	Old Thame	Church Warden	1699	
WAR	357	 	Stephen	Smyth	 	 	North Weston	Church Warden	1699	
WAR	358	 	John	Young	 	 	New Thame	Church Warden	1699	
WAR	359	 	Stephen	Smyth	 	 	North Weston	Church Warden	1700	
WAR	360	 	John	Young	 	 	New Thame	Church Warden	1700	
WAR	361	 	Edward	House	 	 	Old Thame	Church Warden	1700	
WAR	362	 	John	Low	 	 	New Thame	Church Warden	1700	
WAR	363	 	Thomas	Andfelde	 	 		Church Warden	1561	
WAR	364	 	Robert	Hall	 	 		Church Warden	1641	
WAR	365	 	William	Webb	 	 		Church Warden	1680	
WAR	366	 	Oliver	Robotham	 	 		Church Warden	1560	
