SC	PLDID	P	Doc No	Type	Day	Month	Year	Property	Street	Place	Comment
PLD	318	0	Welch.C/iv/17	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	319	0	Welch.C/iv/18	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	320	0	Welch.C/iv/19	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	321	0	Welch.C/iv/20	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	322	0	Welch.C/iv/21	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	323	0	Welch.C/iv/22	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	324	0	Welch.C/iv/23	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	326	1	Li.XV/i/a/2	lease	13	11	1759.00	tenement  near to the stocks		Old Thame	
PLD	327	1	Li.XV/i/a/2	lease	13	11	1759.00	five small cottages	Pound Lane	Thame	
PLD	328	0	Li.XV/i/a/3	lease	25	8	1785.00	tenement  near to the stocks		Thame	
PLD	329	0	Li.XV/i/a/3	lease	25	8	1785.00	five small cottages	Pound Lane	Thame	
PLD	330	1	Li.XV/i/b/11	mortgage	19	5	1755.00	tenement adjoining known by sign of Three Pidgeons	New Quarter	New Thame	
PLD	331	1	Misc.Bra.XXVII/i/10	lease for a year	17	1	1758.00	messuage called the Swan		Thame	
PLD	332	1	Misc.Lancs.VI/7	demise and lease for a year	21	8	1693.00	tenement called the Black Boy		New Thame	
PLD	333	1	Misc.Bir.I/ii/2	bond	7	1	1699.00			New Thame	
PLD	334	1	Misc.Bir.I/iii/a/2	lease for a year	29	4	1783.00	cottages	Friday Street	Thame	
PLD	335	1	Misc.Dors.II/5	lease and re-lease	10	4	1656.00	two messuages and tenements together	West Quarter	New Thame	
PLD	336	1	Misc.Har.II/1	lease	13	2	1673.00	messuage	South Part	New Thame	
PLD	337	0	Misc.Har.II/2	re-lease	14	2	1673.00	messuage	South Part	New Thame	
PLD	338	1	Misc.Har.II/3	mortgage	29	9	1675.00	messuage	South part	New Thame	
PLD	339	1	Misc.Har.II/4	assignment of mortgage	26	4	1688.00	messuage	South part	New Thame	
PLD	340	1	Misc.Har.II/8	lease	12	10	1703.00	messuage called the Angel	High St (South Quarter)	New Thame	
PLD	341	0	Misc.Har.II/9	re-lease	0	0	1703.00	messuage called the Angel	High St (South Quarter)	New Thame	
PLD	342	0	Misc.Har.II/10	bond	0	0	1703.00			Thame	
PLD	343	1	Misc.Har.II/11	assignment	0	0	1703.00	messuage called the Angel		Thame	
PLD	345	1	Misc.Har.II/13	final concord	13	7	1704.00	messuages, cottages etc		New Thame	 3 messuages, 2 cottages, 2 stables 1 orchard & 1 acre of pasture in New Thame and Tetsworth
PLD	346	0	Misc.Har.II/14	covenant to a fine	7	4	1713.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	347	1	Misc.Har.II/15	mortgage	7	4	1713.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	348	0	Misc.Har.II/16	final concorde	15	5	1713.00	messuages, cottages etc		Thame	2 messuages, 3 gardens, 1 orchard, 45 acres of land, 3 acres of meadow, 3 acres of pasture,
PLD	349	0	Misc.Har.II/17	assignment	29	9	1718.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	350	0	Misc.Har.II/18	assignment	29	9	1721.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	351	0	Misc.Har.II/19	assignment	15	4	1733.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	352	0	Misc.Har.II/20	assignment	15	4	1733.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	353	0	Misc.Har.II/21	assignment change	15	1	1738.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	354	0	Misc.Har.II/22	assignment change	15	1	1738.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	355	0	Misc.Har.II/23	will	31	3	1753.00	the Angel and Crown Inn		New Thame	
PLD	356	0	Misc.Har.II/24	administration	29	6	1744.00				
PLD	357	0	Misc.Har.II/25	lease for 40 years	29	6	1744.00	the Angel and Crown	South Quarter	New Thame	
PLD	358	0	Misc.Har.II/26	assignment	12	9	1753.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	359	0	Misc.Har.II/27	assignment	12	9	1753.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	360	0	Misc.Har.II/28	assignment	12	9	1753.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	361	0	Misc.Har.II/29	assignment	12	5	1758.00	the Angel and Crown		New Thame	
PLD	362	0	Misc.Har.II/30	assignment	12	5	1758.00	the Angel and Crown		New Thame	
PLD	363	0	Misc.Har.II/31	fire insurance policy	13	1	1759.00	dwelling house		New Thame	
PLD	364	0	Misc.Har.II/32	schedule	14	1	1759.00	deeds relating to the Angel		New Thame	
PLD	365	0	Misc.Har.II/33	lease	13	1	1759.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	366	0	Misc.Har.II/34	re-lease	14	2	1759.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	367	0	Misc.Har.II/35	bond	14	2	1759.00	Inn formerly the Angel now the Angel and Crown	High Street (South Quarter)	New Thame	
PLD	368	0	Misc.Har.II/36	probate note	9	6	1765.00			New Thame	
PLD	369	0	Misc.Har.II/37	lease	9	5	1788.00			New Thame	
PLD	370	0	Misc.Har.II/38	lease	9	5	1788.00			New Thame	
PLD	371	0	Misc.Har.II/39	lease	9	5	1788.00			New Thame	
PLD	372	0	Misc.Har.II/40	account	10	4	1905.00			New Thame	
PLD	374	0	Li.XV/i/b/2	feoffment	3	7	1635.00	messuage	North Quarter	New Thame	
PLD	375	0	Li.XV/i/b/3	mortgage	14	9	1684.00	messuage	North Quarter	New Thame	
PLD	376	0	Li.XV/i/b/4	lease	24	11	1685.00	2 messuages and cottage	North Quarter	New Thame	
PLD	377	0	Li.XV/i/b/5	release	25	11	1685.00	messuage and 3 tenements	North Quarter	New Thame	
PLD	378	0	Li.XV/i/b/6	lease	29	9	1714.00	2 messuages and cottage	North Quarter	New Thame	
PLD	379	0	Li.XV/i/b/7	release	30	9	1714.00	2 messuages and cottage	North Quarter	New Thame	
PLD	380	0	Li.XV/i/b/8	release	30	9	1714.00	2 messuages and cottage	North Quarter	New Thame	
PLD	381	0	Li.XV/i/b/9	assignment	30	9	1714.00	parcel of a messuage		New Thame	
PLD	382	0	Li.XVII/i/2	abstract of title	0	6	1809.00	manor & prem of Priestend		Priestend	
PLDs	383	0	Wild 1	agreement of sale	22	5	1654.00	3 messuages & 3 gardens with appurtenances		Thame	in Thame, NewThame and Old Thame
PLDs	384	0	Wild 2	indenture for a sale	16	10	1682.00	Out Back house (14ft long by 16ft wide)	Friday Street	Thame	with rights of access through the entry of the main property and the right to draw water from the well and the right to erect a house of Office.
