struct_idx	OldPhillimore	NewPhillimore
14186	1W57	"1,274"
14187	1W58	"1,275"
14188	1W59	"1,276"
14189	1W60	"1,277"
14190	1W61	"1,278"
14191	1W62	"1,279"
14192	1W63	"1,280"
14193	1W64	"1,281"
14194	1W65	"1,282"
14195	1W66	"1,283"
14196	1W67	"1,284"
14197	1W68	"1,285"
14198	1W69	"1,286"
14199	1W70	"1,287"
14200	1W71	"1,288"
14201	1W72	"1,289"
14202	1W73	"1,290"
14203	1L1	"1,291"
14204	1L2	"1,292"
14205	1L3	"1,293"
14206	1L4	"1,294"
14207	1L5	"1,295"
14208	1L6	"1,296"
14209	1L7	"1,297"
14210	1L8	"1,298"
14211	2	2
14212	2A1	"2,1"
14213	2A2	"2,2"
14214	2A3	"2,3"
14215	2A4	"2,4"
14216	2	2
14217	2B1	"2,5"
14218	2B2	"2,6"
14219	2B3	"2,7"
14220	2B4	"2,8"
14221	2B5	"2,9"
14222	2B6	"2,10"
14223	2B7	"2,11"
14224	2B8	"2,12"
14225	2B9	"2,13"
14226	2B10	"2,14"
14227	2B11	"2,15"
14228	2B12	"2,16"
14229	2B13	"2,17"
14230	2B14	"2,18"
14231	2B15	"2,19"
14232	2B16	"2,20"
14233	2B17	"2,21"
14234	2B18	"2,22"
14235	2B19	"2,23"
14236	2N1	"2,24"
14237	2N2	"2,25"
14238	2N3	"2,26"
14239	2N4	"2,27"
14240	2N5	"2,28"
14241	2N6	"2,29"
14242	2N7	"2,30"
14243	2N8	"2,31"
14244	2N9	"2,32"
14245	2N10	"2,33"
14246	2N11	"2,34"
14247	2N12	"2,35"
14248	2N13	"2,36"
14249	2N14	"2,37"
14250	2N15	"2,38"
14251	2N16	"2,39"
14252	2N17	"2,40"
14253	2N18	"2,41"
14254	2N19	"2,42"
14255	2N20	"2,43"
14256	2N21	"2,44"
14257	2N22	"2,45"
14258	2N23	"2,46"
14259	2N24	"2,47"
14260	2N25	"2,48"
14261	2N26	"2,49"
14262	2N27	"2,50"
14263	2N28	"2,51"
14264	2N29	"2,52"
14265	2N30	"2,53"
14266	2W1	"2,54"
14267	2W2	"2,55"
14268	2W3	"2,56"
14269	2W4	"2,57"
14270	2W5	"2,58"
14271	2W6	"2,59"
14272	2W7	"2,60"
14273	2W8	"2,61"
14274	2W9	"2,62"
14275	2W10	"2,63"
14276	2W11	"2,64"
14277	2W12	"2,65"
14278	2W13	"2,66"
14279	2.00E+01	"2,67"
14280	2.00E+02	"2,68"
14281	2.00E+03	"2,69"
14282	2.00E+04	"2,70"
14283	2.00E+05	"2,71"
14284	2.00E+06	"2,72"
14285	2.00E+07	"2,73"
14286	2.00E+08	"2,74"
14287	2.00E+09	"2,75"
14288	2.00E+10	"2,76"
14289	2.00E+11	"2,77"
14290	2.00E+12	"2,78"
14291	2.00E+13	"2,79"
14292	2.00E+14	"2,80"
14293	2.00E+15	"2,81"
14294	2.00E+16	"2,82"
14295	2.00E+17	"2,83"
14296	2.00E+18	"2,84"
14297	2.00E+19	"2,85"
14298	2.00E+20	"2,86"
14299	2.00E+21	"2,87"
14300	2.00E+22	"2,88"
14301	2.00E+23	"2,89"
14302	2.00E+24	"2,90"
14303	2.00E+25	"2,91"
14304	2.00E+26	"2,92"
14305	2.00E+27	"2,93"
14306	2.00E+28	"2,94"
14307	2.00E+29	"2,95"
14308	2.00E+30	"2,96"
14309	2.00E+31	"2,97"
14310	2.00E+32	"2,98"
14311	2.00E+33	"2,99"
14312	2.00E+34	"2,100"
14313	2.00E+35	"2,101"
14314	2.00E+36	"2,102"
14315	2.00E+37	"2,103"
14316	2.00E+38	"2,104"
14317	2.00E+39	"2,105"
14318	2.00E+40	"2,106"
14319	2.00E+41	"2,107"
14320	3	3
14321	3Y1	"3,1"
14322	3Y2	"3,2"
14323	3Y3	"3,3"
14324	3Y4	"3,4"
14325	3Y5	"3,5"
14326	3Y6	"3,6"
14327	3Y7	"3,7"
14328	3Y8	"3,8"
14329	3Y9	"3,9"
14330	3Y10	"3,10"
14331	3Y11	"3,11"
14332	3Y12	"3,12"
14333	3Y13	"3,13"
14334	3Y14	"3,14"
14335	3Y15	"3,15"
14336	3Y16	"3,16"
14337	3Y17	"3,17"
14338	3Y18	"3,18"
14339	4	4
14340	4N1	"4,1"
14341	4N2	"4,2"
14342	4N3	"4,3"
14343	4.00E+01	"4,4"
14344	4.00E+02	"4,5"
14345	5	5
14346	5N1	"5,1"
14347	5N1a	"5,2"
14348	5N2	"5,3"
14349	5N3	"5,4"
14350	5N4	"5,5"
14351	5N5	"5,6"
14352	5N6	"5,7"
14353	5N7	"5,8"
14354	5N8	"5,9"
14355	5N9	"5,10"
14356	5N10	"5,11"
14357	5N11	"5,12"
14358	5N12	"5,13"
14359	5N13	"5,14"
14360	5N14	"5,15"
14361	5N15	"5,16"
14362	5N16	"5,17"
14363	5N17	"5,18"
14364	5N18	"5,19"
14365	5N19	"5,20"
14366	5N20	"5,21"
14367	5N21	"5,22"
14368	5N22	"5,23"
14369	5N23	"5,24"
14370	5N24	"5,25"
14371	5N25	"5,26"
14372	5N26	"5,27"
14373	5N27	"5,28"
14374	5N28	"5,29"
14375	5N29	"5,30"
14376	5N30	"5,31"
14377	5N31	"5,32"
14378	5N32	"5,33"
14379	5N33	"5,34"
14380	5N34	"5,35"
14381	5N35	"5,36"
14382	5N36	"5,37"
14383	5N37	"5,38"
14384	5N38	"5,39"
14385	5N39	"5,40"
14386	5N40	"5,41"
14387	5N41	"5,42"
14388	5N42	"5,43"
14389	5N43	"5,44"
14390	5N44	"5,45"
14391	5N45	"5,46"
14392	5N46	"5,47"
14393	5N47	"5,48"
14394	5N48	"5,49"
14395	5N49	"5,50"
14396	5N50	"5,51"
14397	5N51	"5,52"
14398	5N52	"5,53"
14399	5N53	"5,54"
14400	5N54	"5,55"
14401	5N55	"5,56"
14402	5N56	"5,57"
14403	5N57	"5,58"
14404	5N58	"5,59"
14405	5N59	"5,60"
14406	5N60	"5,61"
14407	5N61	"5,62"
14408	5N62	"5,63"
14409	5N63	"5,64"
14410	5N64	"5,65"
14411	5N65	"5,66"
14412	5N66	"5,67"
14413	5N67	"5,68"
14414	5N68	"5,69"
14415	5N69	"5,70"
14416	5N70	"5,71"
14417	5N71	"5,72"
14418	5N72	"5,73"
14419	5N73	"5,74"
14420	5N74	"5,75"
14421	5N75	"5,76"
14422	5N76	"5,77"
14423	5.00E+01	"5,78"
14424	5.00E+02	"5,79"
14425	5.00E+03	"5,80"
14426	5.00E+04	"5,81"
14427	5.00E+05	"5,82"
14428	5.00E+06	"5,83"
14429	5.00E+07	"5,84"
14430	5.00E+08	"5,85"
14431	5.00E+09	"5,86"
14432	5.00E+10	"5,87"
14433	5.00E+11	"5,88"
14434	5.00E+12	"5,89"
14435	5.00E+13	"5,90"
14436	5.00E+14	"5,91"
14437	5.00E+15	"5,92"
14438	5.00E+16	"5,93"
14439	5.00E+17	"5,94"
14440	5.00E+18	"5,95"
14441	5.00E+19	"5,96"
14442	5.00E+20	"5,97"
14443	5.00E+21	"5,98"
14444	5.00E+22	"5,99"
14445	5.00E+23	"5,100"
14446	5.00E+24	"5,101"
14447	5.00E+25	"5,102"
14448	5.00E+26	"5,103"
14449	5.00E+27	"5,104"
14450	5.00E+28	"5,105"
14451	5.00E+29	"5,106"
14452	5.00E+30	"5,107"
14453	5.00E+31	"5,108"
14454	5.00E+32	"5,109"
14455	5.00E+33	"5,110"
14456	5.00E+34	"5,111"
14457	5.00E+35	"5,112"
14458	5.00E+36	"5,113"
14459	5.00E+37	"5,114"
14460	5.00E+38	"5,115"
14461	5.00E+39	"5,116"
14462	5.00E+40	"5,117"
14463	5.00E+41	"5,118"
14464	5.00E+42	"5,119"
14465	5.00E+43	"5,120"
14466	5.00E+44	"5,121"
14467	5.00E+45	"5,122"
14468	5.00E+46	"5,123"
14469	5.00E+47	"5,124"
14470	5.00E+48	"5,125"
14471	5.00E+49	"5,126"
14472	5.00E+50	"5,127"
14473	5.00E+51	"5,128"
14474	5.00E+52	"5,129"
14475	5.00E+53	"5,130"
14476	5.00E+54	"5,131"
14477	5.00E+55	"5,133"
14478	5.00E+56	"5,134"
14479	5.00E+57	"5,132"
14480	5.00E+58	"5,135"
14481	5.00E+59	"5,136"
14482	5.00E+60	"5,137"
14483	5.00E+61	"5,138"
14484	5.00E+62	"5,139"
14485	5.00E+63	"5,140"
14486	5.00E+64	"5,141"
14487	5.00E+65	"5,142"
14488	5.00E+66	"5,143"
14489	5.00E+67	"5,144"
14490	5.00E+68	"5,145"
14491	5.00E+69	"5,146"
14492	5.00E+70	"5,147"
14493	5.00E+71	"5,148"
14494	5.00E+72	"5,149"
14495	5.00E+73	"5,150"
14496	5W1	"5,151"
14497	5W2	"5,152"
14498	5W3	"5,153"
14499	5W4	"5,154"
14500	5W5	"5,155"
14501	5W6	"5,156"
14502	5W7	"5,157"
14503	5W8	"5,158"
14504	5W9	"5,159"
14505	5W10	"5,160"
14506	5W11	"5,161"
14507	5W12	"5,162"
14508	5W13	"5,163"
14509	5W14	"5,164"
14510	5W15	"5,165"
14511	5W16	"5,166"
14512	5W17	"5,167"
14513	5W18	"5,168"
14514	5W19	"5,169"
14515	5W20	"5,170"
14516	5W21	"5,171"
14517	5W22	"5,172"
14518	5W23	"5,173"
14519	5W24	"5,174"
14520	5W25	"5,175"
14521	5W26	"5,176"
14522	5W27	"5,177"
14523	5W28	"5,178"
14524	5W29	"5,179"
14525	5W30	"5,180"
14526	5W31	"5,181"
14527	5W32	"5,182"
14528	5W33	"5,183"
14529	5W34	"5,184"
14530	5W35	"5,185"
14531	5W36	"5,186"
14532	5W37	"5,187"
14533	5W38	"5,188"
14534	6	6
14535	6N1	"6,1"
14536	6N2	"6,2"
14537	6N3	"6,3"
14538	6N4	"6,4"
14539	6N5	"6,5"
14540	6N6	"6,6"
14541	6N7	"6,7"
14542	6N8	"6,8"
14543	6N9	"6,9"
14544	6N10	"6,10"
14545	6N11	"6,11"
14546	6N12	"6,12"
14547	6N13	"6,13"
14548	6N14	"6,14"
14549	6N15	"6,15"
14550	6N16	"6,16"
14551	6N17	"6,17"
14552	6N18	"6,18"
14553	6N19	"6,19"
14554	6N20	"6,20"
14555	6N21	"6,21"
14556	6N22	"6,22"
14557	6N23	"6,23"
14558	6N24	"6,24"
14559	6N25	"6,25"
14560	6N26	"6,26"
14561	6N27	"6,27"
14562	6N28	"6,28"
14563	6N29	"6,29"
14564	6N30	"6,30"
14565	6N31	"6,31"
14566	6N32	"6,32"
14567	6N33	"6,33"
14568	6N34	"6,34"
14569	6N35	"6,35"
14570	6N36	"6,36"
14571	6N37	"6,37"
14572	6N38	"6,38"
14573	6N39	"6,39"
14574	6N40	"6,40"
14575	6N41	"6,41"
14576	6N42	"6,42"
14577	6N43	"6,43"
14578	6N44	"6,44"
14579	6N45	"6,45"
14580	6N46	"6,46"
14581	6N47	"6,47"
14582	6N48	"6,48"
14583	6N49	"6,49"
14584	6N50	"6,50"
14585	6N51	"6,51"
14586	6N52	"6,52"
14587	6N53	"6,53"
14588	6N54	"6,54"
14589	6N55	"6,55"
14590	6N56	"6,56"
14591	6N57	"6,57"
14592	6N58	"6,58"
14593	6N59	"6,59"
14594	6N60	"6,60"
14595	6N61	"6,61"
14596	6N62	"6,62"
14597	6N63	"6,63"
14598	6N64	"6,64"
14599	6N65	"6,65"
14600	6N66	"6,66"
14601	6N67	"6,67"
14602	6N68	"6,68"
14603	6N69	"6,69"
14604	6N70	"6,70"
14605	6N71	"6,71"
14606	6N72	"6,72"
14607	6N73	"6,73"
14608	6N74	"6,74"
14609	6N75	"6,75"
14610	6N76	"6,76"
14611	6N77	"6,77"
14612	6N78	"6,78"
14613	6N79	"6,79"
14614	6N80	"6,80"
14615	6N81	"6,81"
14616	6N82	"6,82"
14617	6N83	"6,83"
14618	6N84	"6,84"
14619	6N85	"6,85"
14620	6N86	"6,86"
14621	6N87	"6,87"
14622	6N88	"6,88"
14623	6N89	"6,89"
14624	6N90	"6,90"
14625	6N91	"6,91"
14626	6N92	"6,92"
14627	6N93	"6,93"
14628	6N94	"6,94"
14629	6N95	"6,95"
14630	6N96	"6,96"
14631	6N97	"6,97"
14632	6N98	"6,98"
14633	6N99	"6,99"
14634	6N100	"6,100"
14635	6N101	"6,101"
14636	6N102	"6,102"
14637	6N103	"6,103"
14638	6N104	"6,104"
14639	6N105	"6,105"
14640	6N106	"6,106"
14641	6N107	"6,107"
14642	6N108	"6,108"
14643	6N109	"6,109"
14644	6N110	"6,110"
14645	6N111	"6,111"
14646	6N112	"6,112"
14647	6N113	"6,113"
14648	6N114	"6,114"
14649	6N115	"6,115"
14650	6N116	"6,116"
14651	6N117	"6,117"
14652	6N118	"6,118"
14653	6N119	"6,119"
14654	6N120	"6,120"
14655	6N121	"6,121"
14656	6N122	"6,122"
14657	6N123	"6,123"
14658	6N124	"6,124"
14659	6N125	"6,125"
14660	6N126	"6,126"
14661	6N127	"6,127"
14662	6N128	"6,128"
14663	6N129	"6,129"
14664	6N130	"6,130"
14665	6N131	"6,131"
14666	6N132	"6,132"
14667	6N133	"6,133"
14668	6N134	"6,134"
14669	6N135	"6,135"
14670	6N136	"6,136"
14671	6N137	"6,137"
14672	6N138	"6,138"
14673	6N139	"6,139"
14674	6N140	"6,140"
14675	6N141	"6,141"
14676	6N142	"6,142"
14677	6N143	"6,143"
14678	6N144	"6,144"
14679	6N145	"6,145"
14680	6N146	"6,146"
14681	6N147	"6,147"
14682	6N148	"6,148"
14683	6N149	"6,149"
14684	6N150	"6,150"
14685	6N151	"6,151"
14686	6N152	"6,152"
14687	6N153	"6,153"
14688	6N154	"6,154"
14689	6N155	"6,155"
14690	6N156	"6,156"
14691	6N157	"6,157"
14692	6N158	"6,158"
14693	6N159	"6,159"
14694	6N160	"6,160"
14695	6N161	"6,161"
14696	6N162	"6,162"
14697	6W1	"6,163"
14698	6W2	"6,164"
14699	6W3	"6,165"
14700	6W4	"6,166"
14701	6W5	"6,167"
14702	6W6	"6,168"
14703	6.00E+01	"6,169"
14704	7	7
14705	7.00E+01	"7,1"
14706	7.00E+02	"7,2"
14707	8	8
14708	8N1	"8,1"
14709	8N2	"8,2"
14710	8N3	"8,3"
14711	8N4	"8,4"
14712	8N5	"8,5"
14713	8N6	"8,6"
14714	8N7	"8,7"
14715	8N8	"8,8"
14716	8N9	"8,9"
14717	8N10	"8,10"
14718	8N11	"8,11"
14719	8N12	"8,12"
14720	8N13	"8,13"
14721	8N14	"8,14"
14722	8N15	"8,15"
14723	8N16	"8,16"
14724	8N17	"8,17"
14725	8N18	"8,18"
14726	8N19	"8,19"
14727	8N20	"8,20"
