place_id	struct_idx	county	phillimore	borough_place	holding	units	value
5480	9210	HUN	B2	Huntingdon	18	burgesses	
5500	9211	HUN	B3	Huntingdon	1	plots	
5520	9212	HUN	B4	Huntingdon		-	
5540	9213	HUN	B5	Huntingdon	1	messuages	
5560	9214	HUN	B6	Huntingdon		-	
5580	9215	HUN	B7	Huntingdon	60	messuages	
5600	9216	HUN	B8	Huntingdon	8	messuages	
5620	9217	HUN	B9	Huntingdon	140	burgesses	
5640	9218	HUN	B10	Huntingdon	1	messuages	
5660	9219	HUN	B11	Huntingdon	44	messuages	
5680	9220	HUN	B12	Huntingdon	22	burgesses	
5700	9221	HUN	B13	Huntingdon	1	houses	
5720	9221	HUN	B13	Huntingdon	1	churches	
5740	9222	HUN	B14	Huntingdon	16	houses	
5760	9223	HUN	B15	Huntingdon	0	geld	
5780	9224	HUN	B16	Huntingdon		third penny	9.33
5800	9225	HUN	B17	Huntingdon		value	30
5820	9225	HUN	B17	Huntingdon	1	mills	3
5840	9226	HUN	B18	Huntingdon	2.33	carucates	
5860	9226	HUN	B18	Huntingdon	3	fishermen	0.15
5880	9226	HUN	B18	Huntingdon	10	acres of meadow	
5900	9227	HUN	B19	Huntingdon		-	
5920	9228	HUN	B20	Huntingdon		value	30
5940	9229	HUN	B21	Broughton		-	
5960	9229	HUN	B21	Huntingdon	1	geld	
5980	9431	BDF	B1	Bedford	50	geld	
6000	9431	BDF	B1	Bedford	1	geld	5
6020	9870	NTH	B1	Northampton	87	burgesses	
6040	9871	NTH	B2	Northampton	23	houses	1.46
6060	9872	NTH	B3	Northampton	1	houses	0.06
6080	9873	NTH	B4	Northampton	15	houses	0.73
6100	9874	NTH	B5	Northampton	1	houses	0.06
6120	9875	NTH	B6	Northampton	4	houses	0.05
6140	9876	NTH	B7	Northampton	1	houses	
6160	9877	NTH	B8	Northampton	2	houses	0.13
6180	9878	NTH	B9	Northampton	37	houses	2.28
6200	9879	NTH	B10	Northampton	1	houses	0.01
6220	9880	NTH	B11	Northampton	16	houses	0.6
6240	9881	NTH	B12	Northampton	4	houses	0.2
6260	9882	NTH	B13	Northampton	8	houses	0.46
6280	9883	NTH	B14	Northampton	1	houses	
6300	9884	NTH	B15	Northampton	32	houses	1.43
6320	9885	NTH	B16	Northampton	2	houses	0.06
6340	9886	NTH	B17	Northampton	1	houses	0
6360	9887	NTH	B18	Northampton	4	houses	0.26
6380	9888	NTH	B19	Northampton	10	houses	0.4
6400	9889	NTH	B20	Northampton	12	houses	0.15
6420	9890	NTH	B21	Northampton	4	houses	0.2
6440	9891	NTH	B22	Northampton	1	houses	0.05
6460	9892	NTH	B23	Northampton	1	houses	0.06
6480	9893	NTH	B24	Northampton	4	houses	0.2
6500	9894	NTH	B25	Northampton	2	houses	0.1
6520	9895	NTH	B26	Northampton	3	houses	0.13
6540	9896	NTH	B27	Northampton	8	houses	0.4
6560	9897	NTH	B28	Northampton	1	houses	0.06
6580	9898	NTH	B29	Stoke [Bruerne]	21	houses	0.5
6600	9898	NTH	B29	Northampton		-	
6620	9899	NTH	B30	Northampton	2	houses	0.1
6640	9900	NTH	B31	Northampton	1	houses	0.01
6660	9900	NTH	B31	Northampton	0.5	messuages	
6680	9901	NTH	B32	Northampton	2	houses	0.06
6700	9902	NTH	B33	Northampton	1	houses	0.06
6720	9903	NTH	B34	Northampton	2	houses	0.08
6740	9904	NTH	B35	Northampton	2	houses	0.13
6760	9905	NTH	B36	[Kings] Cliffe		value	10
6780	9905	NTH	B36	Northampton		value	95
6800	9905	NTH	B36	Finedon		value	40
6820	9906	NTH	B37	Northampton		value	30.5
6840	9907	NTH	B38	Northampton		value	7
6860	10614	LEC	C1	Leicester		-	
6880	10615	LEC	C2	London		-	
6900	10615	LEC	C2	Leicester		-	
6920	10616	LEC	C3	Leicester		value	42.5
6940	10617	LEC	C4	Leicester		customary dues	11
6960	10618	LEC	C5	Leicester		third penny	20
6980	10619	LEC	C6	Leicester	39	houses	
7000	10620	LEC	C7	Tur Langton	2	houses	
7020	10620	LEC	C7	Leicester		-	
7040	10621	LEC	C8	Barrow[-upon-Soar]	10	houses	
7060	10621	LEC	C8	Kegworth	6	houses	
7080	10621	LEC	C8	Loughborough	1	houses	
7100	10621	LEC	C8	Leicester		-
7120	10622	LEC	C9	Leicester	10	houses
7140	10623	LEC	C10	Leicester	3	houses
7160	10624	LEC	C11	Leicester	2	churches
7180	10624	LEC	C11	Leicester	134	houses
7200	10624	LEC	C11	Anstey	24	burgesses
7220	10624	LEC	C11	Sileby	13	burgesses
7240	10624	LEC	C11	[Old] Ingarsby	3	houses
7260	10624	LEC	C11	Belgrave	10	houses
7280	10624	LEC	C11	Broughton [Astley]	4	houses
7300	10624	LEC	C11	Stockerston	9	houses
7320	10624	LEC	C11	Wigston [Magna]	4	houses
7340	10624	LEC	C11	Enderby	7	houses
7360	10624	LEC	C11	[Earl] Shilton	3	houses
7380	10624	LEC	C11	Birstall	10	houses
7400	10624	LEC	C11	Burton [Overy]	3	houses
7420	10624	LEC	C11	`Bromkinsthorpe'	1	houses
7440	10624	LEC	C11	Desford	2	houses
7460	10624	LEC	C11	{Legham}	3	houses
7480	10624	LEC	C11	{Letitone}	1	houses
7500	10624	LEC	C11	Thurcaston	1	houses
7520	10625	LEC	C12	Watford		-
7540	10625	LEC	C12	Leicester	11	houses
7560	10625	LEC	C12	Leicester	2	churches
7580	10626	LEC	C13	Newton [Harcourt]	6	houses
7600	10626	LEC	C13	Kibworth [Harcourt]	3	houses
7620	10626	LEC	C13	Leicester		-
7640	10627	LEC	C14	[Little] Dalby	1	houses
7660	10627	LEC	C14	Pickwell	1	houses
7680	10627	LEC	C14	Leicester		-
7700	10628	LEC	C15	Shepshed	4	houses
7720	10628	LEC	C15	Leicester		-
7740	10628	LEC	C15	Saddington	1	houses	
7760	10628	LEC	C15	Thorpe [Acre]	1	houses	
7780	10629	LEC	C16	Leicester	1	burgesses	
7800	10630	LEC	C17	Leicester	28	houses	
7820	10631	LEC	C18	Leicester	4	leagues of woodland	
7840	11098	WAR	B1	Warwick	225	houses	
7860	11099	WAR	B2	Warwick	108	messuages	
7880	11099	WAR	B2	Warwick	1	houses	
7900	11100	WAR	B3	Warwick	19	messuages	
7920	11101	WAR	B4	Warwick		value	184
7940	11102	WAR	B5	Warwick	30	sesters of honey	
7960	11103	WAR	B6	Warwick		-	
7980	11103	WAR	B6	Warwick		-	
8000	11518	STS	B1	Stafford	30	messuages	
8020	11518	STS	B1	Stafford	18	burgesses	
8040	11519	STS	B2	Stafford	14	messuages	
8060	11520	STS	B3	Stafford	5	messuages	
8080	11521	STS	B4	Sheriffhales	3	messuages	
8100	11521	STS	B4	Stafford	31	messuages	
8120	11522	STS	B5	Worfield	5	messuages	
8140	11522	STS	B5	Stafford		-	
8160	11523	STS	B6	Bradley	13	messuages	
8180	11523	STS	B6	Stafford		-	
8200	11524	STS	B7	Stafford	41	messuages	
8220	11525	STS	B8	[Upper] Penn	4	messuages	
8240	11525	STS	B8	Stafford		-	
8260	11526	STS	B9	Stafford	1	messuages	
8280	11527	STS	B10	Stafford	14	messuages	
8300	11528	STS	B11	Stafford		-	
8320	11529	STS	B12	Stafford		value	7
8340	11848	SHR	C1	Shrewsbury		-	
8360	11849	SHR	C2	Shrewsbury		-	
8380	11850	SHR	C3	Marsley?		-	
8400	11850	SHR	C3	Shrewsbury		-	
8420	11851	SHR	C4	Shrewsbury		-	
8440	11852	SHR	C5	Shrewsbury		-	
8460	11853	SHR	C6	Shrewsbury		-	
8480	11854	SHR	C7	Shrewsbury		-	
8500	11855	SHR	C8	Shrewsbury		-	
8520	11856	SHR	C9	Shrewsbury		-	
8540	11857	SHR	C10	Leintwardine		-	
8560	11857	SHR	C10	Shrewsbury		-	
8580	11858	SHR	C11	Shrewsbury		-	
8600	11859	SHR	C12	Shrewsbury		value	40
8620	11860	SHR	C13	Shrewsbury	100	geld	
8640	11861	SHR	C14	Shrewsbury	193	messuages	
8660	11861	SHR	C14	Shrewsbury	82	burgesses	
8680	12403	CHS	C1	Chester	50	geld	
8700	12403	CHS	C1	Newton	1	geld
8720	12403	CHS	C1	`Redcliff'	1	geld
8740	12403	CHS	C1	outside Chester	1.5	geld
8760	12404	CHS	C2	Chester		-
8780	12405	CHS	C3	Chester		-
8800	12406	CHS	C4	Chester		-
8820	12407	CHS	C5	Chester		-
8840	12408	CHS	C6	Chester		-
8860	12409	CHS	C7	Chester		-
8880	12410	CHS	C8	Chester		-
8900	12411	CHS	C9	Chester		-
8920	12412	CHS	C10	Chester		-
8940	12413	CHS	C11	Chester		-
8960	12414	CHS	C12	Chester		-
8980	12415	CHS	C13	Chester		-
9000	12416	CHS	C14	Chester		-
9020	12417	CHS	C15	Chester		-	
9040	12418	CHS	C16	Chester		-	
9060	12419	CHS	C17	Chester		-	
9080	12420	CHS	C18	Chester		-	
9100	12421	CHS	C19	Chester		-	
9120	12422	CHS	C20	Chester		-	
9140	12423	CHS	C21	Chester		-	
9160	12424	CHS	C22	Chester		-	
9180	12425	CHS	C23	Chester		-	
9200	12426	CHS	C24	Chester		value	132
9220	12427	CHS	C25	Chester		-	
9240	12775	CHS	"S1,1"	Nantwich		-	
9260	12776	CHS	"S1,2"	Nantwich		-	
9280	12777	CHS	"S1,3"	Nantwich		-	
9300	12778	CHS	"S1,4"	Nantwich		-	
9320	12779	CHS	"S1,5"	Nantwich		-	
9340	12780	CHS	"S1,6"	Nantwich		-	
9360	12781	CHS	"S1,7"	Nantwich		value	12
9380	12782	CHS	"S2,1"	Middlewich		value	1.25
9400	12783	CHS	"S2,2"	Middlewich		-	
9420	12784	CHS	"S2,3"	Middlewich		-	
9440	12785	CHS	"S2,4"	Middlewich		-	
