struct_idx	county	phillimore	text_type
426	KEN	"7,24"	E
427	KEN	"7,25"	E
428	KEN	"7,26"	E
429	KEN	"7,27"	E
430	KEN	"7,28"	E
431	KEN	"7,29"	E
432	KEN	"7,30"	E
434	KEN	"8,1"	E
436	KEN	"9,1"	E
437	KEN	"9,2"	E
438	KEN	"9,3"	E
439	KEN	"9,4"	E
440	KEN	"9,5"	E
441	KEN	"9,6"	E
442	KEN	"9,7"	E
443	KEN	"9,8"	E
444	KEN	"9,9"	E
445	KEN	"9,10"	E
446	KEN	"9,11"	E
447	KEN	"9,12"	E
448	KEN	"9,13"	E
449	KEN	"9,14"	E
450	KEN	"9,15"	E
451	KEN	"9,16"	E
452	KEN	"9,17"	E
453	KEN	"9,18"	E
454	KEN	"9,19"	E
455	KEN	"9,20"	E
456	KEN	"9,21"	E
457	KEN	"9,22"	E
458	KEN	"9,23"	E
459	KEN	"9,24"	E
460	KEN	"9,25"	E
461	KEN	"9,26"	E
462	KEN	"9,27"	E
463	KEN	"9,28"	E
464	KEN	"9,29"	E
465	KEN	"9,30"	E
466	KEN	"9,31"	E
467	KEN	"9,32"	E
468	KEN	"9,33"	E
469	KEN	"9,34"	E
470	KEN	"9,35"	E
471	KEN	"9,36"	E
472	KEN	"9,37"	E
473	KEN	"9,38"	E
474	KEN	"9,39"	E
475	KEN	"9,40"	E
476	KEN	"9,41"	E
477	KEN	"9,42"	E
478	KEN	"9,43"	E
479	KEN	"9,44"	E
480	KEN	"9,45"	E
481	KEN	"9,46"	E
482	KEN	"9,47"	E
483	KEN	"9,48"	E
484	KEN	"9,49"	E
485	KEN	"9,50"	E
486	KEN	"9,51"	E
487	KEN	"9,52"	E
488	KEN	"9,53"	E
489	KEN	"9,54"	E
491	KEN	"10,1"	E
492	KEN	"10,2"	E
494	KEN	"11,1"	E
495	KEN	"11,2"	E
497	KEN	"12,1"	E
498	KEN	"12,2"	E
499	KEN	"12,3"	E
500	KEN	"12,4"	E
502	KEN	"13,1"	E
506	SUS	"1,1"	E
507	SUS	"1,2"	E
509	SUS	"2,1a"	E
510	SUS	"2,1b"	E
511	SUS	"2,1c"	E
512	SUS	"2,1d"	E
513	SUS	"2,1e"	E
514	SUS	"2,1f"	E
515	SUS	"2,1g"	E
516	SUS	"2,2"	E
517	SUS	"2,3"	E
518	SUS	"2,4"	E
519	SUS	"2,5"	E
520	SUS	"2,6"	E
521	SUS	"2,7"	E
522	SUS	"2,8"	E
523	SUS	"2,9"	E
524	SUS	"2,10"	E
526	SUS	"3,1"	E
527	SUS	"3,2"	E
528	SUS	"3,3"	E
529	SUS	"3,4"	E
530	SUS	"3,5"	E
531	SUS	"3,6"	E
532	SUS	"3,7"	E
533	SUS	"3,8"	E
534	SUS	"3,9"	E
535	SUS	"3,10"	E
537	SUS	"4,1"	E
539	SUS	"5,1"	E
540	SUS	"5,2"	E
541	SUS	"5,3"	E
543	SUS	"6,1"	E
544	SUS	"6,2"	E
545	SUS	"6,3"	E
546	SUS	"6,4"	E
547	SUS	"6,5"	E
549	SUS	"7,1"	E
550	SUS	"7,2"	E
552	SUS	"8,1"	E
553	SUS	"8,2"	E
554	SUS	"8,3"	E
555	SUS	"8,4"	E
556	SUS	"8,5"	E
557	SUS	"8,6"	E
558	SUS	"8,7"	E
559	SUS	"8,8"	E
560	SUS	"8,9"	E
561	SUS	"8,10"	E
562	SUS	"8,11"	E
563	SUS	"8,12"	E
564	SUS	"8,13"	E
565	SUS	"8,14"	E
566	SUS	"8,15"	E
567	SUS	"8,16"	E
569	SUS	"8a,1"	E
571	SUS	"9,1"	E
572	SUS	"9,2"	E
573	SUS	"9,3"	E
574	SUS	"9,4"	E
575	SUS	"9,5"	E
576	SUS	"9,6"	E
577	SUS	"9,7"	E
578	SUS	"9,8"	E
579	SUS	"9,9"	E
580	SUS	"9,10"	E
581	SUS	"9,11"	E
582	SUS	"9,12"	E
583	SUS	"9,13"	E
584	SUS	"9,14"	E
585	SUS	"9,15"	E
586	SUS	"9,16"	E
587	SUS	"9,17"	E
588	SUS	"9,18"	E
589	SUS	"9,19"	E
590	SUS	"9,20"	E
591	SUS	"9,21"	E
592	SUS	"9,22"	E
593	SUS	"9,23"	E
594	SUS	"9,24"	E
595	SUS	"9,25"	E
596	SUS	"9,26"	E
597	SUS	"9,27"	E
598	SUS	"9,28"	E
599	SUS	"9,29"	E
600	SUS	"9,30"	E
601	SUS	"9,31"	E
602	SUS	"9,32"	E
603	SUS	"9,33"	E
604	SUS	"9,34"	E
605	SUS	"9,35"	E
606	SUS	"9,36"	E
607	SUS	"9,37"	E
608	SUS	"9,38"	E
609	SUS	"9,39"	E
610	SUS	"9,40"	E
611	SUS	"9,41"	E
612	SUS	"9,42"	E
613	SUS	"9,43"	E
614	SUS	"9,44"	E
615	SUS	"9,45"	E
616	SUS	"9,46"	E
617	SUS	"9,47"	E
618	SUS	"9,48"	E
619	SUS	"9,49"	E
620	SUS	"9,50"	E
621	SUS	"9,51"	E
622	SUS	"9,52"	E
623	SUS	"9,53"	E
624	SUS	"9,54"	E
625	SUS	"9,55"	E
626	SUS	"9,56"	E
627	SUS	"9,57"	E
628	SUS	"9,58"	E
629	SUS	"9,59"	E
630	SUS	"9,60"	E
631	SUS	"9,61"	E
632	SUS	"9,62"	E
633	SUS	"9,63"	E
634	SUS	"9,64"	E
635	SUS	"9,65"	E
636	SUS	"9,66"	E
637	SUS	"9,67"	E
638	SUS	"9,68"	E
639	SUS	"9,69"	E
640	SUS	"9,70"	E
641	SUS	"9,71"	E
642	SUS	"9,72"	E
643	SUS	"9,73"	E
644	SUS	"9,74"	E
