struct_idx	phillimore	county	text_type
17780	"SW,Bu24"	YS	E
17780	"SW,Bu24"	YS	E
17781	"SW,Bu25"	YS	E
17781	"SW,Bu25"	YS	E
17781	"SW,Bu25"	YS	E
17781	"SW,Bu25"	YS	E
17781	"SW,Bu25"	YS	E
17782	"SW,Bu26"	YS	E
17782	"SW,Bu26"	YS	E
17782	"SW,Bu26"	YS	E
17783	"SW,Bu27"	YS	E
17783	"SW,Bu27"	YS	E
17783	"SW,Bu27"	YS	E
17784	"SW,Bu28"	YS	E
17784	"SW,Bu28"	YS	E
17784	"SW,Bu28"	YS	E
17785	"SW,Bu29"	YS	E
17785	"SW,Bu29"	YS	E
17785	"SW,Bu29"	YS	E
17785	"SW,Bu29"	YS	E
17786	"SW,Bu30"	YS	E
17786	"SW,Bu30"	YS	E
17786	"SW,Bu30"	YS	E
17786	"SW,Bu30"	YS	E
17787	"SW,Bu31"	YS	E
17787	"SW,Bu31"	YS	E
17787	"SW,Bu31"	YS	E
17787	"SW,Bu31"	YS	E
17788	"SW,Bu32"	YS	E
17788	"SW,Bu32"	YS	E
17788	"SW,Bu32"	YS	E
17788	"SW,Bu32"	YS	E
17789	"SW,Bu33"	YS	E
17789	"SW,Bu33"	YS	E
17789	"SW,Bu33"	YS	E
17789	"SW,Bu33"	YS	E
17790	"SW,Bu34"	YS	E
17790	"SW,Bu34"	YS	E
17790	"SW,Bu34"	YS	E
17790	"SW,Bu34"	YS	E
17791	"SW,Bu35"	YS	E
17791	"SW,Bu35"	YS	E
17791	"SW,Bu35"	YS	E
17791	"SW,Bu35"	YS	E
17792	"SW,Bu36"	YS	E
17792	"SW,Bu36"	YS	E
17792	"SW,Bu36"	YS	E
17792	"SW,Bu36"	YS	E
17793	"SW,Bu37"	YS	E
17793	"SW,Bu37"	YS	E
17793	"SW,Bu37"	YS	E
17793	"SW,Bu37"	YS	E
17794	"SW,Bu38"	YS	E
17794	"SW,Bu38"	YS	E
17794	"SW,Bu38"	YS	E
17795	"SW,Bu39"	YS	E
17795	"SW,Bu39"	YS	E
17795	"SW,Bu39"	YS	E
17796	"SW,Bu40"	YS	E
17796	"SW,Bu40"	YS	E
17796	"SW,Bu40"	YS	E
17796	"SW,Bu40"	YS	E
17797	"SW,Bu41"	YS	E
17797	"SW,Bu41"	YS	E
17797	"SW,Bu41"	YS	E
17797	"SW,Bu41"	YS	E
17798	"SW,Bu42"	YS	E
17798	"SW,Bu42"	YS	E
17798	"SW,Bu42"	YS	E
17799	"SW,Bu43"	YS	E
17799	"SW,Bu43"	YS	E
17799	"SW,Bu43"	YS	E
17799	"SW,Bu43"	YS	E
17800	"SW,Bu44"	YS	E
17800	"SW,Bu44"	YS	E
17800	"SW,Bu44"	YS	E
17801	"SW,Bu45"	YS	E
17801	"SW,Bu45"	YS	E
17801	"SW,Bu45"	YS	E
17801	"SW,Bu45"	YS	E
17802	"SW,Bu46"	YS	E
17802	"SW,Bu46"	YS	E
17802	"SW,Bu46"	YS	E
17802	"SW,Bu46"	YS	E
17803	"SW,Bu47"	YS	E
17803	"SW,Bu47"	YS	E
17803	"SW,Bu47"	YS	E
17803	"SW,Bu47"	YS	E
17803	"SW,Bu47"	YS	E
17804	"SW,Bu48"	YS	E
17804	"SW,Bu48"	YS	E
17804	"SW,Bu48"	YS	E
17804	"SW,Bu48"	YS	E
17804	"SW,Bu48"	YS	E
17804	"SW,Bu48"	YS	E
17804	"SW,Bu48"	YS	E
17805	"SW,Bu49"	YS	E
17805	"SW,Bu49"	YS	E
17806	"SW,H1"	YS	E
17806	"SW,H1"	YS	E
17806	"SW,H1"	YS	E
17807	"SW,H2"	YS	E
17807	"SW,H2"	YS	E
17807	"SW,H2"	YS	E
17807	"SW,H2"	YS	E
17808	"SW,H3"	YS	E
17808	"SW,H3"	YS	E
17808	"SW,H3"	YS	E
17808	"SW,H3"	YS	E
17809	"SW,H4"	YS	E
17809	"SW,H4"	YS	E
17809	"SW,H4"	YS	E
17809	"SW,H4"	YS	E
17810	"SW,H5"	YS	E
17810	"SW,H5"	YS	E
17810	"SW,H5"	YS	E
17811	"SW,H6"	YS	E
17811	"SW,H6"	YS	E
17811	"SW,H6"	YS	E
17811	"SW,H6"	YS	E
17811	"SW,H6"	YS	E
17812	"SW,H7"	YS	E
17812	"SW,H7"	YS	E
17812	"SW,H7"	YS	E
17813	"SW,H8"	YS	E
17813	"SW,H8"	YS	E
17813	"SW,H8"	YS	E
17813	"SW,H8"	YS	E
17814	"SW,H9"	YS	E
17814	"SW,H9"	YS	E
17814	"SW,H9"	YS	E
17814	"SW,H9"	YS	E
17814	"SW,H9"	YS	E
17815	"SW,Cr1"	YS	E
17815	"SW,Cr1"	YS	E
17815	"SW,Cr1"	YS	E
17815	"SW,Cr1"	YS	E
17815	"SW,Cr1"	YS	E
17816	"SW,Cr2"	YS	E
17816	"SW,Cr2"	YS	E
17816	"SW,Cr2"	YS	E
17816	"SW,Cr2"	YS	E
17816	"SW,Cr2"	YS	E
17817	"SW,Cr3"	YS	E
17817	"SW,Cr3"	YS	E
17817	"SW,Cr3"	YS	E
17817	"SW,Cr3"	YS	E
17817	"SW,Cr3"	YS	E
17818	"SW,Cr4"	YS	E
17818	"SW,Cr4"	YS	E
17818	"SW,Cr4"	YS	E
17818	"SW,Cr4"	YS	E
17818	"SW,Cr4"	YS	E
17818	"SW,Cr4"	YS	E
17819	"SW,Cr5"	YS	E
17819	"SW,Cr5"	YS	E
17819	"SW,Cr5"	YS	E
17819	"SW,Cr5"	YS	E
17820	"SN,L1"	YS	E
17820	"SN,L1"	YS	E
17820	"SN,L1"	YS	E
17821	"SN,L2"	YS	E
17821	"SN,L2"	YS	E
17821	"SN,L2"	YS	E
17822	"SN,L3"	YS	E
17822	"SN,L3"	YS	E
17822	"SN,L3"	YS	E
17823	"SN,L4"	YS	E
17823	"SN,L4"	YS	E
17823	"SN,L4"	YS	E
17823	"SN,L4"	YS	E
17824	"SN,L5"	YS	E
17824	"SN,L5"	YS	E
17824	"SN,L5"	YS	E
17824	"SN,L5"	YS	E
17825	"SN,L6"	YS	E
17825	"SN,L6"	YS	E
17825	"SN,L6"	YS	E
