struct_idx	county	phillimore	text_type
13886	YKS	C18	U
13887	YKS	C19	U
13888	YKS	C20	U
13889	YKS	C21	U
13890	YKS	C22	U
13891	YKS	C23	U
13892	YKS	C24	U
13893	YKS	C25	U
13894	YKS	C26	U
13895	YKS	C27	U
13896	YKS	C28	U
13897	YKS	C29	U
13898	YKS	C30	U
13899	YKS	C31	U
13900	YKS	C32	U
13901	YKS	C33	U
13902	YKS	C34	U
13903	YKS	C35	U
13904	YKS	C36	U
13905	YKS	C37	U
13906	YKS	C38	U
13907	YKS	C39	U
13908	YKS	C40	U
15552	LIN	C1	U
15553	LIN	C2	U
15554	LIN	C3	U
15555	LIN	C4	U
15556	LIN	C5	U
15557	LIN	C6	U
15558	LIN	C7	U
15559	LIN	C8	U
15560	LIN	C9	U
15561	LIN	C10	U
15562	LIN	C11	U
15563	LIN	C12	U
15564	LIN	C13	U
15565	LIN	C14	U
15566	LIN	C15	U
15567	LIN	C16	U
15568	LIN	C17	U
15569	LIN	C18	U
15570	LIN	C19	U
15571	LIN	C20	U
15572	LIN	C21	U
15573	LIN	C22	U
15574	LIN	C23	U
15575	LIN	C24	U
15576	LIN	C25	U
15577	LIN	C26	U
15578	LIN	C27	U
15579	LIN	C28	U
15580	LIN	C29	U
15581	LIN	C30	U
15582	LIN	C31	U
15583	LIN	C32	U
15584	LIN	C33	U
15586	LIN	S1	U
15587	LIN	S2	U
15588	LIN	S3	U
15589	LIN	S4	U
15590	LIN	S5	U
15591	LIN	S6	U
15592	LIN	S7	U
15593	LIN	S8	U
15594	LIN	S9	U
15595	LIN	S10	U
15596	LIN	S11	U
15597	LIN	S12	U
15598	LIN	S13	U
15599	LIN	S14	U
15600	LIN	S15	U
15601	LIN	S16	U
15603	LIN	T1	U
15604	LIN	T2	U
15605	LIN	T3	U
15606	LIN	T4	U
15607	LIN	T5	U
19253	ESS	B1	U
19254	ESS	B2	U
19255	ESS	B3a	U
19256	ESS	B3b	U
19257	ESS	B3c	U
19258	ESS	B3d	U
19259	ESS	B3e	U
19260	ESS	B3f	U
19261	ESS	B3g	U
19262	ESS	B3h	U
19263	ESS	B3j	U
19264	ESS	B3k	U
19265	ESS	B3l	U
19266	ESS	B3m	U
19267	ESS	B3n	U
19268	ESS	B3p	U
19269	ESS	B3q	U
19270	ESS	B3r	U
19271	ESS	B3s	U
19272	ESS	B3t	U
19273	ESS	B4	U
19274	ESS	B5	U
19275	ESS	B6	U
19276	ESS	B7	U
19339	NFK	"1,61"	U
19342	NFK	"1,61"	U
19344	NFK	"1,66"	U
21084	SUF	"1,122a"	U
21086	SUF	"1,122c"	U
21087	SUF	"1,122d"	U
21088	SUF	"1,122e"	U
21089	SUF	"1,122f"	U
21090	SUF	"1,122g"	U
