places_idx	place_form_sub	county	hundred	vill	os_ref	os_codes
1056	1	DEV	South Molton	Aller		
1056	2	DEV	South Molton	North Aller	SS6928	
1056	3	DEV	South Molton	South Aller	SS6927	
1061	1	SOM	Carhampton	Aller	ST0042
1066	1	SOM	Somerton	Aller	ST3929
1071	1	SOM	Williton	Aller	ST0739
1076	1	SOM	Carhampton	Allercott	SS9539
1081	1	SOM	Carhampton	Allerford	SS9046
1086	1	YKS	{Dic}	Allerston	SE8782
1091	1	YKS	Pocklington	Allerthorpe	SE7844
1096	1	YKS	Land of Count Alan	Allerthorpe	
1096	2	YKS	Land of Count Alan	Allerthorpe Hall	SE3286
1101	1	CHS	[West] Derby	Allerton	SJ4187
1106	1	SOM	Bempstone	Allerton	
1106	2	SOM	Bempstone	Chapel Allerton	ST4050
1106	3	SOM	Bempstone	Stone Allerton	ST4051
1111	1	YKS	Morley	Allerton	SE1133
1116	1	YKS	`Skyrack'	Allerton	
1116	2	YKS	`Skyrack'	Allerton Bywater	SE4127
1121	1	YKS	`Skyrack'	Allerton	
1121	2	YKS	`Skyrack'	Chapel Allerton	SE3037
1126	1	YKS	`Burghshire'	Allerton	
1126	2	YKS	`Burghshire'	Allerton Mauleverer	SE4157
1136	1	DBY	Litchurch	Allestree	SK3439
1141	1	LEC	`Goscote'	Allexton	SK8100
1146	1	CHS	{Exestan}	Allington	SJ3857
1146	2	CHS	{Exestan}	Trevalyn	
1151	1	DOR	`Goderthorn'	Allington	SY4693
1156	1	HAM	Mansbridge	Allington	SU4717
1161	1	KEN	Eyhorne	Allington	TQ8456
1166	1	KEN	Larkfield	Allington	TQ7457
1171	1	LIN	`Winnibriggs'	Allington	
1171	2	LIN	`Winnibriggs'	East Allington	SK8540
1171	3	LIN	`Winnibriggs'	West Allington	SK8540
1176	1	SUS	Barcombe	Allington	TQ3813
1181	1	WIL	`Studfold'	Allington	SU0663
1186	1	WIL	Amesbury	Allington	SU2039
1191	1	DEV	Diptford	Allington	
1191	2	DEV	Diptford	East Allington	SX7748
1196	1	DEV	Chillington	Allington	
1196	2	DEV	Chillington	South Allington	SX7938
1201	1	DEV	Merton	Allisland	SS4811
1206	1	HAM	Boldre	Allum	SU2707
1211	1	HEF	Elsdon	Almeley	SO3351
1216	1	STS	Pirehill	Almington	SJ7034
1221	1	DEV	Hartland	Alminstone	SS3420
1221	2	DEV	Hartland	Almiston	
1226	1	YKS	Agbrigg	Almondbury	SE1615
1231	1	GLS	Berkeley	Almondsbury	ST6084
1236	1	HRT	Broadwater	Almshoe	
1236	2	HRT	Broadwater	Almshoe Bury	TL2025
1236	3	HRT	Broadwater	Little Almshoe	TL1925	
1241	1	SOM	Carhampton	Almsworthy	SS8239	
1246	1	HEF	Stradel	Almundestune	SO3438	speculative
1246	2	HEF	Stradel	Peterchurch		
1251	1	YKS	`Bulford'	Alne	SE4965	
1256	1	WAR	{Fernecumbe}	Alne	SP1259	
1256	2	WAR	{Fernecumbe}	Great Alne		
1261	1	SUF	Carlford	Alnesbourn	TM1940	
1266	1	SUF	`Blything'	Alneterne		unknown
1271	1	ESS	`Hinckford'	Alphamstone	TL8735	
1276	1	DEV	Wonford	Alphington	SX9189	
1281	1	NFK	`Henstead'	Alpington	TG2901	
1286	1	CHS	Rushton	Alpraham	SJ5859	
1291	1	DEV	Axminster	Alreford		unknown
1296	1	ESS	Tendring	Alresford	TM0620	
1301	1	HAM	Fawley	Alresford	SU5833	
1301	2	HAM	Fawley	Old Alresford		
1306	1	CHS	Rushton	Alretone	SJ5465	speculative
1311	1	CHS	{Tunendune}	Alretunstall	SJ7888	approximate
1316	1	STS	Offlow	Alrewas	SK1615	
1321	1	CHS	Middlewich	Alsager	SJ7955	
1326	1	DBY	Hamston	Alsop		
1326	2	DBY	Hamston	Alsop-en-le-Dale	SK1655	
1326	3	DBY	Hamston	Alsop en le Dale		
1331	1	WAR	Coleshill	Alspath	SP2582	
1336	1	DEV	Diptford	Alston	SX7140	
1341	1	SUF	`Colnes'	Alston	TM2634	
1346	1	SOM	Bempstone	Alston		
1346	2	SOM	Bempstone	Alston Sutton	ST4151	
1351	1	GLS	`Oswaldslow'	Alstone	SO9832	
1356	1	SOM	Huntspill	Alstone	ST3146	
1361	1	STS	Cuttlestone	Alstone	SJ8518	
1361	2	STS	Cuttlestone	Lower Alstone	SJ8618
1366	1	STS	Totmonslow	Alstonfield	
1366	2	STS	Totmonslow	Alstonefield	SK1356
1371	1	HRT	`Edwinstree'	Alswick	TL3729
1376	1	CHS	[West] Derby	Altcar	
1376	2	CHS	[West] Derby	Great Altcar	SD3206
1376	3	CHS	[West] Derby	Little Altcar	SD3006
1381	1	NTH	Nobottle	Althorp	SP6865
1386	1	LIN	Epworth	Althorpe	SE8309
1391	1	HAM	Neatham	Alton	SU7139
1396	1	HEF	Stretford	Alton	SO4253
1401	1	LEC	`Goscote'	Alton	SK3914
1406	1	STS	Totmonslow	Alton	SK0742
1411	1	WIL	Amesbury	Alton	SU1546
1416	1	WOR	`Doddingtree'	Alton	SO7274
1421	1	WIL	Swanborough	Alton	
1421	2	WIL	Swanborough	Alton Barnes	SU1062	
1426	1	DOR	"Cerne, Totcombe and Modbury"	Alton		
1426	2	DOR	"Cerne, Totcombe and Modbury"	Alton Pancras	ST6902	
1431	1	WIL	Swanborough	Alton		
1431	2	WIL	Swanborough	Alton Priors	SU1162	
1436	1	WAR	{Fernecumbe}	Altone	SP2367	speculative
1436	2	WAR	{Fernecumbe}	Hatton		
1441	1	SUF	Carlford	Aluredestuna		unknown
1446	1	CON	Stratton	Alvacott	SX3195	
1451	1	CHS	Ruloe	Alvanley	SJ4973	
1456	1	DBY	Litchurch	Alvaston	SK3933	
1461	1	WOR	`Came'	Alvechurch	SP0272	
1466	1	SHR	Seisdon	Alveley	SO7684	
1471	1	STS	Seisdon	Alveley	SO7684	
1476	1	DEV	Fremington	Alverdiscott	SS5125	
1481	1	HAM	Meonstoke	Alverstoke	SZ6098	
1486	1	GLS	Lydney	Alverston	ST5999	
1491	1	HAM	Bowcombe	Alverstone	SZ5785	
