Parish (or part of parish),User-selected,Hundred,Hundred code,Hundred order,Market Town?,Other Towns,Deanery (old),Deanery code,Modern District,Modern District code,Inhabited houses,Families,Popn 1831,Males over 20,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Males >20 'weighting',"Farming, total",Non-agric employment,Profess-ionals etc,Others,GPI,GPI as % of Devon,,,
Nymet Rowland,,North Tawton & Winkleigh,28,16,,,Chulmleigh,5,Mid Devon,7,17,17,99,20,7,0,13,0,0,0,0,0,0,35%,0%,65%,0%,0%,0%,0%,0%,0%,0.86,100%,0%,0%,0%,0.34,70%,,,
Oakford,,Witheridge,31,9,,,South Molton,18,Mid Devon,7,103,103,497,155,25,7,79,0,29,2,6,7,0,16%,5%,51%,0%,19%,1%,4%,5%,0%,1.33,72%,23%,1%,5%,0.55,112%,,,
Offwell,5,Colyton,9,8,,,Honiton,10,East Devon,6,80,85,385,101,11,7,60,0,19,1,0,3,0,11%,7%,59%,0%,19%,1%,0%,3%,0%,1.12,77%,19%,1%,3%,0.43,88%,,,
Okehampton (incl Kigbeare),,Lifton,19,16,Yes,,Okehampton,14,West Devon,8,393,419,"2,055",509,44,10,201,0,140,23,65,19,7,9%,2%,39%,0%,28%,5%,13%,4%,1%,1.05,50%,42%,5%,4%,0.49,101%,,,
Otterton,,East Budleigh,5,15,,Medium,Aylesbeare,1,East Devon,6,215,250,"1,178",263,32,7,142,0,66,2,1,9,4,12%,3%,54%,0%,25%,1%,0%,3%,2%,0.95,69%,27%,1%,3%,0.38,78%,,,
Ottery St Mary,,Ottery,21,1,Yes,,Aylesbeare,1,East Devon,6,738,856,"3,849",863,55,43,356,1,256,65,37,31,19,6%,5%,41%,0%,30%,8%,4%,4%,2%,0.95,53%,36%,8%,4%,0.49,100%,,,
Paignton,,Haytor,17,17,Historically,,Ipplepen,11,Torbay,3,354,401,"1,960",400,46,6,164,0,143,27,0,10,4,12%,2%,41%,0%,36%,7%,0%,3%,1%,0.87,54%,37%,7%,3%,0.46,94%,,,
Pancrasweek,,Black Torrington,3,29,,,Holsworthy,9,Torridge,9,89,97,526,132,31,7,68,0,14,0,9,3,0,23%,5%,52%,0%,11%,0%,7%,2%,0%,1.07,80%,17%,0%,2%,0.43,88%,,,
Parkham,,Shebbear,24,19,,,Hartland,8,Torridge,9,187,187,923,195,52,6,101,0,33,3,0,0,0,27%,3%,52%,0%,17%,2%,0%,0%,0%,0.9,82%,17%,2%,0%,0.41,83%,,,
Parracombe,,Shirwell,25,10,,,Shirwell,17,North Devon,10,74,75,409,106,18,5,51,0,24,2,0,6,0,17%,5%,48%,0%,23%,2%,0%,6%,0%,1.1,70%,23%,2%,6%,0.48,98%,,,
Payhembury,,Hayridge,16,10,,,Plymtree,16,East Devon,6,104,106,542,155,13,2,92,0,30,1,6,11,0,8%,1%,59%,0%,19%,1%,4%,7%,0%,1.22,69%,23%,1%,7%,0.44,90%,,,
Pennycross / Weston Peverell (linked to Plymouth St Andrew),,Roborough,23,1,,,Three Towns,21,Plymouth,2,40,40,274,55,12,6,11,0,3,8,4,0,11,22%,11%,20%,0%,5%,15%,7%,0%,20%,0.85,53%,33%,15%,0%,0.56,114%,,,
Peter Tavy (incl Willsworthy),,Roborough,23,10,,,Tamerton,19,West Devon,8,83,88,500,109,27,0,33,0,14,1,31,3,0,25%,0%,30%,0%,13%,1%,28%,3%,0%,0.93,55%,41%,1%,3%,0.41,84%,,,
Peters Marland,,Shebbear,24,20,,,Torrington,23,Torridge,9,61,70,356,87,10,1,49,0,17,5,2,3,0,11%,1%,56%,0%,20%,6%,2%,3%,0%,1.04,69%,22%,6%,3%,0.48,97%,,,
Petrockstowe,,Shebbear,24,21,,,Torrington,23,Torridge,9,109,110,581,133,21,0,65,0,29,2,6,10,0,16%,0%,49%,0%,22%,2%,5%,8%,0%,0.97,65%,26%,2%,8%,0.41,83%,,,
Pilton,,Braunton,4,20,,Large,Barnstaple,2,North Devon,10,349,401,"1,819",393,10,6,56,19,174,21,79,19,9,3%,2%,14%,5%,44%,5%,20%,5%,2%,0.92,18%,72%,5%,5%,0.48,99%,,,
Pinhoe,,Wonford,32,20,,,Aylesbeare,1,Exeter,1,108,109,517,114,14,5,61,0,25,0,8,1,0,12%,4%,54%,0%,22%,0%,7%,1%,0%,0.94,70%,29%,0%,1%,0.36,75%,,,
Plymouth Charles the Martyr (excl Compton Gifford),,Plymouth Borough,34,2,,Plymouth/SD,Three Towns,21,Plymouth,2,"1,388","2,832","12,196","2,768",8,17,54,22,"1,296",317,741,278,35,0%,1%,2%,1%,47%,11%,27%,10%,1%,0.97,3%,76%,11%,10%,0.6,123%,,,
Plymouth St Andrew (excl Pennycross / Weston Peverell),,Plymouth Borough,34,1,,Plymouth/SD,Three Towns,21,Plymouth,2,"2,084","4,286","18,884","4,157",17,25,104,27,"1,957",484,997,460,86,0%,1%,3%,1%,47%,12%,24%,11%,2%,0.94,4%,74%,12%,11%,0.59,120%,,,
Plympton St Mary,,Plympton,22,3,Yes (part),,Plympton,15,South Hams,4,340,425,"2,153",541,48,8,201,0,121,33,83,24,23,9%,1%,37%,0%,22%,6%,15%,4%,4%,1.07,48%,42%,6%,4%,0.52,105%,,,
Plympton St Maurice / Plympton Earl,,Plympton,22,2,Yes (part),,Plympton,15,South Hams,4,123,175,804,184,0,11,33,0,62,23,32,14,9,0%,6%,18%,0%,34%,13%,17%,8%,5%,0.97,24%,56%,13%,8%,0.58,119%,,,
Plymstock,,Plympton,22,4,,Large,Plympton,15,Plymouth,2,466,638,"3,088",750,25,11,76,0,123,30,415,43,27,3%,1%,10%,0%,16%,4%,55%,6%,4%,1.03,15%,75%,4%,6%,0.46,94%,,,
Plymtree,,Hayridge,16,11,,,Plymtree,16,East Devon,6,62,83,439,98,19,5,45,0,26,1,0,2,0,19%,5%,46%,0%,27%,1%,0%,2%,0%,0.95,70%,27%,1%,2%,0.43,87%,,,
Poltimore,,Wonford,32,21,,,Aylesbeare,1,East Devon,6,62,63,292,75,10,5,26,0,13,1,0,17,3,13%,7%,35%,0%,17%,1%,0%,23%,4%,1.09,55%,21%,1%,23%,0.44,90%,,,
Poughill,,West Budleigh,6,2,,,Cadbury,3,Mid Devon,7,71,74,331,90,16,2,36,0,23,8,3,2,0,18%,2%,40%,0%,26%,9%,3%,2%,0%,1.16,60%,29%,9%,2%,0.65,133%,,,
Powderham,,Exminster,12,13,,,Kenn,12,Teignbridge,5,41,64,275,82,6,7,33,0,20,1,7,6,2,7%,9%,40%,0%,24%,1%,9%,7%,2%,1.27,56%,35%,1%,7%,0.52,106%,,,
Puddington,,Witheridge,31,10,,,South Molton,18,Mid Devon,7,35,36,184,49,11,0,30,0,5,2,0,1,0,22%,0%,61%,0%,10%,4%,0%,2%,0%,1.13,84%,10%,4%,2%,0.5,103%,,,
Pyworthy,,Black Torrington,3,30,,,Holsworthy,9,Torridge,9,122,128,700,176,28,15,109,0,19,1,0,3,1,16%,9%,62%,0%,11%,1%,0%,2%,1%,1.07,86%,11%,1%,2%,0.4,83%,,,
Rackenford,,Witheridge,31,11,,,South Molton,18,North Devon,10,83,96,472,119,11,10,64,0,25,1,4,4,0,9%,8%,54%,0%,21%,1%,3%,3%,0%,1.07,71%,24%,1%,3%,0.42,86%,,,
Rattery,,Stanborough,26,17,,,Totnes,24,South Hams,4,83,97,506,126,24,5,57,0,21,0,10,8,1,19%,4%,45%,0%,17%,0%,8%,6%,1%,1.06,68%,25%,0%,6%,0.43,87%,,,
Revelstoke,,Plympton,22,5,,,Plympton,15,South Hams,4,87,93,492,133,8,1,69,0,14,0,33,8,0,6%,1%,52%,0%,11%,0%,25%,6%,0%,1.15,59%,35%,0%,6%,0.38,78%,,,
"Rewe (part, excl Up Exe)",,Wonford,32,22,,,Plymtree,16,East Devon,6,36,36,186,55,5,0,24,0,16,2,6,1,1,9%,0%,44%,0%,29%,4%,11%,2%,2%,1.26,53%,42%,4%,2%,0.57,117%,,,
"Rewe (part, incl Up Exe)",,Hayridge,16,12,,,Plymtree,16,East Devon,6,18,18,100,22,4,1,12,0,1,0,2,2,0,18%,5%,55%,0%,5%,0%,9%,9%,0%,0.94,77%,14%,0%,9%,0.34,68%,,,
Ringmore,,Ermington,11,10,,,Woodleigh,25,South Hams,4,57,63,309,80,10,0,49,0,7,1,0,13,0,13%,0%,61%,0%,9%,1%,0%,16%,0%,1.1,74%,9%,1%,16%,0.38,78%,,,
Roborough (near Torrington),,Fremington,13,9,,,Torrington,23,Torridge,9,96,109,584,127,20,7,57,0,36,0,0,7,0,16%,6%,45%,0%,28%,0%,0%,6%,0%,0.93,66%,28%,0%,6%,0.39,80%,,,
Rockbeare,,East Budleigh,5,16,,,Aylesbeare,1,East Devon,6,100,100,530,114,18,14,50,0,24,0,4,4,0,16%,12%,44%,0%,21%,0%,4%,4%,0%,0.92,72%,25%,0%,4%,0.38,78%,,,
Romansleigh,,Witheridge,31,12,,,South Molton,18,North Devon,10,35,40,217,51,12,2,20,0,15,1,0,0,1,24%,4%,39%,0%,29%,2%,0%,0%,2%,1,67%,31%,2%,0%,0.49,101%,,,
Rose Ash,,Witheridge,31,13,,,South Molton,18,North Devon,10,92,92,487,130,25,3,84,0,14,1,0,3,0,19%,2%,65%,0%,11%,1%,0%,2%,0%,1.14,86%,11%,1%,2%,0.43,89%,,,
Rousdon,4,Axminster,1,10,,,Honiton,10,East Devon,6,1,1,10,2,1,0,1,0,0,0,0,0,0,50%,0%,50%,0%,0%,0%,0%,0%,0%,0.85,100%,0%,0%,0%,0.4,82%,,,
Salcombe Regis,,East Budleigh,5,17,,,Aylesbeare,1,East Devon,6,70,79,448,99,15,11,33,0,14,9,2,6,9,15%,11%,33%,0%,14%,9%,2%,6%,9%,0.94,60%,25%,9%,6%,0.51,105%,,,
Samford Courtenay (incl Sticklepath),,Black Torrington,3,31,,Medium,Okehampton,14,West Devon,8,212,214,"1,217",318,50,3,173,16,49,3,5,19,0,16%,1%,54%,5%,15%,1%,2%,6%,0%,1.11,71%,22%,1%,6%,0.43,88%,,,
Sampford Peverell,,Halberton,14,2,,,Tiverton,22,Mid Devon,7,143,145,787,206,13,15,78,0,60,7,12,20,1,6%,7%,38%,0%,29%,3%,6%,10%,0%,1.11,51%,35%,3%,10%,0.5,102%,,,
Sampford Spiney,,Roborough,23,11,,,Tamerton,19,West Devon,8,59,72,366,91,2,13,30,5,12,0,28,1,0,2%,14%,33%,5%,13%,0%,31%,1%,0%,1.06,49%,49%,0%,1%,0.39,80%,,,
Sandford,,Crediton,10,13,,Large,Cadbury,3,Mid Devon,7,404,464,"2,011",478,50,9,269,0,105,5,18,14,8,10%,2%,56%,0%,22%,1%,4%,3%,2%,1.01,69%,27%,1%,3%,0.39,81%,,,
Satterleigh,,South Molton,20,11,,,South Molton,18,North Devon,10,11,11,58,15,5,0,10,0,0,0,0,0,0,33%,0%,67%,0%,0%,0%,0%,0%,0%,1.1,100%,0%,0%,0%,0.43,88%,,,
Seaton (excl Beer),2,Colyton,9,9,,Medium,Honiton,10,East Devon,6,237,258,"1,203",248,12,2,59,0,37,5,115,18,0,5%,1%,24%,0%,15%,2%,46%,7%,0%,0.88,29%,61%,2%,7%,0.35,72%,,,
