seq_num,anc_cnty,anc_par,par_flag,wheat,barley,oats,b_and_o,potatoes,peas,beans,p_and_b,turnips,rape,t_or_r,rye,oth_crop,other,oth_crop_2,other_2,notes
1201,GLOUCESTERSHIRE,TETBURY,,274,228,99,,12,16,50,,,,87,,,,,,
1202,GLOUCESTERSHIRE,THORNBURY,,158,65,62,,161,12.5,4.5,,12,,,,,,,,
1203,GLOUCESTERSHIRE,TIDENHAM,,297,290,47,,16,46,1,,51,,,,,,,,
1204,GLOUCESTERSHIRE,TIRLEY,,222,44,,,,30,27,,28,,,,,,,,
1205,GLOUCESTERSHIRE,TODENHAM,,222,45,212,,3,5,110,,,,12,2,,,,,
1206,GLOUCESTERSHIRE,TORMARTON,,455,361.5,211,,17,37,2,,,,234,,,,,,
1207,GLOUCESTERSHIRE,TODDINGTON,,78,74,2,,,12,59,,,,,,,,,,
1208,GLOUCESTERSHIRE,TREDINGTON,,123,121,,,,7,97,,,,,,,,,,
1209,GLOUCESTERSHIRE,TRESHAM,,218,180,148,,2,,5,,,,75,,,,,,
1210,GLOUCESTERSHIRE,TURKDEAN,,179,157,148,,,10,,,160,,,,,,,,
1211,GLOUCESTERSHIRE,TWYNING,,314.5,169,23,,11,69.75,97.5,,,,79.5,2.25,,,,,
1212,GLOUCESTERSHIRE,TYTHERINGTON,,164.75,109,74,,87,7,5,,,,,,,,,,
1213,GLOUCESTERSHIRE,ULEY,,62.25,33,9.5,,16.25,22.5,4.25,,,,17.5,,,,,,
1214,GLOUCESTERSHIRE,UPLEADON,,220,99,1,,,16,59,,,,,,,,,,
1215,GLOUCESTERSHIRE,UPPER SLAUGHTER,,197,184,175,,4,20,4,,,,190,,,,,,
1216,GLOUCESTERSHIRE,UPPER SWELL,,137,176,108,,0.25,20,7,,110,,,,,,,,
1217,GLOUCESTERSHIRE,UPTON ST LEONARDS,,195.25,128.75,27.5,,18,21,5,,,,,,,,,,
1218,GLOUCESTERSHIRE,WELFORD-ON-AVON,,375,177,230,,4,13,179,,,,65,1,,,,,
1219,GLOUCESTERSHIRE,WEST LITTLETON,,119.5,78.5,54.5,,10,35,,,,,47,,,,,,
1220,GLOUCESTERSHIRE,WESTBURY-ON-SEVERN,,467,48,61,,26,37,204,,,,14,,RYE AND VETCHES,8,,,
1221,GLOUCESTERSHIRE,"WESTCOTE, IDBURY AND FIFIELD",,297,284,198,,4,58,48,,,,146,2,,,,,
1222,GLOUCESTERSHIRE,WESTERLEIGH,,232,95,128,,67,33,9,,7,,,,,,,,
1223,GLOUCESTERSHIRE,WESTON-ON-AVON,,230,158,37,,,2,64,,,,42,,,,,,
1224,GLOUCESTERSHIRE,WESTON SUBEDGE,,175,135,12,,,,182,,8,,,,,,,,
1225,GLOUCESTERSHIRE,WESTONBIRT,,62,70,27,,,4,7,,26,,,,,,,,
1226,GLOUCESTERSHIRE,WHADDON,,70,9.5,5,,1,14.5,58.75,,,,,,,,,,
1227,GLOUCESTERSHIRE,WHEATENHURST,,121,19,,,2.5,,51,,,,,,,,,,
1228,GLOUCESTERSHIRE,WHITTINGTON,,108,78,68,,,32,2,,,,,,,,,,
1229,GLOUCESTERSHIRE,WICK RISSINGTON,,73,27,60,,0.75,4,11,,,,16,,,,,,
1230,GLOUCESTERSHIRE,WICKWAR,,72.5,27.5,20,,30,13,,,,,,,,,,,
1231,GLOUCESTERSHIRE,WILLERSEY,,158,117,31,,,,72,,,,16,,,,,,
1232,GLOUCESTERSHIRE,WINCHCOMBE WITH GRETTON,,532,468,103,,15,58,180,,295,,,,,,,,
1233,GLOUCESTERSHIRE,WINDRUSH,,,,,,,,,,,,,,,,,,SEE SHERBORNE
1234,GLOUCESTERSHIRE,WINSTONE,,143,131,145,,1,30,,,,,90,,,,,,
1235,GLOUCESTERSHIRE,WINTERBOURNE,,346.5,230.5,78.5,,96.5,56.5,22,,,,3,3,,,,,
1236,GLOUCESTERSHIRE,WITHINGTON,,538,320,504,,12,49,34,,,,192,,,,,,
1237,GLOUCESTERSHIRE,WOODCHESTER,,54.75,66.5,21.5,,25.75,8,,,,,27.5,,,,,,
1238,GLOUCESTERSHIRE,"WOOLASTON, WITH ALVINGTON AND LANCAUT",,514,420,70,,23.25,69,,,79,,,,,,,,
1239,GLOUCESTERSHIRE,WOOLSTONE,,18,18,,,,,12,,,,,,,,,,
1240,GLOUCESTERSHIRE,WORMINGTON,,54,52,9,,,3,45,,,,,,,,,,
1241,GLOUCESTERSHIRE,WOTTON-UNDER-EDGE,,275,150,203,,56,17.5,5,,,,34,,,,,,
1242,GLOUCESTERSHIRE,YANWORTH,,92,110,70,,,35,,,,,92,,VETCHES,92,,,
1243,GLOUCESTERSHIRE,YATE,,64,14.5,29.5,,23,9.5,,,,,,,,,,,
1244,HAMPSHIRE,ABBOTTS ANN,,357,371.25,219,,4,21.5,,,,,147,,,,,,
1245,HAMPSHIRE,ALRESFORD (OLD AND NEW PARISHES),,476.5,418.5,316.5,,14,31,,,230,,,,,,,,
1246,HAMPSHIRE,ALVERSTOKE,,847.5,422.5,282.5,,,40,,,,,78,,,,,,
1247,HAMPSHIRE,ASHE,,111,315,293,,,38,,,127,,,100,CINQUE FOIL,96,VETCHES,18,RYE-GRASS
1248,HAMPSHIRE,ASHMANSWORTH,,219,159,146,,,31,,,46,,,,,,,,
1249,HAMPSHIRE,BARTON STACEY,,471,527,324,,2,20,,,,,298,20,VETCHES,20,,,
1250,HAMPSHIRE,BASINGSTOKE,,,,,,,,,,,,,,,,,,NO FIGURES
1251,HAMPSHIRE,BAUGHURST,,,,,,,,,,,,,,"WHEAT, BARLEY AND OATS",350,"POTATOES, PEAS, BEANS, TURNIPS OR RAPE AND RYE ",150,
1252,HAMPSHIRE,BEAULIEU,,433,169.5,303,,5,81,7,,,,6,,TARES,29,,,
1253,HAMPSHIRE,BENTLEY,,388,44,216,,1,80,30,,41,,,,,,,,
1254,HAMPSHIRE,BENTWORTH,,550,750,360,,1,30,,,100,,,,,,,,
1255,HAMPSHIRE,BIGHTON,,217,187,342,,,10,,,,,20,,,,,,
1256,HAMPSHIRE,BISHOPS WALTHAM,,507,256,352.5,,32,31.5,11.5,,,,47,2,,,,,
1257,HAMPSHIRE,BLENDWORTH,,171,90,53,,1,8,,,,,55,,,,,,
1258,HAMPSHIRE,BOARHUNT,,16.5,2,19,,1,2.5,,,12,,,,,,,,
1259,HAMPSHIRE,BOLDRE WITH LYMINGTON AND BROKENHURST (CHAPELRIES),,879,665,630,,95,129,11,,,,106,,,,,,
1260,HAMPSHIRE,BOSSINGTON,,,,,,,,,,,,,,,,,,SEE BROUGHTON
1261,HAMPSHIRE,BOTLEY,,208.75,93,144,,4.25,4.5,,,,,4.75,3.75,,,,,
1262,HAMPSHIRE,BRAMSHOTT,,327,330,231,,22,98.5,,,,,386.5,39.5,,,,,
1263,HAMPSHIRE,BREAMORE,,264,391.5,149,,5,23,,,,,,,,,,,
1264,HAMPSHIRE,BROKENHURST,,,,,,,,,,,,,,,,,,SEE BOLDRE
1265,HAMPSHIRE,BROUGHTON WITH BOSSINGTON (CHAPELRY),,478,514,327,,,41,,,,,167,10,,,,,
1266,HAMPSHIRE,BROWN CANDOVER,,201,164,217,,0.5,21,,,,,114,,RYE AND VETCHES,4,,,
1267,HAMPSHIRE,BURGHCLERE WITH NEWTOWN (CHAPELRY),,516,234,281,,5,74,53,,,,121,,,,,,
1268,HAMPSHIRE,BURITON WITH PETERSFIELD (CHAPELRY),,707,297,394,,27,86,49,,,,304,17,,,,,
1269,HAMPSHIRE,BURSLEDON,,70,56,40,,3,20,3,,,,20,,,,,,
1270,HAMPSHIRE,CATHERINGTON,,519,326,225,,2,58,3,,,,213,,,,,,
1271,HAMPSHIRE,CHAWTON,,281,133,210,,,53,,,,,110,,,,,,
1272,HAMPSHIRE,CHERITON WITH TICHBORNE AND KILMESTON,,670,466,394,,6,44,8,,,,250,,,,,,POTATOES STATES 6 OR 8
1273,HAMPSHIRE,CHRISTCHURCH WITH HOLDENHURST (CHAPELRY),,1648,2054,605,,132,126,20,,,,166,42,,,,,
1274,HAMPSHIRE,CLANFIELD,,151,140,96,,2,18,,,,,70,,,,,,
1275,HAMPSHIRE,COLEMORE AND PRIORS DEAN (BOTH IN HANTS) AND HARTING (IN SUSSEX),,,,,,,,,,,,,,,,,,NO FIGURES
1276,HAMPSHIRE,CORHAMPTON,,200,180,150,,1,12,2,,,,90,,,,,,
1277,HAMPSHIRE,CRAWLEY WITH HUNTON (CHAPELRY),,,,,,,,,,,,,,,,,,NO FIGURES
1278,HAMPSHIRE,CRONDALL,,643.5,309,386,,23,104.5,99,,243.5,4,,24,,,,,
1279,HAMPSHIRE,DIBDEN,,150,80,70,,,20,,,,,36,,,,,,
1280,HAMPSHIRE,DOGMERSFIELD,,,,,,,,,,,,,,,,,,SEE HARTLEY WINTNEY
1281,HAMPSHIRE,DROXFORD,,788,1506,370,,50,166,30,,,,70,,,,,,
1282,HAMPSHIRE,DUMMER,,305,290,250,,10,60,,,,,90,,,,,,
1283,HAMPSHIRE,DURLEY,,,,,,,,,,,,,,,,,,SEE UPHAM
1284,HAMPSHIRE,EAST TISTED,,272,124,214,,1,18,,,80,,,,,,,,
1285,HAMPSHIRE,EAST TYTHERLEY,,189,137,130,,7,22,,,,,61,,,,,,
1286,HAMPSHIRE,EAST WOODHAY WITH ASHMANSWORTH (CHAPELRY),,456,310,261,,36,154,6,,124,,,,,,,,
1287,HAMPSHIRE,EAST WORLDHAM,,200,12,127,,2,52,19,,35,,,,,,,,
1288,HAMPSHIRE,EASTON,,420,343,175,,,29,,,40,,,,,,,,
1289,HAMPSHIRE,EASTROP,,72,123,16,,,12,0.5,,,,45,,,,,,
1290,HAMPSHIRE,ELLINGHAM,,151,268,124,,3,16,1,,,,20,8,,,,,
1291,HAMPSHIRE,ELVETHAM,,150,89,64,,12,49,47,,,,75,2.5,,,,,
1292,HAMPSHIRE,EMPSHOTT,,114,16,75,,2,36.5,,,,,37.5,,,,,,
1293,HAMPSHIRE,EVERSLEY,,301.75,222.75,147.25,,,71,36.25,,249,,,,RYE AND FRENCH WHEAT,31,,,
1294,HAMPSHIRE,EXTON,,280,218,169,,6,25,2,,,,100,,,,,,
1295,HAMPSHIRE,FAREHAM,,358,182,102,,,77,,,,,77,,,,,,
1296,HAMPSHIRE,FARLINGTON,,232,71,90,,18.5,23.5,,,,,61,,,,,,
1297,HAMPSHIRE,FARNBOROUGH,,71,62.5,55.75,,23.5,20.5,,,85.5,,,38.25,,,,,
1298,HAMPSHIRE,FARRINGDON,,364,200,310,,4,42,8,,,,150,,,,,,
1299,HAMPSHIRE,FORDINGBRIDGE,,1200,1000,700,,50,90,,,,,60,,,,,,
1300,HAMPSHIRE,FREEFOLK,,,,,,,,,,,,,,,,,,SEE WHITCHURCH
1301,HAMPSHIRE,FYFIELD,,80,120,70,,2,15,,,40,,,8,,,,,
1302,HAMPSHIRE,GOODWORTH CLATFORD,,227,232,187,,2,16,,,,,184,2,,,,,
1303,HAMPSHIRE,GRATELEY,,174,226,157,,2,,,,,,40,,PEAS AND VETCHES,18,,,
1304,HAMPSHIRE,GREATHAM,,107.5,68,74,,3,21.5,,,,,51,,,,,,
1305,HAMPSHIRE,HAMBLE,,40,40,5,,0.5,8,,,,,20,,,,,,
1306,HAMPSHIRE,HAMBLEDON,,700,350,350,,12,100,,,,,300,,,,,,
1307,HAMPSHIRE,HARBRIDGE,,,,,,,,,,,,,,,,,,SEE RINGWOOD
1308,HAMPSHIRE,HARTING (IN SUSSEX),,,,,,,,,,,,,,,,,,SEE COLEMORE
1309,HAMPSHIRE,HARTLEY MAUDITT,,129,9,108,,3,14,,,,,53,,,,,,
1310,HAMPSHIRE,HARTLEY WESPALL,,225,70,119,,12,10,85,,,,38,,,,,,
1311,HAMPSHIRE,HARTLEY WINTNEY AND DOGMERSFIELD,,,,,,,,,,,,,,,,,,NO FIGURES
1312,HAMPSHIRE,HAVANT,,473.5,199,94,,40,61.5,5,,47.5,,,,,,,,
1313,HAMPSHIRE,HAWKLEY,,,,,,,,,,,,,,,,,,SEE NEWTON VALENCE
1314,HAMPSHIRE,HAYLING WITH IDSWORTH (CHAPELRY),,501,210,243,,2,88,,,,,88,,,,,,
1315,HAMPSHIRE,HEADLEY,,281,404,214,,6,104,,,,,426,36,,,,,
1316,HAMPSHIRE,HERRIARD,,297.5,99,211.75,,0.5,15.5,1,,,,39,,,,,,
1317,HAMPSHIRE,HECKFIELD WITH MATTINGLEY (CHAPELRY),,487,227.5,293,,13.25,86,134.25,,188,,,17,,,,,
1318,HAMPSHIRE,HIGHCLERE,,,,,,,,,,,,,,,,,,NO FIGURES
1319,HAMPSHIRE,HINTON AMPNER,,299,176,290,,1,22,,,150,,,,,,,,
1320,HAMPSHIRE,HOLDENHURST,,,,,,,,,,,,,,,,,,SEE CHRISTCHURCH
1321,HAMPSHIRE,HORDLE,,,,,,,,,,,,,,,,,,SEE MILFORD-ON-SEA
1322,HAMPSHIRE,HOUGHTON,,283,312,202,,5,23,,,,,53,,,,,,
1323,HAMPSHIRE,HOUND WITH NETLEY (CHAPELRY),,300,214.5,155,,16.25,45,,,,,98,,,,,,
1324,HAMPSHIRE,HUNTON,,,,,,,,,,,,,,,,,,SEE CRAWLEY
1325,HAMPSHIRE,HURSLEY WITH OTTERBOURNE (CHAPELRY),,373.5,330.5,220.5,,29,43,3.25,,,,113,,,,,,
1326,HAMPSHIRE,HURSTBOURNE PRIORS,,296,289,196,,7.75,37.5,11,,,,100.5,,,,,,
1327,HAMPSHIRE,HURSTBOURNE TARRANT,,440,444,343,,6,11,,,,,60,3,,,,,
1328,HAMPSHIRE,IDSWORTH,,,,,,,,,,,,,,,,,,SEE HAYLING
1329,HAMPSHIRE,ITCHEN ABBAS,,147,135,183,,4,16,,,,,25,,,,,,
1330,HAMPSHIRE,KILMESTON,,,,,,,,,,,,,,,,,,SEE CHERITON
1331,HAMPSHIRE,KIMPTON,,290,300,260,,2,14,,,,,100,15,,,,,
1332,HAMPSHIRE,KINGS SOMBORNE WITH LITTLE SOMBORNE AND STOCKBRIDGE,,900,858,435,,5.5,100,,,,,270,11,TARES OR VETCHES,30,,,
1333,HAMPSHIRE,LASHAM,,267,101,179,,,33,1,,,,41,,,,,,
1334,HAMPSHIRE,LAVERSTOKE,,110,100,100,,,19,,,,,71,,,,,,
1335,HAMPSHIRE,LINKENHOLT,,67,74,35,,0.5,5,,,,,25,,,,,,
1336,HAMPSHIRE,LISS,,246,274,151,,53,51,,,,,216.5,13.5,,,,,
1337,HAMPSHIRE,LITTLE SOMBORNE,,,,,,,,,,,,,,,,,,SEE KINGS SOMBORNE
1338,HAMPSHIRE,LONGPARISH,,,,,,,,,,,,,,,,,,SEE MIDDLETON
1339,HAMPSHIRE,LONGSTOCK,,291,257,270,,11.5,30,,,,,200,,,,,,
1340,HAMPSHIRE,LYMINGTON,,,,,,,,,,,,,,,,,,SEE BOLDRE
1341,HAMPSHIRE,LYNDHURST,,,,,,,,,,,,,,,,,,SEE MINSTEAD
1342,HAMPSHIRE,MARTYR WORTHY,,194,213.5,118.5,,,2,,,80,,,,,,,,
1343,HAMPSHIRE,MATTINGLEY,,,,,,,,,,,,,,,,,,SEE HECKFIELD
1344,HAMPSHIRE,MEONSTOKE WITH SOBERTON,,179,133,126,,2,3,,,,,50,,,,,,
1345,HAMPSHIRE,MIDDLETON ALIAS LONGPARISH,,333,366,191,,0.25,20,,,,,233.5,,TARES,12,,,
1346,HAMPSHIRE,MILFORD-ON-SEA WITH HORDLE (CHAPELRY),,833.25,427.25,390.75,,65,81,44,,,,100,1.5,,,,,
1347,HAMPSHIRE,MILTON,,551,185,244,,42,55,,,,,48,,,,,,
1348,HAMPSHIRE,MINSTEAD WITH LYNDHURST (CHAPELRY),,189.5,75.5,225.75,,28.75,18,3,,13,,,,,,,,
1349,HAMPSHIRE,MONK SHERBORNE AND PAMBER,,,,,,,,,,,,,,,,,,NO FIGURES
1350,HAMPSHIRE,MONXTON,,142,165,93.5,,,20,,,,,27,,,,,,
1351,HAMPSHIRE,NATELEY SCURES,,140,70,80,,2,25,45,,,,,,,,,,
1352,HAMPSHIRE,NETHER WALLOP,,573,728,403,,,7,,,,,34,20,,,,,
1353,HAMPSHIRE,NETLEY,,,,,,,,,,,,,,,,,,SEE HOUND
1354,HAMPSHIRE,NEWNHAM,,143.75,42,68,,,27.5,49.5,,,,,,,,,,
1355,HAMPSHIRE,NEWTON VALENCE WITH HAWKLEY (CHAPELRY),,532,163,496,,0.5,51,,,,,119,,,,,,
1356,HAMPSHIRE,NEWTOWN,,,,,,,,,,,,,,,,,,SEE BURGHCLERE
1357,HAMPSHIRE,NORTH STONEHAM,,374,248.5,154.5,,4.25,31,,,,,104,,VETCHES,6,,,
1358,HAMPSHIRE,NORTH WALTHAM,,300,200,200,,10,30,,,,,100,,,,,,
1359,HAMPSHIRE,NURSLING,,262.25,182.25,136.75,,22.25,56,2.5,,,,169,13,,,,,
1360,HAMPSHIRE,OAKLEY,,201,232,156,,6,41,,,,,116,,TARES,40,,,
1361,HAMPSHIRE,OTTERBOURNE,,,,,,,,,,,,,,,,,,SEE HURSLEY
1362,HAMPSHIRE,OVER CLATFORD,,,,,,,,,,,,,,,,,,SEE UPPER CLATFORD
1363,HAMPSHIRE,OVER WALLOP,,450,600,480,,2,5,,,,,500,12,,,,,
1364,HAMPSHIRE,OVERTON WITH TADLEY (CHAPELRY),,541,725.5,592,,7,94,3,,,,267.75,,,,,,
1365,HAMPSHIRE,PAMBER,,,,,,,,,,,,,,,,,,SEE MONK SHERBORNE
1366,HAMPSHIRE,PENTON MEWSEY,,136,89.5,146.25,,0.5,8.5,,,,,10,,VETCHES,0.25,,,
1367,HAMPSHIRE,PETERSFIELD,,,,,,,,,,,,,,,,,,SEE BURITON
1368,HAMPSHIRE,PORTCHESTER,,54,37,3,,,,,,,,,,VETCHES,1.5,,,
1369,HAMPSHIRE,PORTSMOUTH,,,,,,,,,,,,,,,,,,NO FIGURES
1370,HAMPSHIRE,PRIORS DEAN,,,,,,,,,,,,,,,,,,SEE COLEMORE
1371,HAMPSHIRE,PRIVETT,,208,56,181,,1,34,,,,,,,TARES,6,,,
1372,HAMPSHIRE,RINGWOOD WITH HARBRIDGE (CHAPELRY),,1091,2068,222,,13,36,11,,,,80,26,,,,,
1373,HAMPSHIRE,ROTHERWICK,,227,58,118,,1,12,122,,12,,,,,,,,
1374,HAMPSHIRE,ROWNER,,316,122,114,,4,55,,,30,,,,,,,,
1375,HAMPSHIRE,ST BARTHOLOMEW (IN WINCHESTER SOKE LIBERTY),,100,106,40,,5,,,,,,40,,,,,,
1376,HAMPSHIRE,SELBORNE,,,,,,,,,,,,,,,,,,NO FIGURES
1377,HAMPSHIRE,SHALDEN,,,,,,,,,,,,,,,,,,NO FIGURES
1378,HAMPSHIRE,SHERFIELD ON LODDON,,,,,,,,,,,,,,,,,,NO FIGURES
1379,HAMPSHIRE,SHIPTON BELLINGER,,285,295,247,,,10,,,,,134,,,,,,
1380,HAMPSHIRE,SILCHESTER,,291,109,132,,,13,111,,55,,,,,,,,
1381,HAMPSHIRE,SOBERTON,,,,,,,,,,,,,,,,,,SEE MEONSTOKE
1382,HAMPSHIRE,SOPLEY,,427,757,127,,20,10,,,,,77,,,,,,
1383,HAMPSHIRE,SOUTH TIDWORTH,,210,205,132,,,7,,,,,57,,,,,,
1384,HAMPSHIRE,SOUTHAMPTON ALL SAINTS,,42.75,,17,,,,,,5,,,,,,,,
1385,HAMPSHIRE,SOUTHAMPTON HOLY RHOOD,,,,,,,,,,,,,,,,,,NO FIGURES
1386,HAMPSHIRE,SOUTHAMPTON JESUS FREE CHAPEL,,73,50,41,,15,1,,,20,,,,,,,,
1387,HAMPSHIRE,SOUTHAMPTON SS. JOHN AND LAWRENCE,,,,,,,,,,,,,,,,,,NO FIGURES
1388,HAMPSHIRE,SOUTHAMPTON ST MARYS,,51,13,14,,19,,,,,,,,,,,,
1389,HAMPSHIRE,SOUTHAMPTON ST MICHAEL,,,,,,,,,,,,,,,,,,NO FIGURES
1390,HAMPSHIRE,SOUTHWICK,,87,38,93,,4,10,,,9,,,,TARES,3,,,
1391,HAMPSHIRE,STEVENTON,,267,250,250,,1.5,12,,,,,60,,,,,,
1392,HAMPSHIRE,STOCKBRIDGE,,,,,,,,,,,,,,,,,,SEE KINGS SOMBORNE
1393,HAMPSHIRE,STOKE CHARITY,,200,330,160,,2,4,,,,,130,,,,,,
1394,HAMPSHIRE,STRATFIELD SAYE,,698.5,57.5,320,,3,24,360.5,,,,38,,,,,,
1395,HAMPSHIRE,STRATFIELD TURGIS,,185.5,20,80,,,16,80,,,,,,,,,,
1396,HAMPSHIRE,TADLEY,,112,48,80,,2,29,29,,,,,,,,,,
1397,HAMPSHIRE,THRUXTON,,206.75,193.75,153,,1.25,1.25,,,,,113,3,,,,,
1398,HAMPSHIRE,TICHBORNE,,,,,,,,,,,,,,,,,,SEE CHERITON
1399,HAMPSHIRE,TITCHFIELD,,1967,1162,610.5,,26,319,14.75,,,,269,3,,,,,
1400,HAMPSHIRE,TUNWORTH,,112,110,34,,,17,,,,,40,,,,,,
1401,HAMPSHIRE,TWYFORD,,390,321,171,,10,18,,,,,58,,,,,,
1402,HAMPSHIRE,UPPER CLATFORD,,239,238,266,,,26,,,,,104,3,,,,,
1403,HAMPSHIRE,UPHAM WITH DURLEY (CHAPELRY),,400,230,200,,,,,,,,50,,,,,,
1404,HAMPSHIRE,UPTON GREY,,200,331,116,,4,86,,,106,,,,,,,,
1405,HAMPSHIRE,WARBLINGTON,,540,261,130,,15,75,5,,,,40,,,,,,
1406,HAMPSHIRE,WARNFORD,,241,185,184,,1,18.5,,,,,156,,TARES,5,,,
1407,HAMPSHIRE,WEST WORLDHAM,,125,7,110,,3,25,,,26,,,,,,,,
1408,HAMPSHIRE,WESTMEON,,442,319,378,,,26,1,,,,,,,,,,
1409,HAMPSHIRE,WESTON PATRICK,,116,71,57,,,25,,,,,32,,,,,,
1410,HAMPSHIRE,WEYHILL,,194,203,192,,,16,2,,,,21,7,,,,,
1411,HAMPSHIRE,WHITCHURCH WITH FREEFOLK (CHAPELRY),,862,953,899,,,101,5,,,,416,,,,,,
1412,HAMPSHIRE,WICKHAM,,258.5,111.5,180,,16,33,,,,,70,,,,,,
1413,HAMPSHIRE,WIDLEY AND WYMERING,,544,329,198.5,,12.75,69,1,,,,130,,,,,,
1414,HAMPSHIRE,WINCHESTER ST LAWRENCE,,,,,,,,,,,,,,,,,,NO FIGURES
1415,HAMPSHIRE,WINCHFIELD,,145,52,93,,2,47,43,,,,20,,,,,,
1416,HAMPSHIRE,WOLVERTON,,144,88,100,,,1,4,,,,55,,,,,,
1417,HAMPSHIRE,WONSTON,,453.25,644,432.5,,1.25,15,,,350,,,8,,,,,
1418,HAMPSHIRE,WOODCOTT,,118,140,60,,,,,,,,60,,,,,,
1419,HAMPSHIRE,WYMERING,,,,,,,,,,,,,,,,,,SEE WIDLEY
1420,HEREFORDSHIRE,ACONBURY,,189,61,52,,11,52,6,,,,31,2,,,,,
1421,HEREFORDSHIRE,ALMELEY,,417,125,114,,25,138,,,,,40,1,,,,,
1422,HEREFORDSHIRE,ASTON,,37,10,30,,5,10,2,,,,4,,,,,,
1423,HEREFORDSHIRE,ASTON INGHAM,,307,123.5,32.5,,16.5,36.5,14,,,,5,,,,,,
1424,HEREFORDSHIRE,AVENBURY,,357,25,122,,32,31.5,34.5,,,,29,11,,,,,
1425,HEREFORDSHIRE,AYMESTREY,,347,215,190,,62,179,2,,120,,,,,,,,
1426,HEREFORDSHIRE,BALLINGHAM,,179,104,,,2,42,,,38,,,,,,,,
1427,HEREFORDSHIRE,BARTON,,104,10.5,38.5,,2.75,25.25,,,,,2.25,,,,,,
1428,HEREFORDSHIRE,BIRLEY,,100,20,25,,3,20,,,,,35,6,,,,,
1429,HEREFORDSHIRE,BISHOPS FROME,,563,30,56,,12,285,267,,,,12,,,,,,
1430,HEREFORDSHIRE,BISHOPSTONE,,129,66,5,,2,50,2,,36,,,,VETCHES,3,,,
1431,HEREFORDSHIRE,BODENHAM,,525.5,27,157,,8.5,268,36,,,,36.5,2,,,,,
1432,HEREFORDSHIRE,BOSBURY,,508,31,84,,10,112,104,,72,,,12,,,,,
1433,HEREFORDSHIRE,BRAMPTON ABBOTTS,,191,242,,,4.5,45,,,,,49.5,2,,,,,
1434,HEREFORDSHIRE,BRAMPTON BRYAN,,230,198,162,,14,83,,,,,63,,,,,,
1435,HEREFORDSHIRE,BREDENBURY,,60,,15.5,,2.25,16,3.75,,,,4,2,,,,,
1436,HEREFORDSHIRE,BREDWARDINE,,190,103,31,,8,61,,,,,15.5,7,,,,,
1437,HEREFORDSHIRE,BRIDGE SOLLERS,,89,42,4,,1,31,,,,,10,,,,,,
1438,HEREFORDSHIRE,BRIDSTOW,,308,345,4,,6,47,1,,,,23,,,,,,
1439,HEREFORDSHIRE,BRILLEY,,276,179,170.5,,13,63,,,,,34.5,,,,,,
1440,HEREFORDSHIRE,BRIMFIELD,,174,27,60,,7.5,43.5,12,,,,7,,,,,,
1441,HEREFORDSHIRE,BRINSOP,,128,63,2,,2,63,,,,,12,5,,,,,
1442,HEREFORDSHIRE,BROBURY,,62,30.5,13.5,,4.5,40,,,,,13,1,,,,,
1443,HEREFORDSHIRE,BURGHILL,,463,163,38,,5.5,243,7.5,,,,53,8.5,,,,,
1444,HEREFORDSHIRE,BURRINGTON,,100,15,66,,10,45,3,,,,9,,,,,,
1445,HEREFORDSHIRE,CALLOW,,90.5,17,12,,4,26,9.5,,,,0.5,,,,,,
1446,HEREFORDSHIRE,CANON PYON,,384.5,52,45.75,,0.5,132,,,,,29,12,,,,,
1447,HEREFORDSHIRE,CASTLE FROME,,160,9,38,,5,57,36,,,,9,,,,,,
1448,HEREFORDSHIRE,COLLINGTON,,70,6,37,,5,28,10,,,,6,4,,,,,
1449,HEREFORDSHIRE,CRADLEY,,811.5,67.5,196.5,,26,85.75,124.5,,,,56.75,13,,,,,
1450,HEREFORDSHIRE,CROFT,,49.5,27,38,,4,18,,,15,,,,,,,,
1451,HEREFORDSHIRE,CUSOP,,117.5,63.5,69,,15,44,,,19,,,,,,,,
1452,HEREFORDSHIRE,DEWSALL,,83,33,16,,0.5,33,9,,,,7,,,,,,
1453,HEREFORDSHIRE,DUCKLOW,,213,24.5,117,,12.25,58.5,3,,22,,,1,,,,,
1454,HEREFORDSHIRE,DONNINGTON,,109,15,3,,,19,40,,,,5,,,,,,
1455,HEREFORDSHIRE,DOWNTON,,83,90,47,,2,50,1,,,,45,,,,,,
1456,HEREFORDSHIRE,EASTNOR,,252,33,74,,6,34,41,,23,,,3,,,,,
1457,HEREFORDSHIRE,EATON BISHOP,,381.75,147,44,,18.5,97.5,,,59,,,8.75,,,,,
1458,HEREFORDSHIRE,ELTON,,80,30,40,,10,40,7,,,,20,,,,,,
1459,HEREFORDSHIRE,EVESBATCH,,94,11,27,,1.25,22,10,,,,5,4,,,,,
1460,HEREFORDSHIRE,EYTON,,60,4,22,,12,10,,,,,16,,,,,,
1461,HEREFORDSHIRE,FARLOW,,72,1,24,,1.75,16,,,,,,,VETCHES,6,,,
1462,HEREFORDSHIRE,FORD,,104,122,30,,20,30,,,,,50,,,,,,
1463,HEREFORDSHIRE,FOY,,545,468,,,11,91,,,,,142,,,,,,
1464,HEREFORDSHIRE,GANAREW,,62,51.5,7,,5.75,22,,,,,14,,,,,,
1465,HEREFORDSHIRE,GARWAY,,190,106,71,,9,31,,,,,9,,,,,,
1466,HEREFORDSHIRE,GOODRICH,,256,301,15,,13,53,,,,,45,,,,,,
