hundred,unique_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,unique_treatment_1524,unique_treatment_1543,unique_treatment_1581,unique_treatment_1674,unique_control_1524,unique_control_1543,unique_control_1581,unique_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,unique_treatment_1840,unique_control_1840,avg_val_1840
West Budleigh,26611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.0,8.0,555.0,Waller,0.0,0.0,228.75
West Budleigh,26699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44723.0,103.0,1372.0,Kitson,0.0,0.0,434.20388349514565
West Budleigh,26807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79268.0,142.0,4600.0,Daniel,0.0,0.0,558.2253521126761
West Budleigh,26876,,,4.0,,,,1.0,,,,4.0,,,,Hookway,,,,0.0,,,,0.0,,,,4.0,,,,,,,,
West Budleigh,27465,19.0,1.0,,,2.0,1.0,,,13.0,1.0,,,Orchard,Orchard,,,0.0,0.0,,,0.0,0.0,,,9.5,1.0,,,,,,,,,
West Budleigh,27749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36341.0,101.0,1424.0,Tuckett,0.0,0.0,359.81188118811883
West Budleigh,28112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6310.0,13.0,1145.0,Tattershall,0.0,0.0,485.38461538461536
West Budleigh,28146,,1.0,,,,1.0,,,,1.0,,,,Mayer,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
West Budleigh,28367,5.0,13.0,6.0,,3.0,5.0,1.0,,3.0,5.0,6.0,,Hoper,Hoper,Hoper,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.6666666666666667,2.6,6.0,,,,,,,,
West Budleigh,28977,2.0,,,,1.0,,,,2.0,,,,Norton,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
West Budleigh,29023,,3.0,,,,1.0,,,,3.0,,,,Glasse,,,,0.0,,,,0.0,,,,3.0,,,,,,,,,
West Budleigh,29215,,,2.0,,,,1.0,,,,2.0,,,,Skutt,,,,0.0,,,,0.0,,,,2.0,,,,,,,,
West Budleigh,29240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39134.0,64.0,1520.0,Nation,0.0,0.0,611.46875
West Budleigh,29463,1.0,,,,1.0,,,,1.0,,,,Franke,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,29684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10336.0,32.0,910.0,Arundell,0.0,0.0,323.0
West Budleigh,29699,8.0,8.0,,,1.0,1.0,,,8.0,8.0,,,Strong,Strong,,,0.0,0.0,,,0.0,0.0,,,8.0,8.0,,,6121.0,32.0,550.0,Strong,0.0,0.0,191.28125
West Budleigh,29736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,Finnimore,0.0,0.0,1.5
West Budleigh,29743,38.0,13.333333333333334,5.0,,3.0,1.0,1.0,,15.0,13.333333333333334,5.0,,Beare,Beare,Beare,,0.0,0.0,0.0,,0.0,0.0,0.0,,12.666666666666666,13.333333333333334,5.0,,,,,,,,
West Budleigh,30047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890.0,19.0,728.0,Wood,0.0,0.0,152.10526315789474
West Budleigh,30107,,2.0,,,,1.0,,,,2.0,,,,Davy,,,,1.0,,,,0.0,,,,2.0,,,,,,,,,
West Budleigh,30253,26.666666666666668,6.0,,,1.0,3.0,,,26.666666666666668,4.0,,,Toker,Toker,,,0.0,0.0,,,0.0,0.0,,,26.666666666666668,2.0,,,,,,,,,
West Budleigh,30697,,,3.0,,,,1.0,,,,3.0,,,,Staple,,,,0.0,,,,0.0,,,,3.0,,,,,,,,
