hundred,group_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,group_treatment_1524,group_treatment_1543,group_treatment_1581,group_treatment_1674,group_control_1524,group_control_1543,group_control_1581,group_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,group_treatment_1840,group_control_1840,avg_val_1840
South Molton,6653,4.5,2.0,,,2.0,1.0,,,2.5,2.0,,,Gray,Grey,,,0.0,0.0,,,0.0,0.0,,,2.25,2.0,,,,,,,,,
South Molton,6659,5.0,,,,1.0,,,,5.0,,,,Greyson,,,,0.0,,,,0.0,,,,5.0,,,,,,,,,,
South Molton,6672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0,2.0,222.0,Greek,0.0,0.0,184.5
South Molton,6673,42.0,,,,2.0,,,,40.0,,,,Grene,,,,0.0,,,,0.0,,,,21.0,,,,,,,,,,
South Molton,6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517.0,10.0,692.0,Greenslade,0.0,0.0,251.7
South Molton,6714,22.666666666666668,29.0,,3.0,7.0,6.0,,1.0,10.0,12.0,,3.0,Gregory,Gregory,,Gregory,0.0,0.0,,0.0,0.0,0.0,,0.0,3.238095238095238,4.833333333333333,,3.0,914.0,9.0,475.0,Gregory,0.0,0.0,101.55555555555556
South Molton,6716,5.0,,,,1.0,,,,5.0,,,,Grendon,,,,0.0,,,,0.0,,,,5.0,,,,,,,,,,
South Molton,6729,,,3.0,,,,1.0,,,,3.0,,,,Griffin,,,,0.0,,,,0.0,,,,3.0,,,,,,,,
South Molton,6730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4123.0,11.0,1078.0,Griffith,0.0,0.0,374.8181818181818
South Molton,6736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815.0,17.0,603.0,Gribble,0.0,0.0,165.58823529411765
South Molton,6817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,5.0,139.0,Galliford,0.0,0.0,40.0
South Molton,6949,3.0,,,2.0,2.0,,,1.0,2.0,,,2.0,Hale,,,Hale,0.0,,,0.0,0.0,,,0.0,1.5,,,2.0,,,,,,,
South Molton,6960,4.0,5.0,10.0,3.0,2.0,1.0,2.0,1.0,2.0,5.0,5.0,3.0,Halle,Hall,Halle,Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,3.0,,,,,,,
South Molton,6983,9.0,18.0,6.0,1.0,1.0,3.0,1.0,1.0,9.0,6.0,6.0,1.0,Halse,Halse,Halse,Halse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,1.0,,,,,,,
South Molton,6991,,10.0,,,,1.0,,,,10.0,,,,Home,,,,0.0,,,,0.0,,,,10.0,,,,,,,,,
South Molton,7007,17.0,1.0,1.0,,4.0,1.0,1.0,,10.0,1.0,1.0,,Hamond,Hamond,Hamon,,0.0,0.0,0.0,,0.0,0.0,0.0,,4.25,1.0,1.0,,,,,,,,
South Molton,7031,7.0,10.0,11.0,,2.0,1.0,1.0,,5.0,10.0,11.0,,Hanford,Hanford,Hanford,,0.0,0.0,0.0,,0.0,0.0,0.0,,3.5,10.0,11.0,,73018.0,106.0,4267.0,Handford,0.0,0.0,688.8490566037735
South Molton,7092,,,3.0,,,,1.0,,,,3.0,,,,Harder,,,,0.0,,,,0.0,,,,3.0,,,,,,,,
South Molton,7098,,,3.0,6.0,,,1.0,3.0,,,3.0,3.0,,,Hardinge,Harding,,,0.0,0.0,,,0.0,0.0,,,3.0,2.0,1788.0,8.0,815.0,Harding,0.0,0.0,223.5
South Molton,7156,,3.0,,5.0,,1.0,,5.0,,3.0,,1.0,,Harris,,Harris,,0.0,,0.0,,0.0,,0.0,,3.0,,1.0,108.0,3.0,76.0,Harris,0.0,0.0,36.0
South Molton,7165,4.0,8.0,,,2.0,2.0,,,2.0,7.0,,,Harry,Harry,,,0.0,0.0,,,0.0,0.0,,,2.0,4.0,,,,,,,,,
South Molton,7168,,,,1.0,,,,1.0,,,,1.0,,,,Herson,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,7179,,,8.0,3.0,,,2.0,1.0,,,5.0,3.0,,,Hartnoll,Hartnoll,,,0.0,0.0,,,0.0,0.0,,,4.0,3.0,14996.0,56.0,883.0,Hartnoll,0.0,0.0,267.7857142857143
South Molton,7182,,10.0,,,,2.0,,,,7.0,,,,Harton,,,,0.0,,,,0.0,,,,5.0,,,,,,,,,
South Molton,7265,,,,5.0,,,,1.0,,,,5.0,,,,Hawkins,,,,0.0,,,,0.0,,,,5.0,,,,,,,
South Molton,7291,,4.0,,,,1.0,,,,4.0,,,,Hawken,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,
South Molton,7317,,,,8.0,,,,3.0,,,,3.0,,,,Heydon,,,,1.0,,,,0.0,,,,2.6666666666666665,18390.0,45.0,979.0,Headon,1.0,0.0,408.6666666666667
South Molton,7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,2.0,28.0,Hayman,0.0,0.0,16.0
South Molton,7343,,30.0,,2.0,,1.0,,2.0,,30.0,,1.0,,Haywood,,Heywood,,0.0,,0.0,,0.0,,0.0,,30.0,,1.0,,,,,,,
South Molton,7374,2.0,10.0,,5.0,1.0,2.0,,5.0,2.0,8.0,,1.0,Hurd,Hurd,,Heard,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,5.0,,1.0,61.0,3.0,34.0,Heard,0.0,0.0,20.333333333333332
South Molton,7382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17005.0,58.0,1353.0,Eastman,0.0,0.0,293.1896551724138
South Molton,7429,9.0,11.0,1.0,,2.0,5.0,1.0,,7.0,5.0,1.0,,Helyer,Helyer,Helliar,,0.0,0.0,0.0,,0.0,0.0,0.0,,4.5,2.2,1.0,,,,,,,,
South Molton,7512,4.0,10.0,,,2.0,3.0,,,3.0,5.0,,,Herder,Herder,,,0.0,0.0,,,0.0,0.0,,,2.0,3.3333333333333335,,,,,,,,,
South Molton,7519,,4.0,,,,2.0,,,,3.0,,,,Hernaman,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,
South Molton,7624,,,13.0,1.0,,,2.0,1.0,,,7.0,1.0,,,Hill,Hill,,,1.0,1.0,,,0.0,0.0,,,6.5,1.0,79416.0,107.0,8046.0,Hill,1.0,0.0,742.2056074766355
South Molton,7657,7.0,,,,1.0,,,,7.0,,,,Hayne,,,,0.0,,,,0.0,,,,7.0,,,,,,,,,,
South Molton,7696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5621.0,29.0,772.0,Hitchcock,0.0,0.0,193.82758620689654
South Molton,7710,,,,2.0,,,,1.0,,,,2.0,,,,Hobbs,,,,0.0,,,,0.0,,,,2.0,,,,,,,
