surname,occup,occupation,loc,location,location_in,county,topo,nick,rel,English:,French:,Welsh:,Cornish:,Norman:
Adlum,0,,0,,,,0,0,0,1,0,0,0,0
Adman,0,,0,,,,0,0,1,1,0,0,0,0
Admond,0,,0,,,,0,0,1,1,0,0,0,0
Adnam,0,,1,,,,0,0,0,1,0,0,0,0
Adnam,0,,0,,,,0,0,0,1,0,0,0,0
Adnam,0,,0,,,,0,0,1,1,0,0,0,0
Adnams,0,,0,,,,0,0,0,1,0,0,0,0
Adnams,0,,0,,,,0,0,0,1,0,0,0,0
Adnett,0,,0,,,,0,0,0,1,0,0,0,0
Adney,0,,0,,,,0,0,0,1,0,0,0,0
Adnitt,0,,0,,,,0,0,0,1,0,0,0,0
Adrain,0,,0,,,,0,0,0,1,0,0,0,0
Adrian,0,,0,,,,0,0,0,1,0,0,0,0
Adrien,0,,0,,,,0,0,0,1,0,0,0,0
Adsett,0,,0,,,,0,0,0,1,0,0,0,0
Adsetts,0,,0,,,,0,0,0,1,0,0,0,0
Adsetts,0,,0,,,,0,0,0,1,0,0,0,0
Adshead,0,,0,,,,0,0,0,1,0,0,0,0
Adsley,0,,0,,,,0,0,0,1,0,0,0,0
Adwick,0,,0,,,,0,0,0,1,0,0,0,0
Adwin,0,,0,,,,0,0,1,1,0,0,0,0
Adwin,0,,0,,,,0,0,0,1,0,0,0,0
Ady,0,,0,,,,0,0,0,1,0,0,0,0
Adye,0,,0,,,,0,0,0,1,0,0,0,0
Adyson,0,,0,,,,0,0,1,1,0,0,0,0
Aers,0,,0,,,,0,0,1,1,0,0,0,0
Aers,0,,0,,,,0,0,0,1,0,0,0,0
Afford,0,,0,,,,0,0,0,1,0,0,0,0
Afton,0,,0,,,,0,0,0,1,0,0,0,0
Agar,0,,0,,,,0,0,0,1,0,0,0,0
Agar,0,,0,,,,0,0,0,1,0,0,0,0
Agar,0,,0,,,,0,0,1,1,0,0,0,0
Agar,0,,0,,,,0,0,0,1,0,0,0,0
Agard,0,,0,,,,0,0,0,1,0,0,0,0
Agard,0,,0,,,,0,0,1,1,0,0,0,0
Agard,0,,0,,,,0,1,0,1,0,0,0,0
Agard,0,,0,,,,0,0,0,1,0,0,0,0
Agars,0,,0,,,,0,0,0,1,0,0,0,0
Agars,0,,0,,,,0,0,0,1,0,0,0,0
Agasson,0,,0,,,,0,0,1,1,0,0,0,0
Agat,0,,1,,,,0,0,0,1,0,0,0,0
Agate,0,,1,,,,0,0,0,1,0,0,0,0
Agates,0,,0,,,,0,0,0,1,0,0,0,0
Agates,0,,1,,,,0,0,0,1,0,0,0,0
Age,0,,0,,,,0,0,0,1,0,0,0,0
Agent,0,,0,,,,0,0,0,1,0,0,0,0
Agent,0,,0,,,,0,0,0,1,0,0,0,0
Ager,0,,0,,,,0,0,1,1,0,0,0,0
Ager,0,,0,,,,0,0,1,1,0,0,0,0
Ager,0,,0,,,,0,0,0,1,0,0,0,0
Ager,0,,0,,,,0,0,0,1,0,0,0,0
Agers,0,,0,,,,0,0,0,1,0,0,0,0
Agers,0,,0,,,,0,0,0,1,0,0,0,0
Agetson,0,,0,,,,0,0,1,1,0,0,0,0
Agg,0,,1,,,,0,0,1,1,0,0,0,0
Agg,0,,1,,,,0,0,1,1,0,0,0,0
