hundred,combined_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,combined_treatment_1524,combined_treatment_1543,combined_treatment_1581,combined_treatment_1674,combined_control_1524,combined_control_1543,combined_control_1581,combined_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,combined_treatment_1840,combined_control_1840,avg_val_1840
South Molton,5875,,,3.0,1.0,,,1.0,1.0,,,3.0,1.0,,,Kingdon,Kingdom,,,0.0,0.0,,,0.0,0.0,,,3.0,1.0,1330.0,19.0,335.0,Kingdon,0.0,0.0,70.0
South Molton,5945,,20.0,,,,1.0,,,,20.0,,,,Knight,,,,0.0,,,,1.0,,,,20.0,,,13472.0,30.0,944.0,Knight,0.0,1.0,449.06666666666666
South Molton,5951,8.0,47.0,,10.0,4.0,7.0,,3.0,3.0,30.0,,5.0,Nott,Nott,,Nott,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,6.714285714285714,,3.3333333333333335,228900.0,607.0,2737.0,Nutt,0.0,0.0,377.1004942339374
South Molton,5969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,2.0,339.0,Abbott,0.0,0.0,189.5
South Molton,5998,7.0,12.0,18.0,1.0,3.0,2.0,3.0,1.0,3.0,8.0,8.0,1.0,Lake,Lake,Lake,Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,6.0,6.0,1.0,,,,,,,
South Molton,5999,,15.0,9.0,,,3.0,1.0,,,7.0,9.0,,,Lakeman,Lakeman,,,0.0,0.0,,,0.0,0.0,,,5.0,9.0,,,,,,,,
South Molton,6042,,2.0,,2.0,,1.0,,1.0,,2.0,,2.0,,Landman,,Landman,,0.0,,0.0,,0.0,,0.0,,2.0,,2.0,,,,,,,
South Molton,6054,2.0,3.0,,,1.0,1.0,,,2.0,3.0,,,Lanman,Lanman,,,0.0,0.0,,,0.0,0.0,,,2.0,3.0,,,,,,,,,
South Molton,6117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38966.0,118.0,1345.0,Law,0.0,0.0,330.22033898305085
South Molton,6129,1.3333333333333333,2.0,,1.0,1.0,1.0,,1.0,1.3333333333333333,2.0,,1.0,Long,Long,,Lang,0.0,0.0,,0.0,0.0,0.0,,0.0,1.3333333333333333,2.0,,1.0,,,,,,,
South Molton,6145,7.666666666666667,6.0,4.0,14.0,2.0,3.0,1.0,6.0,6.666666666666667,3.0,4.0,9.0,May,Maye,Maye,May,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,2.0,4.0,2.3333333333333335,21969.0,88.0,1129.0,May,0.0,0.0,249.64772727272728
South Molton,6152,,,,7.0,,,,4.0,,,,3.0,,,,Lane,,,,0.0,,,,0.0,,,,1.75,,,,,,,
South Molton,6155,1.0,,,3.0,1.0,,,1.0,1.0,,,3.0,Ayer,,,Ayre,0.0,,,0.0,0.0,,,0.0,1.0,,,3.0,1150.0,8.0,284.0,Ayre,0.0,0.0,143.75
South Molton,6202,3.0,,,,1.0,,,,3.0,,,,Lenton,,,,0.0,,,,0.0,,,,3.0,,,,,,,,,,
South Molton,6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21197.0,72.0,1000.0,Pyke,0.0,0.0,294.40277777777777
South Molton,6240,,,,30.0,,,,7.0,,,,12.0,,,,Lewis,,,,0.0,,,,0.0,,,,4.285714285714286,10.0,1.0,10.0,Lewis,0.0,0.0,10.0
South Molton,6243,10.0,,,5.0,1.0,,,3.0,10.0,,,2.0,Leworthy,,,Leworthy,0.0,,,0.0,0.0,,,0.0,10.0,,,1.6666666666666667,,,,,,,
South Molton,6357,,1.0,,,,1.0,,,,1.0,,,,Lade,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
South Molton,6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,Lockyear,0.0,0.0,4.0
South Molton,6410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26500.0,45.0,6137.0,Loosemore,1.0,0.0,588.8888888888889
South Molton,6413,,,,1.0,,,,1.0,,,,1.0,,,,Lawerence,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,6434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,1.0,345.0,Loveband,0.0,0.0,345.0
South Molton,6445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,5.0,627.0,Lovering,0.0,0.0,140.4
South Molton,6450,,,,8.0,,,,2.0,,,,5.0,,,,Lovett,,,,0.0,,,,0.0,,,,4.0,,,,,,,
South Molton,6485,,,,2.0,,,,1.0,,,,2.0,,,,Lugg,,,,0.0,,,,0.0,,,,2.0,,,,,,,
South Molton,6488,,77.0,48.0,1.0,,12.0,10.0,1.0,,20.0,8.0,1.0,,Locke,Locke,Lock,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.416666666666667,4.8,1.0,22813.0,44.0,1626.0,Lock,0.0,0.0,518.4772727272727
South Molton,6519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,4.0,144.0,Luxton,0.0,0.0,48.0
South Molton,6522,,,,2.0,,,,1.0,,,,2.0,,,,Lissett,,,,0.0,,,,0.0,,,,2.0,,,,,,,
South Molton,6527,12.23,29.0,15.0,14.0,6.0,8.0,3.0,7.0,5.0,7.0,7.0,3.0,Ley,Lee,Lee,Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0383333333333336,3.625,5.0,2.0,5.0,1.0,5.0,Ley,0.0,0.0,5.0
