hundred,metaphone_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,metaphone_treatment_1524,metaphone_treatment_1543,metaphone_treatment_1581,metaphone_treatment_1674,metaphone_control_1524,metaphone_control_1543,metaphone_control_1581,metaphone_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,metaphone_treatment_1840,metaphone_control_1840,avg_val_1840
Hartland,7899,,,20.0,1.0,,,6.0,1.0,,,5.0,1.0,,,Baglehole,Baglehole,,,0.0,0.0,,,0.0,0.0,,,3.3333333333333335,1.0,,,,,,,
Hartland,7915,12.0,20.0,8.0,20.0,7.0,9.0,2.0,13.0,4.0,6.0,5.0,3.0,Herde,Heerde,Hearde,Heard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,2.2222222222222223,4.0,1.5384615384615385,87814.0,212.0,1820.0,Howard,0.0,0.0,414.2169811320755
Hartland,7922,,2.0,,,,1.0,,,,2.0,,,,Pawlyn,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,
Hartland,7924,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,Harreys,,Harris,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,,,,,,,
Hartland,7933,12.0,,,,3.0,,,,10.0,,,,Symcocke,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,,
Hartland,7938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34850.0,55.0,3658.0,Horden,0.0,0.0,633.6363636363636
Hartland,7945,,,,1.0,,,,1.0,,,,1.0,,,,Amos,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,7954,,,,7.0,,,,1.0,,,,7.0,,,,Naylor,,,,0.0,,,,0.0,,,,7.0,,,,,,,
Hartland,7960,,,3.0,,,,1.0,,,,3.0,,,,Buckingham,,,,0.0,,,,0.0,,,,3.0,,,,,,,,
Hartland,7963,,,,1.0,,,,1.0,,,,1.0,,,,Husb,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,7982,13.0,14.0,,,3.0,2.0,,,9.0,9.0,,,Hychcocke,Heychcock,,,0.0,0.0,,,0.0,0.0,,,4.333333333333333,7.0,,,,,,,,,
Hartland,7990,,,,3.0,,,,1.0,,,,3.0,,,,Yard,,,,1.0,,,,0.0,,,,3.0,,,,,,,
Hartland,8107,8.0,17.0,,,1.0,2.0,,,8.0,15.0,,,Cutlyffe,Cutlyf,,,0.0,0.0,,,0.0,0.0,,,8.0,8.5,,,,,,,,,
Hartland,8111,,4.0,,,,1.0,,,,4.0,,,,Derant,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,
Hartland,8114,,,,2.0,,,,1.0,,,,2.0,,,,Fish,,,,0.0,,,,0.0,,,,2.0,248.0,4.0,182.0,Fish,0.0,0.0,62.0
Hartland,8145,42.0,34.0,26.0,,10.0,14.0,6.0,,20.0,10.0,6.0,,Nycoll,Nycoll,Nicoll,,0.0,0.0,0.0,,0.0,0.0,0.0,,4.2,2.4285714285714284,4.333333333333333,,,,,,,,
Hartland,8167,3.333333333333333,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,Hamlyn,Hamlyn,Hamlyn,Hamlyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666665,3.0,2.0,3.0,,,,,,,
Hartland,8168,3.0,,,,1.0,,,,3.0,,,,Shepehurde,,,,0.0,,,,0.0,,,,3.0,,,,,,,,,,
Hartland,8169,3.0,7.0,,,2.0,2.0,,,2.0,6.0,,,Lytyljon,Lyteljohn,,,0.0,0.0,,,0.0,0.0,,,1.5,3.5,,,,,,,,,
