"FlagID","PersonID","Flags"
5706,33675,"twin"
5707,33677,"illegitimate"
5708,33726,"FOUNDLING"
5709,33763,"illegitimate"
5710,33801,"FOUNDLING"
5711,33821,"twin"
5712,33822,"twin"
5713,33830,"twin"
5714,33841,"twin"
5715,33842,"twin"
5716,33853,"twin"
5717,33871,"twin"
5718,33872,"twin"
5719,33874,"FOUNDLING"
5720,33912,"twin"
5721,33913,"twin"
5722,33914,"illegitimate"
5723,33939,"twin"
5724,33940,"twin"
5725,34047,"twin"
5726,34048,"twin"
5727,34052,"FOUNDLING"
5728,34086,"illegitimate"
5729,34108,"illegitimate"
5730,34201,"twin"
5731,34202,"twin"
5732,34264,"posthumous"
5733,34300,"twin"
5734,34301,"twin"
5735,34336,"twin"
5736,34344,"twin"
5737,34358,"twin"
5738,34359,"twin"
5739,34394,"illegitimate"
5740,34435,"illegitimate"
5741,34461,"illegitimate"
5742,34466,"illegitimate"
5743,34492,"twin"
5744,34493,"twin"
5745,34512,"illegitimate"
5746,34556,"twin"
5747,34584,"twin"
5748,34588,"FOUNDLING"
5749,34589,"twin"
5750,34590,"twin"
5751,34599,"FOUNDLING"
5752,34629,"illegitimate"
5753,34654,"illegitimate"
5754,34679,"illegitimate"
5755,34749,"illegitimate"
5756,34792,"FOUNDLING"
5757,34794,"twin"
5758,34796,"twin"
5759,34978,"twin"
5760,35007,"twin"
5761,35016,"twin"
5762,35017,"twin"
5763,35035,"illegitimate"
5764,35051,"illegitimate"
5765,35073,"twin"
5766,35074,"twin"
5767,35199,"illegitimate"
5768,35230,"illegitimate"
5769,35265,"twin"
5770,35266,"twin"
5771,35345,"twin"
5772,35346,"twin"
5773,35350,"illegitimate"
5774,35376,"twin"
5775,35377,"twin"
5776,35568,"twin"
5777,35569,"twin"
5778,35622,"illegitimate"
5779,35633,"FOUNDLING"
5780,35759,"twin"
5781,35770,"twin"
5782,35774,"illegitimate"
5783,35792,"illegitimate"
5784,35917,"twin"
5785,35925,"twin"
5786,35938,"illegitimate"
5787,35964,"twin"
5788,35965,"twin"
5789,35972,"twin"
5790,35982,"twin"
5791,35992,"twin"
5792,35993,"twin"
5793,36002,"twin"
5794,36003,"twin"
5795,36077,"twin"
5796,36078,"twin"
5797,36095,"twin"
5798,36096,"twin"
5799,36128,"FOUNDLING"
5800,36168,"twin"
5801,36169,"twin"
5802,36223,"illegitimate"
5803,36228,"twin"
5804,36245,"illegitimate"
5805,36253,"twin"
5806,36327,"twin"
5807,36336,"twin"
5808,36337,"illegitimate"
5809,36423,"twin"
5810,36424,"twin"
5811,36451,"twin"
5812,36452,"twin"
5813,36458,"twin"
5814,36459,"twin"
5815,36489,"twin"
5816,36500,"twin"
5817,36516,"FOUNDLING"
5818,36531,"illegitimate"
5819,36586,"FOUNDLING"
5820,36659,"twin"
5821,36660,"twin"
5822,36735,"illegitimate"
5823,36750,"twin"
5824,36751,"twin"
5825,36779,"twin"
5826,36780,"twin"
5827,36790,"twin"
5828,36791,"twin"
5829,36937,"twin"
5830,36964,"twin"
5831,36997,"twin"
5832,36998,"twin"
5833,37033,"twin"
5834,37034,"twin"
5835,37088,"illegitimate"
5836,37139,"FOUNDLING"
5837,37316,"illegitimate"
5838,37340,"twin"
5839,37349,"twin"
5840,37373,"twin"
5841,37374,"twin"
5842,37487,"FOUNDLING"
5843,37525,"illegitimate"
5844,37533,"twin"
5845,37534,"twin"
5846,37550,"twin"
5847,37559,"illegitimate"
5848,37575,"twin"
5849,37589,"illegitimate"
5850,37605,"twin"
5851,37616,"twin"
5852,37617,"twin"
5853,37649,"twin"
5854,37701,"twin"
5855,37702,"twin"
5856,37773,"illegitimate"
5857,37799,"twin"
5858,37806,"twin"
5859,37822,"twin"
5860,37831,"twin"
5861,37849,"illegitimate"
5862,37858,"twin"
5863,37869,"twin"
5864,37881,"posthumous"
5865,37912,"twin"
5866,37918,"illegitimate"
5867,37923,"twin"
5868,37961,"married"
5869,38010,"FOUNDLING"
5870,38014,"married"
5871,38029,"illegitimate"
5872,38037,"FOUNDLING"
5873,38053,"twin"
5874,38056,"illegitimate"
5875,38078,"twin"
5876,38081,"illegitimate"
5877,38097,"illegitimate"
5878,38126,"twin"
5879,38151,"twin"
5880,38172,"twin"
5881,38173,"twin"
5882,38187,"illegitimate"
5883,38201,"twin"
5884,38202,"twin"
5885,38291,"twin"
5886,38292,"twin"
5887,38304,"FOUNDLING"
5888,38308,"deceased"
5889,38331,"twin"
5890,38332,"twin"
5891,38387,"illegitimate"
5892,38437,"illegitimate"
5893,38552,"FOUNDLING"
5894,38626,"twin"
5895,38633,"illegitimate"
5896,38635,"twin"
5897,38688,"illegitimate"
5898,38732,"twin"
5899,38733,"twin"
5900,38749,"twin"
5901,38750,"twin"
5902,38793,"twin"
5903,38794,"twin"
5904,38936,"twin"
5905,38945,"twin"
5906,38951,"married"
5907,38969,"FOUNDLING"
5908,38986,"illegitimate"
5909,39031,"twin"
5910,39032,"twin"
5911,39043,"twin"
5912,39044,"twin"
5913,39147,"twin"
5914,39157,"twin"
5915,39328,"illegitimate"
5916,39372,"twin"
5917,39383,"twin"
5918,39431,"twin"
5919,39432,"twin"
5920,39483,"twin"
5921,39488,"illegitimate"
5922,39501,"twin"
5923,39551,"twin"
5924,39569,"illegitimate"
5925,39571,"illegitimate"
5926,39574,"twin"
5927,39582,"FOUNDLING"
5928,39594,"illegitimate"
5929,39648,"twin"
5930,39657,"twin"
5931,39677,"twin"
5932,39715,"illegitimate"
5933,39747,"twin"
5934,39813,"illegitimate"
5935,39815,"illegitimate"
5936,39896,"twin"
5937,39964,"twin"
5938,39965,"twin"
5939,40026,"illegitimate"
5940,40067,"illegitimate"
5941,40098,"illegitimate"
5942,40112,"twin"
5943,40133,"twin"
5944,40143,"twin"
5945,40206,"FOUNDLING"
5946,40221,"illegitimate"
5947,40245,"twin"
5948,40246,"twin"
5949,40272,"twin"
5950,40273,"twin"
5951,40316,"illegitimate"
5952,40323,"twin"
5953,40334,"FOUNDLING"
5954,40342,"twin"
5955,40358,"illegitimate"
5956,40360,"illegitimate"
5957,40416,"illegitimate"
5958,40450,"illegitimate"
5959,40509,"twin"
5960,40510,"twin"
5961,40530,"illegitimate"
5962,40612,"twin"
5963,40620,"illegitimate"
5964,40622,"illegitimate"
5965,40623,"twin"
5966,40627,"twin"
5967,40628,"twin"
5968,40644,"twin"
5969,40717,"twin"
5970,40729,"illegitimate"
5971,40752,"twin"
5972,40756,"illegitimate"
5973,40760,"twin"
5974,40765,"illegitimate"
5975,40766,"twin"
5976,40767,"twin"
5977,40770,"twin"
5978,40781,"twin"
5979,40907,"illegitimate"
5980,40963,"illegitimate"
5981,40989,"twin"
5982,40998,"twin"
5983,41100,"twin"
5984,41104,"illegitimate"
5985,41128,"twin"
5986,41129,"twin"
5987,41136,"twin"
5988,41154,"twin"
5989,41162,"twin"
5990,41206,"twin"
5991,41209,"twin"
5992,41302,"twin"
5993,41325,"twin"
5994,41334,"twin"
5995,41509,"FOUNDLING"
5996,41545,"twin"
5997,41553,"illegitimate"
5998,41562,"illegitimate"
5999,41589,"twin"
6000,41839,"illegitimate"
6001,41885,"twin"
6002,41908,"twin"
6003,41937,"twin"
6004,41946,"twin"
6005,42008,"twin"
6006,42044,"twin"
6007,42045,"twin"
6008,42234,"illegitimate"
6009,42256,"twin"
6010,42265,"twin"
6011,42300,"twin"
6012,42377,"twin"
6013,42378,"twin"
6014,42431,"twin"
6015,42432,"twin"
6016,42476,"FOUNDLING"
6017,42532,"twin"
6018,42533,"twin"
6019,42540,"twin"
6020,42550,"twin"
6021,42568,"twin"
6022,42569,"twin"
6023,42634,"illegitimate"
6024,42655,"illegitimate"
6025,42668,"twin"
6026,42673,"twin"
6027,42688,"twin"
6028,42689,"twin"
6029,42742,"illegitimate"
6030,42778,"twin"
6031,42788,"twin"
6032,42789,"twin"
6033,42910,"FOUNDLING"
6034,42927,"twin"
6035,42928,"twin"
6036,42936,"twin"
6037,42937,"twin"
6038,42950,"twin"
6039,42963,"twin"
6040,42964,"twin"
6041,42969,"twin"
6042,42998,"illegitimate"
6043,43131,"twin"
6044,43149,"twin"
6045,43246,"twin"
6046,43247,"twin"
6047,43327,"twin"
6048,43328,"twin"
6049,43387,"twin"
6050,43396,"twin"
6051,43625,"illegitimate"
6052,43644,"illegitimate"
6053,43647,"illegitimate"
6054,43810,"twin"
6055,43811,"twin"
6056,43860,"FOUNDLING"
6057,43862,"stillborn"
6058,43939,"illegitimate"
6059,43986,"twin"
6060,43993,"twin"
6061,43994,"twin"
6062,44017,"illegitimate"
6063,44027,"twin"
6064,44069,"twin"
6065,44084,"twin"
6066,44094,"twin"
6067,44095,"twin"
6068,44167,"twin"
6069,44174,"twin"
6070,44175,"twin"
6071,44207,"twin"
6072,44214,"twin"
6073,44215,"twin"
6074,44230,"FOUNDLING"
6075,44248,"FOUNDLING"
6076,44255,"illegitimate"
6077,44389,"twin"
6078,44391,"twin"
6079,44429,"twin"
6080,44430,"twin"
6081,44474,"twin"
6082,44488,"twin"
6083,44583,"illegitimate"
6084,44605,"FOUNDLING"
6085,44612,"FOUNDLING"
6086,44617,"twin"
6087,44618,"twin"
6088,44779,"FOUNDLING"
6089,44805,"illegitimate"
6090,44869,"illegitimate"
6091,44998,"twin"
6092,44999,"twin"
6093,45011,"illegitimate"
6094,45049,"FOUNDLING"
6095,45079,"twin"
6096,45080,"twin"
6097,45093,"twin"
6098,45094,"twin"
6099,45235,"FOUNDLING"
6100,45328,"twin"
6101,45341,"twin"
6102,45342,"FOUNDLING"
6103,45346,"FOUNDLING"
6104,45355,"FOUNDLING"
6105,45447,"illegitimate"
6106,45450,"FOUNDLING"
6107,45491,"FOUNDLING"
6108,45749,"twin"
6109,45750,"twin"
6110,45945,"twin"
6111,45955,"FOUNDLING"
6112,45960,"FOUNDLING"
6113,45983,"twin"
6114,46062,"illegitimate"
6115,46090,"illegitimate"
6116,46115,"FOUNDLING"
