u_id,count_1524,rank_1524,count_rank_1524,avg_val_1524,tot_val_1524,count_1543,rank_1543,count_rank_1543,avg_val_1543,tot_val_1543,count_1581,rank_1581,count_rank_1581,avg_val_1581,tot_val_1581,count_1674,rank_1674,count_rank_1674,avg_val_1674,tot_val_1674,count_1840,rank_1840,count_rank_1840,avg_val_1840,tot_val_1840,rank_1524_1543,rank_1543_1581,rank_1581_1674,rank_1674_1840,rank_1524_1674,rank_1524_1840,rank_1543_1674,rank_1543_1840,recipient_surname,found_recipient_surname
9998.0,,,,,,1.0,3918.0,3267.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,0
129.0,7.0,959.0,762.5,3.7142857142857135,26.0,9.0,221.5,618.5,14.333333333333334,129.0,13.0,126.5,133.0,4.846153846153846,63.0,13.0,207.0,359.5,3.769230769230769,49.0,310.0,416.0,401.5,494.5548387096774,153312.0,-737.5,-95.0,80.5,209.0,-752.0,-543.0,-14.5,194.5,0,0
8958.0,6.0,1226.0,887.0,3.0,18.0,7.0,392.0,789.0,11.0,77.0,1.0,1927.0,1850.5,3.0,3.0,2.0,1089.5,1634.5,4.0,8.0,,,,,,-834.0,1535.0,-837.5,,-136.5,,697.5,,0,0
3501.0,4.0,588.5,1235.0,11.75,47.0,5.0,479.5,1046.5,13.0,65.0,4.0,91.0,564.5,19.5,78.0,2.0,1497.0,1634.5,2.5,5.0,,,,,,-109.0,-388.5,1406.0,,908.5,,1017.5,,0,0
4613.0,2.0,1945.5,1982.5,4.0,8.0,1.0,81.0,3267.0,261.0,261.0,1.0,1656.0,1850.5,4.0,4.0,,,,,,,,,,,-1864.5,1575.0,,,,,,,0,0
4494.0,1.0,3168.5,3196.5,2.0,2.0,1.0,1292.5,3267.0,20.0,20.0,,,,,,,,,,,,,,,,-1876.0,,,,,,,,0,0
2091.0,8.0,553.0,665.5,6.375,51.0,9.0,306.5,618.5,11.0,99.0,6.0,391.5,368.5,4.166666666666667,25.0,,,,,,2.0,3119.0,2813.0,11.0,22.0,-246.5,85.0,,,,2566.0,,2812.5,0,0
5793.0,,,,,,1.0,1292.5,3267.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,0,0
3020.0,1.0,2792.5,3196.5,3.0,3.0,2.0,445.0,2000.5,35.0,70.0,,,,,,,,,,,5.0,2700.5,2342.0,20.8,104.0,-2347.5,,,,,-92.0,,2255.5,0,0
1001.0,15.0,91.5,367.5,16.733333333333334,251.0,2.0,76.0,2000.5,131.5,263.0,,,,,,,,,,,,,,,,-15.5,,,,,,,,0,0
171.0,1.0,2550.0,3196.5,4.0,4.0,1.0,928.0,3267.0,30.0,30.0,,,,,,,,,,,,,,,,-1622.0,,,,,,,,0,0
