surname_id,surname,metaphone,soundex,mp_se,u_id
,Newbry,NPR,N0160,NPR N0160,12129.0
,Dimes,TMS,D0502,TMS D0502,12130.0
,Frollett,FRLT,F60403,FRLT F60403,12131.0
,Blampey,PLMP,B40510,PLMP B40510,12132.0
,Skedgewell,SKJL,S203204,SKJL S203204,12133.0
,Carridge,KRJ,C060320,KRJ C060320,12134.0
,Ronsford,RNSFRT,R0521063,RNSFRT R0521063,12135.0
,Fitze,FTS,F0320,FTS F0320,12136.0
,Chegwin,XKN,C0205,XKN C0205,12137.0
,Chandler,XNTLR,C053406,XNTLR C053406,12138.0
,Fowerakers,FRKRS,F0602062,FRKRS F0602062,12139.0
,Osgood,ASKT,O203,ASKT O203,12140.0
,Tregud,TRKT,T60203,TRKT T60203,12141.0
,Priddle,PRTL,P60340,PRTL P60340,12142.0
,Latham,LTM,L0305,LTM L0305,12143.0
,Brimage,PRMJ,B605020,PRMJ B605020,12144.0
,Frasier,FRS,F60206,FRS F60206,12145.0
,Spinney,SPN,S1050,SPN S1050,12146.0
,Polhill,PLL,P0404,PLL P0404,12147.0
,Blackistone,PLKSTN,B402023050,PLKSTN B402023050,12148.0
,Egbert,AKPRT,E21063,AKPRT E21063,12149.0
,Pleadwell,PLTL,P40304,PLTL P40304,12150.0
,Nation,NXN,N0305,NXN N0305,12151.0
,Colson,KLSN,C04205,KLSN C04205,12152.0
,Bingley,PNKL,B05240,PNKL B05240,12153.0
,Delamaine,TLMN,D0405050,TLMN D0405050,12154.0
,Aaron,ARN,A0605,ARN A0605,12155.0
,Ashworth,AXR0,A20630,AXR0 A20630,12156.0
,Monleigh,MNL,M054020,MNL M054020,12157.0
,Norcombe,NRKMP,N0620510,NRKMP N0620510,12158.0
,Taddrick,TTRK,T03602,TTRK T03602,12159.0
,Bulphin,PLFN,B04105,PLFN B04105,12160.0
,Arden,ARTN,A6305,ARTN A6305,12161.0
,Hayters,HTRS,H03062,HTRS H03062,12162.0
,Rodier,RT,R0306,RT R0306,12163.0
,Balson,PLSN,B04205,PLSN B04205,12164.0
,Tilbury,TLPR,T041060,TLPR T041060,12165.0
,Dumullin,TMLN,D050405,TMLN D050405,12166.0
,Crockett,KRKT,C60203,KRKT C60203,12167.0
,Denty,TNT,D0530,TNT D0530,12168.0
,Lusley,LSL,L0240,LSL L0240,12169.0
,Yeeles,ALS,Y0402,ALS Y0402,12170.0
,Hennings,HNNKS,H05052,HNNKS H05052,12171.0
,Pilgrim,PLKRM,P042605,PLKRM P042605,12172.0
,Brannon,PRNN,B60505,PRNN B60505,12173.0
,Branham,PRNM,B60505,PRNM B60505,12174.0
,Lawless,LLS,L0402,LLS L0402,12175.0
,Tideman,TTMN,T030505,TTMN T030505,12176.0
,Prewman,PRMN,P60505,PRMN P60505,12177.0
,Banfill,PNFL,B05104,PNFL B05104,12178.0
,Daxter,TKSTR,D02306,TKSTR D02306,12179.0
,Adddiscott,ATTSKT,A30203,ATTSKT A30203,12180.0
,Seanes,SNS,S0502,SNS S0502,12181.0
,Acock,AKK,A202,AKK A202,12182.0
,Hippisley,HPL,H010240,HPL H010240,12183.0
,Panner,PNR,P0506,PNR P0506,12184.0
,Hexter,HKSTR,H02306,HKSTR H02306,12185.0
,Edgar,ATKR,E3206,ATKR E3206,12186.0
,Ask,ASK,A200,ASK A200,12187.0
,Wipple,AP,W0140,AP W0140,12188.0
,Caryls,KRLS,C06042,KRLS C06042,12189.0
,Barnsey,PRNS,B06520,PRNS B06520,12190.0
,Gording,KRTNK,G063052,KRTNK G063052,12191.0
,Dadds,TTS,D032,TTS D032,12192.0
,Exworthy,AKSR0,E20630,AKSR0 E20630,12193.0
,Watcher,AXR,W03206,AXR W03206,12194.0
,Baghole,PL,B02040,PL B02040,12195.0
,Barfoot,PRFT,B06103,PRFT B06103,12196.0
,Oldham,ALTM,O4305,ALTM O4305,12197.0
