name,surname,surname_id,recipient_match,control_match,recipient_surname,control_surname,surname_metaphone,surname_soundex,surname_mp_se,mp_se_id,u_id,found_control_group,recipient_control_group,found_treatment_group,recipient_treatment_group,metaphone,unique_id,group_id,combined_id,metaphone_id,master_id,unique_treatment,unique_control,group_treatment,group_control,combined_treatment,combined_control,metaphone_treatment,metaphone_control,master_treatment,master_control,unique_control2_group,group_control2_group,combined_control2_group,metaphone_control2_group,master_control2_group
"Marles, William, 200",Marles,,0.0,0.0,0.0,0.0,MRLS,M06402,MRLS M06402,2988.0,2988.0,0,0,0,0,MRLS,20113,9775,6690,1846,6690,0,0,0,0,0,0,0,0,0,0,,,,,
"Marley, 148",Marley,,0.0,0.0,0.0,0.0,MRL,M0640,MRL M0640,3034.0,3034.0,0,0,0,0,MRL,48160,24391,19700,322,6923,0,0,0,0,0,0,0,0,0,0,,,,,
"Marriott, Herbert, 15; William, 113",Marriott,,0.0,0.0,0.0,0.0,MRT,M0603,MRT M0603,2948.0,2948.0,0,0,0,0,MRT,8968,10008,6847,3394,6847,0,0,0,0,0,0,0,0,0,0,,,,,
"Marshall, Bourchier, 35; Caroline, 322; Charles, 303; Elizabeth, 35; Ernest, 324; G., 180; G., 180; John, 136, 162; W., 47(2), 180",Marshall,2883.0,0.0,0.0,0.0,0.0,MRXL,M06204,MRXL M06204,2883.0,2883.0,0,0,0,0,MRXL,24218,9803,7096,1386,7096,0,0,0,0,0,0,0,0,0,0,,,,,5.0
"Martin, Amy, 260; Bertie, 284; Caroline, 254; Claude, 250; John, 254; George, 155; Lawrence, 38, 87; Les., 35; Mark, 88; Richard, 165; Susan, 335; Thomas, 213, 250",Martin,3040.0,0.0,0.0,0.0,1.0,MRTN,M06305,MRTN M06305,3040.0,3040.0,0,0,0,0,MRTN,25566,9820,6720,6941,6720,0,0,0,0,0,0,0,0,0,1,,,,2.0,3.0
"Mary, Queen, 84",Mary,,0.0,0.0,0.0,0.0,MR,M060,MR M060,2949.0,2949.0,1,1,0,0,MR,49945,25721,21029,2614,7017,0,0,0,0,0,0,0,0,0,1,,,,4.0,2.0
"Marystow, 199",Marystow,,0.0,0.0,0.0,0.0,MRST,M060230,MRST M060230,8097.0,8097.0,0,0,0,0,MRST,54237,36943,32246,10365,6847,0,0,0,0,0,0,0,0,0,0,,,,,
"Mason, Charles, 269; Edith, 332, 333; Robert, 102",Mason,3062.0,0.0,0.0,0.0,0.0,MSN,M0205,MSN M0205,3062.0,3062.0,0,0,0,0,MSN,16145,9832,6541,6339,6541,0,0,0,0,0,0,0,0,0,0,,,,,
"Massey Lopes, family, 198",Massey,,0.0,0.0,0.0,0.0,MS,M020,MS M020,3061.0,3061.0,0,0,0,0,MS,29095,9800,6705,5182,6705,0,0,0,1,0,1,0,0,0,0,,6.0,7.0,,
"Masters, Henry, 257",Masters,6222.0,0.0,0.0,0.0,0.0,MSTRS,M023062,MSTRS M023062,6222.0,6222.0,0,0,0,0,MSTRS,456,9840,6737,5645,6737,0,0,0,0,0,0,0,0,0,0,,,,,
"Mather, Ray, 6",Mather,,0.0,0.0,0.0,0.0,M0R,M0306,M0R M0306,10789.0,10789.0,0,0,0,0,M0R,978,9850,6746,3570,6746,0,0,0,0,0,0,0,0,0,0,,,,,
"Mathew, Jonah, 291",Mathew,2956.0,0.0,0.0,0.0,0.0,M0,M030,M0 M030,2956.0,2956.0,0,0,0,0,M0,49718,16838,12183,4680,6787,0,0,0,0,0,0,0,0,0,0,,,,,
"Mattacott, N., 269",Mattacott,,0.0,0.0,0.0,0.0,MTKT,M030203,MTKT M030203,2825.0,2825.0,0,0,0,0,MTKT,44780,25083,20392,8476,6777,0,0,0,0,0,0,0,0,0,0,,,,,
"Matthews, Alfred, 275; Charles, F., 133; Harold, 296; John, 181; Mary, 39; Pam., 145; Patricia, 299; Peggy, 164; Richard, 285; William, 39",Matthews,,0.0,0.0,0.0,0.0,M0S,M0302,M0S M0302,10833.0,10833.0,0,0,0,0,M0S,50688,32680,27984,7558,6777,0,0,0,0,0,0,0,0,0,0,,,,,
"Maule-Johnstone, Douglas, 324",Maulejohnstone,8100.0,0.0,0.0,0.0,0.0,MLJNSTN,M04020523050,MLJNSTN M04020523050,8100.0,8100.0,0,0,0,0,MLJNSTN,54238,36944,32247,10367,12011,0,0,0,0,0,0,0,0,0,0,,,,,
"Mauretania, S.S., 316",Mauretania,13281.0,0.0,0.0,0.0,0.0,MRTN,M0603050,MRTN M0603050,13281.0,13281.0,0,0,0,0,MRTN,54239,36945,32248,6941,6858,0,0,0,0,0,0,0,0,0,0,,,,2.0,
"May, Maye, A., 193; Charles, 43, 269; E., 255, 296; Henrietta, 43; J., 245; John, 193; M., Mabel, 280; Marion, Mary, 58; Ron, 193; Sinclair, 280; Thomas, 292",May,2913.0,0.0,0.0,0.0,0.0,M,M000,M M000,2913.0,2913.0,0,0,0,0,M,8799,9902,6145,4770,6145,0,0,0,0,0,0,0,0,0,0,,,,,
"Mayne, Anne, William, 249",Mayne,3060.0,0.0,0.0,1.0,0.0,MN,M050,MN M050,3060.0,3060.0,0,0,1,1,MN,33375,16081,11435,4493,6622,1,0,1,0,1,0,1,0,1,0,4.0,5.0,6.0,11.0,9.0
"McBride, B., 22",Mcbride,13282.0,0.0,0.0,0.0,0.0,MKPRT,M216030,MKPRT M216030,13282.0,13282.0,0,0,0,0,MKPRT,54240,36946,32249,10124,12012,0,0,0,0,0,0,0,0,0,0,,,,,
"McCalmont, Barkhie, Madeline, 261",Mccalmont,8101.0,0.0,0.0,0.0,0.0,MKLMNT,M2045053,MKLMNT M2045053,8101.0,8101.0,0,0,0,0,MKLMNT,54241,36947,32250,10368,6798,0,0,0,0,0,0,0,0,0,0,,,,,
"McCandless, Joan, 63",Mccandless,8102.0,0.0,0.0,0.0,0.0,MKNTLS,M2053402,MKNTLS M2053402,8102.0,8102.0,0,0,0,0,MKNTLS,54242,36948,32251,10369,12013,0,0,0,0,0,0,0,0,0,0,,,,,
"McCarthy, John, 92",Mccarthy,13283.0,0.0,0.0,0.0,0.0,MKR0,M20630,MKR0 M20630,13283.0,13283.0,0,0,0,0,MKR0,54243,36949,32252,8014,11932,0,0,0,0,0,0,0,0,0,0,,,,,
"McCormick, Thomas, 49",Mccormick,8103.0,0.0,0.0,0.0,0.0,MKRMK,M206502,MKRMK M206502,8103.0,8103.0,0,0,0,0,MKRMK,54244,36950,32253,10370,12014,0,0,0,0,0,0,0,0,0,0,,,,,
